A1_L,A1_R,A2_L,A2_R,PCG_L
-0.1711,-0.6717,-0.3897,-0.8563,0.7796
-0.1582,-0.8264,-1.0587,-1.4942,0.1230
-1.7146,-1.7124,-1.8679,-1.7471,-0.0265
-2.0214,-2.3663,-2.4655,-2.2196,-0.3058
-1.4817,-2.0455,-1.8830,-1.7060,-0.6450
-0.5094,-0.1947,-1.3649,-1.0436,-0.3302
0.2005,0.2310,-1.3657,-0.7448,0.9639
0.4196,0.5426,-1.2307,-0.8859,0.2195
0.9346,0.7679,-0.8501,-0.4992,0.2876
0.5498,0.6017,-1.1709,-0.7655,0.2656
0.8233,0.8066,-0.7119,-0.5458,-0.0925
-0.0947,0.2654,-0.3745,-0.0211,0.0362
0.2695,0.0487,-0.0135,-0.3216,-0.7099
-0.2318,-0.2489,0.1061,-0.2465,-0.3596
-0.6851,-0.4768,-0.0767,-0.2892,-0.4214
-0.9986,-0.2959,-0.4619,0.0774,-0.2617
0.4670,0.5145,0.6668,0.8295,-0.0331
0.5322,0.6684,0.7785,0.8306,-0.0708
0.6736,0.4680,1.5636,0.6256,-0.2723
0.8946,0.6367,1.3486,0.9515,-0.4425
0.4960,0.3231,0.7794,0.4342,-0.6640
0.7199,0.6711,1.0092,0.4121,-0.3397
0.2003,0.4727,0.9846,0.6782,0.1683
0.2741,0.3825,1.0120,0.7007,-0.0822
0.5544,0.5793,0.9801,1.0762,0.3007
0.2126,0.4980,0.5660,0.7098,-0.1439
0.6709,0.7168,0.9162,1.1488,-0.1303
0.3124,0.6601,0.5749,0.6581,0.0542
0.1812,0.5466,0.8347,1.0674,0.3563
0.1700,0.3822,0.6629,0.6511,0.1983
0.4438,0.5878,0.7841,0.9006,0.2549
0.3434,0.3044,0.5830,0.4402,0.4117
-0.1669,-0.1823,0.0978,0.1424,0.1070
0.0321,0.4187,0.5797,0.4559,-0.0162
-0.6504,-0.5667,-0.2854,0.0551,0.7338
-0.7041,-1.0555,0.0306,-0.4117,-0.5870
-0.8978,-0.8856,-0.4875,-0.2854,-0.5373
-0.8686,-1.3965,-0.7639,-0.6946,0.0174
-0.9312,-1.1524,-0.4875,-0.1338,-0.0750
-0.6879,-0.7100,-0.2650,0.1969,0.1173
-0.1297,-0.0343,0.3663,0.1996,-0.1561
0.1307,0.1112,0.2629,0.1076,0.2297
0.7134,0.3154,0.7861,0.6448,-0.4907
0.2685,0.0689,0.5870,0.5385,0.4891
0.4158,0.5872,0.6712,0.7089,-0.4350
0.0254,0.1405,0.1989,-0.1241,-0.1849
0.9145,0.5385,0.5966,0.2812,-0.5712
0.2831,0.1720,0.3302,0.1662,-0.1596
0.2784,-0.3387,0.4788,-0.2644,-0.3177
-0.0730,-0.3604,-0.3731,-0.1913,-0.4386
0.0354,-0.2548,-0.1289,-0.2020,-0.6153
0.3174,0.0008,0.0303,0.1088,-0.0884
0.2314,0.0953,0.4445,0.0817,-0.7060
-0.1717,0.0360,0.1381,0.0114,-0.1204
-0.5232,-1.1181,0.0368,-0.9306,-0.1319
0.0383,-0.3868,-0.3265,-0.8618,-0.5556
-0.7077,-0.6459,-0.7971,-0.9109,-0.1082
-0.6999,-0.9511,-0.8215,-0.9393,-0.3031
-0.0999,-0.1499,-0.6596,-0.3062,-0.3958
-0.4256,-0.7906,-0.7195,-0.7776,-0.0721
0.4617,0.1293,-0.0910,-0.1248,-0.6653
0.3121,0.2369,0.3348,0.1261,-0.1276
0.4463,0.5534,0.1150,0.0413,0.0617
0.2593,0.2992,0.2028,0.2182,0.2093
-0.2997,-0.3307,-0.1266,-0.4054,0.5738
-0.0380,-0.0365,-0.0476,-0.1923,1.4676
-0.1951,0.2403,-0.5933,-0.4549,1.5791
-0.2428,0.1923,-0.2472,0.2979,-0.1524
-0.3015,-0.0671,-0.3423,-0.1365,0.0425
0.3584,0.4831,0.3125,0.3751,0.1562
-0.0942,0.1419,0.2988,0.3636,0.2857
-0.3139,-0.2668,0.2463,0.1200,0.3775
-0.2892,0.0711,0.4665,0.2600,0.6537
0.2126,0.7211,0.8733,0.7131,-0.0404
0.4241,0.7370,0.7338,1.0237,1.2028
0.2177,0.5435,1.1564,0.8809,0.8096
-0.2973,0.4205,0.9236,1.2032,0.8572
-0.3812,-0.0224,0.7090,0.6352,-0.0713
-0.1759,-0.2000,0.5734,0.5922,-0.3105
0.0976,0.0567,-0.1010,0.0596,-0.1879
0.5531,0.3004,0.1732,0.2752,0.0553
0.2021,0.2075,-0.0827,0.3561,-0.1336
-0.0752,-0.2808,0.0690,-0.6439,-0.5281
0.3041,0.1313,0.1128,-0.0719,0.4231
0.8151,0.2830,-0.1882,-0.3321,-0.3118
1.2709,0.5951,0.1048,0.2192,-1.1195
0.8983,0.9476,-0.1975,0.2670,-0.2848
0.9146,0.8358,0.1034,-0.3900,-0.2009
0.4937,0.4964,0.4008,0.0968,0.5736
0.1174,0.0655,0.2795,-0.2021,-0.0650
0.1074,0.0960,0.1649,0.0766,-1.0057
-0.7977,-0.6553,-0.1580,-0.2623,-0.2351
-1.1237,-1.1204,-0.4187,-0.7963,-0.3235
-0.6972,-0.8052,-0.4733,-0.2913,0.2021
-0.6195,-0.2799,-0.4792,-0.1599,0.7484
-0.2476,0.1955,0.1703,0.2729,-0.1242
-0.4039,-0.4415,-0.3778,-0.1516,-0.3480
-0.2009,0.2547,0.1791,0.4591,-0.5552
-0.1629,0.1539,0.2889,0.5872,0.1680
0.4204,0.6693,0.8397,0.8831,0.2863
-0.2708,-0.3898,0.8987,0.3530,0.9805
-0.2726,-0.1667,0.2706,0.1149,0.7902
0.0411,0.5839,-0.0147,0.2022,0.6849
0.0079,0.0204,0.0250,0.6397,-0.6553
0.5120,0.2652,0.4349,0.6586,-0.8548
0.3486,-0.2497,-0.1404,-0.0069,-0.9470
0.7046,0.3405,0.1837,-0.1495,-0.3433
0.4358,0.1641,-0.2521,-0.4797,0.6518
0.8648,0.5183,0.1480,0.4374,-0.1429
0.1420,-0.3798,0.2041,-0.0983,0.5786
0.0248,-0.7390,-0.2501,-0.3114,1.1590
-0.1416,0.2461,-0.5621,0.2720,0.9202
-0.3446,-0.5301,-0.9412,-0.5531,0.9012
-0.2157,-0.7030,-0.7663,-0.7016,0.6466
-1.4372,-1.9396,-1.4663,-1.7067,1.0395
-0.9427,-1.0403,-1.5286,-1.5311,0.5679
-1.2588,-0.6412,-1.1896,-1.2556,-0.6259
-0.8001,-0.3131,-0.6967,-0.2674,-0.1965
0.1027,0.6829,0.4018,0.8893,-0.4746
0.6786,0.7935,0.8035,0.7722,-0.1697
1.2244,1.4229,1.4386,1.2221,-0.4903
0.3924,0.8746,0.6713,0.8620,0.0921
0.9038,1.0339,0.6807,0.7095,0.0328
0.9696,1.1667,0.5293,1.0584,-0.1390
0.7819,1.3315,0.4452,1.1805,-0.6414
0.7455,1.1140,0.5121,1.1298,-0.1628
0.1932,0.6222,0.4760,1.4184,-0.6153
0.2009,0.4909,0.4381,1.2987,-0.9809
0.0769,0.2758,0.0793,0.6920,-0.0162
0.7314,0.5246,0.5270,0.5767,-0.4246
0.5987,0.3199,-0.1574,-0.1862,0.2301
0.9723,0.4973,0.0766,-0.0299,0.4300
1.0145,0.8410,0.0891,0.3901,-0.2474
0.7488,0.6806,0.1161,0.1598,0.1991
0.9247,0.5818,0.4196,0.1855,0.1437
0.8282,0.6632,0.8550,0.4597,0.4416
0.2568,0.0883,0.6462,0.1745,0.2230
0.1472,0.5364,0.4309,0.9561,-0.7610
0.2209,0.3668,0.7553,0.6730,-0.5128
0.3558,0.5525,0.6424,0.6076,0.1030
0.3659,0.6964,0.5817,1.1922,-0.2510
0.2444,0.1332,0.3453,0.4527,-0.3814
0.1398,-0.0667,0.7818,0.4925,0.3320
-0.9899,-0.9923,0.1447,-0.2148,0.3623
-0.1819,-0.3272,0.5093,0.2667,-0.0095
-0.2907,-0.0393,0.0908,0.3261,0.6122
0.1290,-0.0753,-0.1896,-0.1619,-0.6613
0.6156,0.4987,0.3235,0.7417,-0.3784
0.5655,0.4235,0.2769,0.3222,0.1846
-0.0051,-0.2324,-0.0312,-0.0881,0.0051
-0.3384,-0.4849,-0.4118,-0.7223,1.1151
-0.3480,-0.6102,-0.4680,-0.8770,1.4638
-1.3663,-1.1407,-1.1489,-1.1635,1.2277
-1.0008,-0.7119,-1.3085,-1.4383,1.6898
0.0838,0.4527,-0.2954,-0.0297,1.4432
-0.3865,0.0928,-0.1764,0.0477,0.9999
0.0656,0.2003,0.5760,0.3833,0.3656
-0.6814,-0.6717,0.1542,-0.0779,-0.0549
-1.3061,-1.2149,-0.7329,-0.4582,0.5062
-1.2232,-0.9854,-1.0790,-0.8246,0.9675
-1.1273,-0.8824,-1.2635,-1.3557,1.3867
-0.2558,-0.8476,-0.1576,-1.0920,0.4046
-0.7702,-1.0137,-0.6905,-1.3513,0.8502
0.0827,0.1408,-0.2031,-0.7127,-0.3256
-0.5099,-0.1811,-0.3570,-0.7566,-0.4358
0.0833,-0.0757,-0.4120,-0.7278,-0.4476
-0.1056,-0.1137,-0.3469,0.0648,-0.2024
-0.3255,-0.1774,-0.4117,0.1196,-0.1457
0.1624,0.2867,0.2497,0.0978,-0.2411
-0.5163,0.2455,-0.4197,0.0991,0.1004
-0.5488,-0.7152,-0.4795,-0.6280,-0.0162
-0.2859,-0.3615,-0.3086,0.0009,-0.1032
-0.1784,-0.1129,0.0400,0.2173,-0.5352
0.1801,-0.0389,0.0235,-0.3960,-0.9458
-0.5245,-0.3905,-0.4024,-0.3782,-0.8599
-0.2294,-0.2798,-0.6599,-0.5936,-0.6291
-0.0496,0.1345,0.1923,0.0307,-0.6144
-0.2343,0.0066,0.1326,0.1373,-0.0154
-0.0183,-0.1838,0.7695,0.1782,0.1699
-0.4470,0.2528,0.3585,0.2540,1.0820
-0.4872,-0.2596,0.0052,-0.0079,0.3821
-0.1013,0.2520,-0.0582,0.4118,-0.2529
0.0251,0.0607,-0.4645,-0.1207,-0.3382
0.5083,0.4164,-0.1663,-0.2776,0.0802
-0.0678,0.1602,-0.4792,-0.1871,-0.0298
-0.5756,-0.7665,-0.1361,-0.4395,0.0552
-0.4198,-0.4236,0.0516,-0.2491,0.1662
-0.3676,-0.6540,0.4554,0.1037,0.3426
-0.5883,-0.5186,-0.2466,-0.3577,0.0689
0.3702,0.6004,0.1182,0.5032,0.2319
-0.0391,-0.0560,-0.2104,0.1187,-0.0257
-0.2043,-0.4414,0.4455,-0.2375,-0.8550
-0.8175,-1.0070,-0.1004,0.0175,-0.3016
-0.1999,-0.5367,0.0223,0.2521,-0.7600
-0.6305,-0.0840,0.1945,0.8176,0.0521
-0.8651,-0.3401,0.4085,0.6622,-0.9291
-0.4108,0.0984,0.5682,0.6811,-0.1865
-0.0311,0.5650,1.0184,1.0169,0.5547
-0.6557,-0.5688,0.2257,-0.2430,0.0051
0.1741,-0.0415,0.0277,-0.2124,0.0840
0.0392,0.0626,-0.5495,-0.0917,0.4474
1.1642,1.1808,0.4015,0.3496,-0.4704
0.9492,0.8048,0.8750,0.4222,-0.4154
0.7774,0.6486,0.5003,0.3335,-0.7826
0.9800,0.6535,0.5516,0.7223,-0.5333
0.4163,0.2063,-0.1177,0.1377,0.0518
0.3026,0.0513,-0.1435,0.0927,0.0773
0.0009,-0.8317,-0.2666,-0.7853,0.2478
-0.1209,-1.1999,-0.7107,-1.6163,-0.9045
-0.4083,-0.7408,-0.9149,-1.0081,-0.4373
0.3675,-0.2640,-0.6982,-0.8577,-0.5080
0.3377,0.4262,-0.6725,-0.1525,-0.9140
0.2210,-0.0214,-1.1191,-0.8239,-0.7195
-0.2203,-0.5644,-0.9820,-0.8894,-0.9088
-0.6102,-0.8629,-1.2064,-0.9780,-0.4920
-0.6159,-0.5508,-1.4801,-1.2768,-0.9510
-0.1813,-0.2213,-0.8164,-0.6851,-0.2125
-0.1549,0.2084,-0.8799,-0.9678,-0.0975
0.4089,0.0527,0.0076,-0.1674,-1.2755
-1.1994,-0.7590,-0.1657,-0.1477,-0.3782
-1.1910,-0.9831,-0.6957,-0.7250,-1.3255
-0.9910,-0.8950,-0.4871,-0.2074,-0.5669
-0.9653,-0.8558,-1.0579,-0.8388,0.6706
-0.1978,-0.6500,-0.7070,-0.4025,0.4184
-1.3129,-1.5262,-0.9009,-0.8124,0.8849
-0.2653,-0.4159,0.0804,0.0455,0.4960
-0.1243,-0.4483,-0.1304,0.1242,1.6827
0.0676,-0.0282,0.7541,0.2051,0.1219
0.3396,0.7128,0.8181,0.8313,-0.3223
0.2889,0.1575,0.9142,0.8977,0.3208
0.7983,0.7429,0.6177,0.7256,-0.2778
0.8916,1.1309,1.0620,1.3518,0.4383
0.8151,0.8675,0.8115,0.5737,0.3263
1.3813,1.3397,1.1703,1.6251,0.2917
0.8686,0.6690,0.9548,1.1603,0.1506
0.3943,0.5424,0.2534,0.3467,-0.0118
0.0723,0.0150,-0.0995,-0.0727,-0.2226
0.3263,0.5593,-0.4914,-0.3186,-0.3507
0.4617,0.8321,0.2277,0.9191,0.5035
0.6950,1.2258,0.0454,0.6141,0.0913
0.3831,0.2948,-0.0446,-0.1996,1.0468
0.5276,0.8205,0.2152,0.0973,0.9125
0.4797,0.4967,0.5958,0.1988,0.4485
0.9313,1.0075,0.8056,0.4058,0.6304
0.6782,0.8539,0.3036,0.1612,1.3842
0.1284,-0.0726,0.3022,-0.4220,1.1995
0.0369,0.1225,0.3226,-0.0362,1.0148
-0.1214,0.3788,0.6498,0.3068,0.7107
0.1674,0.5464,1.0757,0.5388,0.2112
0.5078,0.7192,1.2274,1.2064,0.1966
-0.1753,0.3308,0.6052,0.7535,0.1019
0.2224,0.6414,0.9589,0.7608,-0.1844
0.5404,0.3167,0.6874,0.6940,0.3147
0.0561,-0.1850,0.2036,-0.0972,-0.4198
-0.0751,-0.4596,-0.2172,-0.2907,-0.9303
-0.2320,-0.7577,-0.4241,-0.8584,-1.8188
-0.2244,0.0815,0.1795,-0.0021,0.2730
-0.3209,0.3069,-0.3267,-0.0161,-0.1163
0.3867,0.4188,0.3528,0.0369,-1.1589
-0.0058,-0.4489,-0.4570,-0.8096,-0.6522
-0.2512,-0.3554,-0.4557,-0.2647,-0.1920
-1.0383,-0.6188,-0.6877,-0.1867,0.9235
0.1627,-0.2207,-0.3183,-0.3532,0.4856
-0.0840,-0.0821,-0.9814,-0.5684,0.0993
0.4093,0.2017,0.2009,0.0077,-0.1614
0.1989,0.1982,-0.2818,0.1171,-0.2599
0.6149,0.1206,0.4236,0.0141,-1.4523
0.2679,-0.3099,0.1958,-0.1058,-1.0341
-0.3821,-0.3943,-0.7577,-0.5414,-0.5540
0.0983,-0.1655,0.2391,0.0945,-0.6962
-0.9573,-0.8005,-0.3082,-0.6328,0.4536
-0.4083,-0.3808,0.0521,-0.3991,-0.1402
0.1275,0.2658,0.1335,0.2697,0.4543
0.5829,0.6115,0.0431,0.2675,0.1028
0.9111,0.9630,0.6395,0.9898,0.6910
0.5417,0.9048,0.2528,0.1031,-0.0206
0.8101,1.2998,0.5395,0.8797,0.3945
0.5753,1.5925,0.0423,1.0399,0.7993
1.2624,1.7418,0.4333,1.4957,0.4090
0.7275,1.4458,0.5065,0.9436,0.4503
1.0260,1.2146,0.3568,0.7638,-0.2031
0.1181,-0.2879,0.2280,-0.3228,-0.0427
-0.7726,-1.0003,-0.2276,-0.7286,-0.8990
-0.8979,-0.6609,-0.4176,-0.6863,-0.4592
-0.1072,0.2935,-0.4012,-0.2079,-0.5349
-0.2673,-0.1012,-0.5669,-0.3513,-1.0442
0.7098,0.5172,0.6236,-0.0205,-0.5593
0.8448,0.7824,-0.4834,-0.1741,0.4372
0.2220,0.2723,-0.4365,-0.4641,-0.4068
0.3846,0.1603,-0.3193,-0.1774,-0.9507
-0.3313,-0.7349,-0.0514,-0.3774,-0.4930
-0.2290,-0.5962,0.3879,-0.4752,0.5654
-0.3546,-0.4591,0.2267,0.0325,1.0262
-0.7302,-1.2976,-0.1405,-0.1854,0.8284
-0.8018,-1.1962,-0.5379,-0.2549,0.5871
-1.2155,-1.6475,-0.7055,-0.9204,0.6701
-0.9053,-1.4862,-0.9119,-1.4652,-0.5871
-1.5243,-1.6499,-1.0934,-1.3173,-0.8556
-0.9809,-1.2612,-0.7551,-0.6383,-0.0902
-0.7638,-1.0577,-1.2571,-0.9853,-0.4808
