A1_L,A1_R,A2_L,A2_R,PCG_L
-0.2039,-0.3023,-1.1312,-1.4449,-0.4332
-0.0223,-0.2276,-1.0768,-0.9228,-0.4642
-0.5819,-0.6809,-1.1757,-1.0221,-0.4860
-0.8287,-1.0033,-1.1081,-0.9099,-0.4984
-1.4950,-1.1575,-1.1811,-1.2073,-0.6276
-0.9357,-0.4685,-0.7740,-0.5894,-0.9531
-0.0276,-0.0818,-0.3463,-0.2227,-0.4677
0.7097,0.4868,0.2397,0.0068,-0.5555
0.5282,0.1667,-0.2805,-0.1039,-0.4560
0.5585,0.7614,-0.5085,-0.5615,-0.3309
-0.0924,-0.4308,-0.9494,-0.8166,-0.0185
-0.3346,-0.3385,-0.9228,-1.0334,-0.0999
-0.3109,-0.6288,-0.7571,-0.7445,0.0152
-0.4027,-0.1670,-0.8668,-0.7945,-0.4909
-0.3987,-0.5383,-0.5673,-0.7981,-0.5374
-0.4648,-0.2464,-0.5354,-0.3566,-0.3352
0.2393,0.2138,0.2865,0.4878,0.1819
0.6295,0.6050,0.5552,0.9900,0.2223
0.1623,0.3426,0.3920,1.2892,0.4229
0.0059,0.5436,0.7494,1.3362,0.6772
0.2489,0.3218,0.7048,0.9435,0.3352
-0.0700,0.1985,0.7463,1.1598,0.2319
0.3785,0.1197,0.8518,0.8600,0.4223
0.0616,0.0506,0.6324,0.7566,0.5118
0.1354,-0.2127,0.7194,0.8103,0.7362
-0.2125,-0.0505,0.4763,0.8491,0.4293
0.4089,0.4829,1.0059,0.7825,0.5632
0.6990,0.7454,1.1796,0.9686,0.3868
0.5009,0.6608,1.0417,1.0253,0.8329
0.2627,0.5494,0.7870,0.8408,0.6973
0.6896,0.6941,0.7552,0.5124,0.6209
0.7365,0.4773,0.7723,0.8522,0.2867
0.4210,0.4485,0.3315,0.7878,0.5286
-0.0208,0.0674,0.6576,0.3958,0.7273
-0.3237,-0.4965,0.8288,-0.3277,0.8707
-0.9378,-1.2239,0.3199,-0.4530,0.9916
-0.7329,-0.8244,0.0700,-0.7989,0.4447
-0.5616,-0.7481,0.2794,-0.4303,0.6390
-0.7267,-0.8114,-0.3676,-0.5097,-0.4623
0.1757,-0.0405,-0.6020,-0.1985,-0.8904
0.6663,0.7224,-0.1640,0.1212,-1.0086
1.1462,1.1318,0.1019,0.5419,-0.7097
1.1640,1.1953,0.4467,1.0091,-0.3181
0.9247,1.0990,0.3135,0.6786,-0.7311
0.8120,1.0191,0.9729,0.9231,-0.4544
0.5180,0.7413,0.5384,0.4080,-0.6121
0.7287,0.7807,0.7521,0.7275,-0.7033
0.7031,0.6840,0.7273,0.3401,-0.8047
0.3004,0.0539,0.5992,0.2682,-0.3992
-0.5119,-0.4923,0.1843,-0.4238,0.0455
-0.6277,-0.5116,0.3791,-0.1337,0.2680
-0.2769,-0.4693,0.4988,-0.2022,-0.3238
-0.0996,-0.1986,0.1813,0.1916,-0.0560
-0.4437,-0.4059,-0.7797,-0.0426,0.3151
-1.3932,-1.2887,-1.9168,-1.5484,-0.9002
-1.8151,-1.6076,-1.9317,-1.9469,-0.9560
-1.1341,-1.2881,-1.4034,-1.6438,-0.9579
-1.0536,-1.1275,-0.9297,-0.8965,-0.6110
-0.4316,-0.3591,-0.5782,-0.5786,-0.5942
-0.2230,-0.2280,-0.2757,-0.1145,0.1368
-0.0860,-0.1742,-0.4205,-0.1346,-0.0315
0.1186,0.2004,-0.2186,0.0369,0.1369
0.4282,0.3616,-0.1169,0.3054,-0.1133
0.6866,0.5150,-0.1756,-0.1675,-0.2021
-0.3323,-0.2842,-1.0004,-0.5939,0.0655
-0.6728,-0.4828,-1.0382,-0.6290,-0.1422
-0.0213,-0.1792,-0.3064,-0.4530,0.5065
0.4220,0.0501,0.1652,0.0910,0.2965
0.3654,0.0860,-0.1344,-0.0124,0.3143
0.1366,0.1173,-0.0800,0.0746,-0.0830
-0.3167,-0.0869,-0.2321,0.0716,-0.5788
0.0397,0.0130,0.5081,0.3355,0.1973
-0.1206,-0.0103,0.6127,0.5425,-0.1347
0.2360,0.4348,0.6327,0.6364,0.0970
0.7349,0.3783,0.7752,0.8374,0.4964
0.5129,0.4518,0.4402,0.4624,0.8354
-0.0825,-0.2334,0.2722,0.0876,0.7544
-0.2171,-0.4158,-0.1249,-0.4993,0.8074
-0.4235,-0.5713,0.0316,-0.0331,0.9647
-0.2262,-0.1523,-0.3826,-0.3475,0.0826
0.3474,0.5431,-0.2634,0.2888,0.0684
-0.0481,0.0346,-0.3998,0.0310,-0.1395
-0.5539,-0.5654,-0.6634,-0.8797,-0.9195
-0.6744,-0.3623,-0.4288,-0.8422,-0.9863
-0.1624,0.1657,-0.2378,-0.1511,0.1067
-0.0923,0.1523,0.1171,0.1151,0.3126
0.7562,0.9046,0.2296,0.6197,0.3078
0.9226,1.1307,0.1469,1.2945,0.5702
0.6906,0.9521,0.2112,0.7821,-0.1894
0.2691,0.2761,0.5866,0.5760,0.6415
-0.3712,-0.5763,0.1281,0.0701,0.6081
-1.0928,-1.2460,-0.2827,-1.1367,0.8273
-1.5361,-1.2561,-1.2882,-1.6126,0.2906
-0.8437,-0.9696,-1.4000,-1.9885,-0.2065
-0.1147,-0.4107,-0.9007,-0.7024,0.2747
-0.1831,-0.1674,-0.5918,-0.7506,0.4278
0.2284,0.0945,0.0297,-0.3697,0.2431
-0.1232,-0.3240,0.1781,-0.0845,-0.9639
-0.0427,0.4287,0.3277,0.9433,-0.0104
0.1800,0.2528,0.3034,0.4107,0.3635
-0.0924,-0.0363,0.1392,-0.4778,-0.0432
-0.3413,-0.3542,-0.4544,-0.3470,-0.3995
-0.2265,-0.2243,-0.3288,-0.2721,-0.6972
-0.0099,0.0357,-0.0832,0.4150,-0.2866
0.0029,0.2386,-0.3495,0.3389,-0.7274
0.0095,0.1062,-0.2221,0.0929,-0.5693
0.0071,0.2046,0.2113,0.3157,-0.1400
-0.0723,0.1277,0.0109,0.2639,-0.4030
-0.0083,0.3233,0.5385,0.7511,-0.0258
-0.0479,-0.1929,0.4944,0.2282,-0.0187
-0.9399,-0.7936,-0.0436,-0.2105,-0.1759
-0.4044,-0.2502,-0.4345,-0.2550,-0.4109
0.0622,0.2973,-0.2159,0.2395,-0.0623
-0.4859,-0.4655,-0.1098,-0.3090,-0.4215
-0.8311,-0.7087,0.0818,-0.6207,0.3036
-1.2032,-1.2325,0.2158,-0.5037,-0.0926
-0.5711,-0.5809,0.3796,-0.0478,0.3743
-0.0504,0.0147,0.8025,0.4682,0.6506
0.6225,0.4164,0.9969,0.5604,0.7776
1.1440,0.8845,1.3459,1.3593,1.7255
0.9577,1.0946,1.0466,1.1142,1.4827
0.7602,0.7474,0.9187,0.8631,1.5350
0.8234,0.7010,0.4007,0.6117,0.7152
1.1134,1.1672,0.4036,0.9234,0.8390
1.1042,1.1617,0.6069,1.1475,0.4864
0.7657,0.7071,0.4005,0.5907,0.1173
0.3370,0.2088,0.8081,0.8370,0.5761
-0.0687,-0.0773,1.0001,0.6138,0.4117
0.2909,0.1914,0.8751,0.5807,0.6332
0.4797,0.0302,0.7927,0.3591,0.6059
-0.2655,-0.5541,-0.1215,0.0689,0.9491
-0.4986,-0.5856,-0.6347,-0.4941,0.4367
-0.1043,-0.1126,-0.9358,0.1672,0.1275
0.0173,0.3362,-0.8995,0.4713,-0.2152
-0.0052,0.0016,-1.2084,-0.5498,-0.3577
-1.0254,-1.0284,-1.6869,-1.2785,-0.5248
-1.0298,-1.2546,-1.6415,-1.9467,-0.8331
