A1_L,A1_R,A2_L,A2_R,PCG_L
-0.0342,0.0407,0.3710,-0.5668,2.5953
-0.0484,-0.4856,-0.1441,-0.8405,0.6617
-1.2122,-1.1860,-1.4994,-1.9832,0.2866
-0.8770,-0.7450,-0.8775,-1.1979,0.4706
-1.4991,-0.9420,-1.5962,-1.6378,0.4463
-0.5613,-0.1631,-1.0089,-0.8446,0.2087
0.1074,0.1930,-0.2003,-0.0192,-0.0412
0.1504,0.3630,-0.4805,0.2718,0.8221
0.2716,-0.0802,-1.2563,-0.5893,-0.1236
-0.0131,0.3209,-0.9981,-0.1975,-0.6781
-0.2076,-0.2258,-1.6414,-0.9628,0.0255
-0.4304,-0.2563,-1.1243,-1.2132,-0.9703
-0.3444,-0.0494,-0.8374,-0.8978,-0.2223
0.1948,0.4918,-0.4291,-0.4901,0.5555
-0.3542,-0.1343,-0.5144,-0.6690,0.5431
-0.4960,-1.1739,-0.2042,-1.0524,-0.8532
-0.3820,-0.2631,0.3875,-0.6089,-0.3504
0.3282,0.0805,0.6593,0.1540,-0.6604
-0.0624,-0.3819,0.4342,-0.6132,0.2463
0.2107,-0.2616,0.0660,0.0062,-1.1125
0.3573,-0.4382,0.1045,0.3423,-0.3294
0.7292,0.1007,1.0693,0.4384,-0.1188
0.9796,1.3115,1.3054,1.4665,0.5617
0.1888,0.9937,0.6429,1.3725,0.8400
0.6086,0.8797,0.9095,1.0756,-0.4227
0.2084,0.4250,0.9085,1.1845,-0.3478
1.2926,0.2746,0.6838,1.2186,0.0948
-0.0069,-0.2366,0.4470,0.7783,-1.3899
0.4975,0.3339,1.3258,1.8488,-0.5345
0.4302,0.1118,0.9765,1.3582,0.3190
0.6721,0.5832,1.2610,1.5339,0.0925
0.4493,-0.0313,1.3120,1.3719,-0.0620
-0.1133,-0.3115,0.4659,0.6734,0.1410
-0.3107,-0.3714,0.4439,0.7518,-0.2003
-0.4725,0.0588,0.9992,0.6776,0.3259
-0.3851,-0.4317,0.0269,-0.5864,0.0621
-0.5102,-0.4889,0.2202,-0.7455,-0.3236
0.2274,-0.2145,1.2143,0.3599,-0.8354
-0.4335,-0.3574,0.5155,-0.0759,-0.5352
0.3110,0.3022,1.1848,0.5573,-0.9951
0.6829,0.7567,1.3299,1.1027,-0.6122
1.2549,0.7884,2.0597,1.6178,0.8875
0.2750,0.5742,0.7399,0.5800,1.1678
1.3509,0.9066,0.8663,0.4172,0.9412
0.7962,0.9186,0.6949,0.6493,0.5419
0.8495,1.0656,0.7852,0.8741,0.1647
0.7553,0.2725,0.0834,0.4062,-0.0529
0.4194,0.6569,0.1462,0.0513,0.1253
0.3254,0.9939,0.6842,0.7159,-0.1371
-0.0796,0.2418,-0.3546,0.2946,-1.4653
0.3999,0.6367,0.0975,0.5194,-1.3204
0.6355,0.5699,0.2194,0.8734,-0.3477
