A1_L,A1_R,A2_L,A2_R,PCG_L
-0.1926,-1.7947,-2.2417,-3.4556,-1.0554
-0.5691,-1.7102,-2.3071,-2.4909,-1.6258
-0.5357,-1.6324,-1.8953,-2.1448,-0.7372
-0.6982,-1.5147,-1.9890,-2.2244,-0.5936
-0.8418,-1.2226,-1.6710,-1.3366,0.2794
-0.3513,-0.4898,-0.9433,-0.6338,0.3831
-0.2030,-0.2293,-0.4785,0.1674,0.7235
0.1143,0.6555,0.4048,0.5500,0.5456
0.5861,0.7974,0.8760,0.4189,0.7516
0.3639,0.5326,0.7075,0.4521,0.5267
0.5785,0.0210,0.3104,-0.0498,0.3301
-0.2855,-0.3454,-0.5026,-0.7117,-0.4296
-0.6453,-0.3921,-0.8882,-0.7020,-0.4746
-0.2932,-0.6150,-0.7894,-0.7136,-0.4656
-0.4267,-0.5220,-0.6498,-0.7307,-0.8028
0.2578,-0.1097,-0.0260,-0.0586,-0.4279
0.0511,-0.1104,0.2752,0.2097,-0.1613
-0.0906,0.1090,0.5457,0.4899,0.4892
0.1067,0.4561,0.7170,0.5518,0.3580
0.4784,0.7685,0.9971,1.0010,0.2818
0.0088,0.4806,0.6742,1.0129,0.1932
-0.0377,0.1805,0.4531,0.6735,0.0503
0.1520,0.6335,0.8307,0.8340,0.7855
0.0333,0.5395,0.7128,0.5216,0.3183
0.0621,0.3258,0.6694,1.0352,0.0289
-0.2316,-0.1166,0.5542,0.4927,0.5543
-0.1410,0.2199,0.3361,0.7929,0.2850
-0.0137,0.6313,0.5757,0.4201,-0.1744
0.4425,0.8771,0.6463,0.5073,-0.4354
0.6538,0.8625,0.6953,1.2386,-0.4303
0.4728,0.6820,0.6889,0.9502,-0.4659
-0.3179,0.1864,-0.0818,0.4495,-0.8551
-0.4129,-0.0430,-0.3327,0.0287,0.2626
0.1124,0.4826,0.2593,0.1841,0.0066
-0.1960,-0.1061,0.3629,0.1685,-0.0762
-0.2017,-0.5625,0.0774,-0.0011,-0.3166
-0.3782,-0.4763,-0.1433,-0.1744,-0.1621
-0.3866,-0.5991,-0.0007,-0.2002,0.2581
-0.1978,-0.0429,0.2306,0.0859,-0.0393
0.2658,0.2100,0.1680,0.3736,0.3794
0.4267,0.8921,0.5191,0.7055,0.6184
0.2171,0.8102,0.6509,0.6651,0.3894
0.2060,0.7520,0.7599,0.9128,0.3961
0.1438,0.3400,0.6578,0.7214,0.5096
-0.1280,0.2130,0.5797,0.4692,0.4323
-0.2710,-0.0518,-0.1288,-0.1618,-0.1833
-0.0552,0.2311,0.0728,0.4881,-0.8857
0.3334,0.7167,0.0926,0.8670,-1.1456
0.2239,0.3415,0.0363,0.3315,-0.9036
0.0957,0.1070,-0.0210,0.2156,-0.2613
-0.1555,-0.1892,-0.1648,-0.1385,-0.1318
-0.1303,-0.0606,-0.2424,0.0661,0.0746
0.1902,0.3667,0.0006,-0.0449,0.2411
0.2305,0.2681,0.1138,-0.2022,0.0444
-0.5541,-0.2733,0.0451,0.3091,-0.0721
0.0014,-0.1639,0.2206,0.1528,0.5666
-0.2287,-0.3552,0.3053,-0.1536,0.1222
-0.0261,-0.5368,-0.2171,-0.0744,-0.2218
0.6684,0.3842,0.2153,0.3002,-0.5557
0.2400,0.2450,0.0494,-0.3452,-0.8879
0.0941,0.3452,0.3372,0.4015,-0.5316
0.4483,0.4047,0.2920,0.2683,-0.5584
0.2193,0.1412,-0.1465,-0.2376,-0.4585
0.4256,0.4748,-0.0186,0.0687,0.3152
0.5895,0.5734,0.0893,-0.0523,0.2415
0.1736,0.1480,0.2384,0.0414,-0.3508
0.4020,0.5720,0.4972,0.3924,-0.9131
0.2748,0.2078,0.0309,0.1365,-0.6554
0.3340,0.3820,-0.1805,0.2042,-0.2941
-0.0534,-0.0995,-0.1190,-0.0119,-0.2309
-0.1096,0.1095,0.4362,0.3704,0.0430
-0.0801,-0.0060,0.3059,0.6643,-0.3879
0.4062,0.1312,0.4381,0.6916,-0.6483
0.1511,0.1601,0.1463,0.0832,-0.6326
-0.1283,-0.0635,0.2590,0.0269,-0.2172
-0.3564,-0.0314,0.2191,0.2978,0.0056
-0.2800,-0.0529,0.4452,0.1584,0.5180
-0.3205,-0.0726,0.3262,-0.4201,0.7388
-0.3990,-0.3163,0.0142,-0.2638,0.6902
0.2626,0.2386,0.4924,0.2296,0.8007
0.6235,0.5069,0.5572,0.2833,0.1666
0.5547,0.2578,0.5156,0.5804,0.4512
-0.1140,-0.5537,-0.4097,-0.4027,0.1870
-0.2774,-0.4924,-0.8172,-0.5215,-0.1518
