A1_L,A1_R,A2_L,A2_R,PCG_L
1.0237,1.0472,1.4003,0.5276,1.3451
-0.2533,-0.0628,0.2318,0.0868,0.3791
-0.9320,-0.7693,-0.9294,-0.8517,-1.0214
-0.9132,-0.8582,-1.1400,-1.4291,-0.1409
-0.1704,-0.5387,-0.5477,-1.2638,0.4170
0.2912,-0.1892,-0.5208,-1.2542,0.3527
0.6583,0.3220,-0.0687,-0.4688,0.4290
0.2222,0.5546,-0.1849,-0.1011,-0.1973
-0.1302,0.0079,-0.4629,-0.3122,-0.4770
-0.2895,-0.9519,-1.2254,-1.0261,-0.5750
-1.3149,-1.1101,-1.6155,-1.0454,-0.8008
-0.5553,-1.0284,-1.0927,-1.2791,-0.8210
-0.4173,-0.5763,-0.6039,-0.9548,-0.3473
-0.6998,-0.5143,-0.2746,-0.7682,-0.1171
-0.2336,-0.3411,-0.0855,-0.4544,0.0277
0.0458,0.2614,0.3203,0.2949,0.1983
0.5784,0.4514,0.8064,0.7228,0.3388
0.3142,0.5353,0.5487,0.3478,0.5757
0.6553,0.6264,1.0684,0.9267,0.8392
0.2782,0.2542,0.6148,0.7098,0.3084
-0.1551,-0.1245,0.7310,0.9784,-0.5407
-0.4829,-0.4833,0.5138,0.5984,-0.4069
0.0073,-0.0983,0.3321,0.6622,-0.3968
0.0281,0.0913,0.5522,0.3982,0.1191
0.0723,0.1730,0.2367,0.5244,0.0109
0.2581,0.3610,0.3529,0.3257,0.3994
0.5878,0.4096,0.2282,0.4388,0.2417
0.2292,0.4888,-0.2156,0.5245,0.2655
0.3782,0.2375,-0.2578,0.5286,-0.0302
0.5985,0.5631,0.1347,0.5257,-0.0775
0.8062,0.5698,0.6120,0.8861,-0.1417
0.0964,0.0430,-0.2423,0.1246,-0.4339
-0.7263,-0.3858,-0.5310,-0.1229,-0.2962
-0.3640,-0.3628,0.3644,0.4242,-0.5672
-0.2907,-0.4105,0.6738,0.0524,0.6268
-0.3005,-0.5053,0.2678,-0.2869,0.6608
-0.6038,-0.4954,0.0105,-0.4036,0.3262
-0.2681,-0.5035,0.0515,0.0197,-0.0153
-0.3451,-0.2981,-0.3076,-0.0609,-0.2837
0.4510,0.2072,0.2537,0.1173,-0.2247
0.6371,0.6512,0.1127,0.2388,-0.0805
0.5951,0.5652,0.4448,0.3761,-0.1063
0.4184,0.2948,-0.0527,0.2808,-0.0590
0.0976,-0.0363,-0.4206,0.4635,-0.3790
-0.0412,0.0250,-0.0258,0.1545,-0.4438
0.3210,0.0943,-0.0037,0.3165,-0.7287
0.0607,0.1736,-0.2673,-0.0387,-0.9699
0.7504,0.3127,1.0161,0.4775,-0.7099
0.0081,0.2061,0.3294,0.3418,0.1131
-0.1761,-0.2863,0.4352,0.3206,0.1193
0.1069,-0.2834,-0.4163,-0.1980,-0.1014
-0.0169,-0.1195,-0.9435,-0.4644,-0.3644
0.1749,-0.0469,-1.0400,-0.3561,-0.5410
-0.0006,-0.4379,-0.8330,-0.6273,-0.7024
-0.5618,-0.4293,-0.3734,-0.3149,-0.0145
-0.5890,-0.6786,-0.8068,-0.8366,-0.2174
-0.4706,-0.3353,-0.4307,-0.6017,-0.1720
-0.5798,-0.5969,-0.4322,-0.3394,-0.1335
-0.3605,-0.2439,-0.3179,-0.2101,0.0957
-0.1200,-0.2197,0.1148,0.1281,0.5561
0.1396,0.2305,0.0912,-0.0099,0.4860
0.5961,0.4260,0.9684,0.6566,-0.1643
0.1651,0.2894,0.7048,0.3226,-0.5137
0.2295,0.4843,0.6451,0.4126,-0.4335
-0.2480,-0.3665,0.5112,-0.0723,-0.2490
0.1165,0.0095,-0.1281,-0.0942,-0.0442
0.1398,0.1963,-0.1802,0.2833,0.0188
0.9216,0.4284,0.3027,0.4310,0.0022
0.4403,0.5769,0.1582,0.2865,0.2566
0.3128,0.7446,0.4755,0.6571,0.0517
0.3223,0.3613,0.5502,0.8144,-0.2043
-0.0298,0.3520,0.1063,0.3219,-0.1889
0.0011,0.1054,-0.1399,0.0375,0.0391
0.0474,0.4945,-0.8211,-0.1887,0.2682
0.6493,0.6519,0.1273,0.6063,0.2520
-0.1555,0.3648,-0.1021,0.1245,-0.1479
-0.5460,-0.3065,0.1228,0.1351,-1.1065
-0.3843,-0.4944,0.4524,-0.4256,-0.7565
0.0164,-0.2794,0.8538,-0.3943,0.2726
0.0096,0.0702,0.1954,-0.5288,0.8431
0.3587,0.2761,0.1406,-0.3616,0.7962
-0.6082,-0.7366,-0.1925,-0.5826,-0.1165
-1.3860,-1.3869,-0.5917,-0.6670,-1.1188
-0.8052,-1.0516,-1.2062,-0.9279,-1.1214
-0.1793,-0.0482,-0.5485,-0.0641,-0.5622
0.3705,0.2773,0.0435,0.4005,-0.5742
0.0787,0.5202,0.0102,0.0325,-0.0453
0.3656,0.6381,0.1571,0.3484,-0.1452
0.2556,-0.2278,0.3413,0.0308,-0.3331
0.3041,-0.2236,0.2871,0.0497,-0.1290
0.3258,-0.0550,0.0517,0.0337,0.2699
0.0461,0.0993,0.4572,0.0579,0.5458
-0.3819,-0.3603,0.4070,-0.2895,0.3600
-0.0015,0.2128,0.2949,0.0921,0.5770
0.5176,0.7544,0.7028,0.8269,0.7669
0.6111,0.5900,0.3326,0.3277,0.8827
0.7118,0.4532,0.7956,0.4730,0.8070
0.5341,0.3034,0.6803,0.4923,1.0800
0.5327,0.6867,0.7955,0.7267,0.8237
0.2957,0.1771,0.5305,0.2717,0.8856
0.6316,0.2526,0.3997,0.6299,0.8639
-0.2226,0.0234,-0.6607,0.0036,0.1265
0.2586,0.1303,0.4925,0.4407,-0.3788
-0.0813,-0.0427,0.2846,0.1704,-0.3469
0.1602,0.0884,0.3228,0.3232,0.0428
0.2776,0.2626,-0.0673,0.1985,0.2463
0.3770,0.3389,-0.0888,0.1710,0.4886
0.0758,0.2701,0.0491,0.2906,0.0351
0.2520,0.1977,0.0118,0.1992,0.1182
0.0821,0.1169,-0.1741,0.1586,0.7234
-0.6292,-0.4672,-1.0156,-0.6201,0.6379
0.0012,0.2564,-1.0975,-0.7345,0.7556
0.1320,0.4789,-0.6509,-0.2708,0.4482
-0.0101,-0.0552,-0.7793,-0.6012,-0.0392
-0.5702,-0.4790,-0.3820,-0.7711,-0.0007
-0.6085,-0.4415,-0.3572,-0.5123,0.3862
-0.0004,0.0477,0.3028,0.2036,1.0453
0.1769,0.3993,0.2133,0.3892,0.4690
1.0270,0.9812,1.4224,1.2357,0.1520
1.6669,1.1385,1.9396,1.4820,0.5324
0.8088,0.8343,0.9731,0.7667,0.8371
0.9285,0.7716,1.1195,0.9752,0.7982
0.8454,1.0552,0.9044,1.0923,0.7382
0.4144,0.6348,0.5019,0.8939,0.2129
0.6611,0.5482,0.3714,0.3947,-0.6702
0.1951,0.1600,-0.4251,-0.3721,-0.4991
0.4253,0.0571,0.5581,0.1097,-0.3964
-0.1438,0.1230,0.0592,0.0581,-0.2563
0.2273,0.3920,0.6667,0.3434,-0.5828
-0.0685,0.1878,0.3364,0.2500,-0.5890
-0.1867,-0.0156,0.2143,0.3264,-0.5152
-0.6425,-0.2390,0.2518,0.1474,-0.5881
-0.3651,-0.2297,0.1206,0.3434,-0.6688
0.1524,0.4746,0.6601,0.5839,-0.2398
-0.1596,0.0945,0.8864,0.3389,-0.6122
-0.8924,-0.3208,0.6387,0.2988,-0.9684
-0.5836,-0.2648,1.1528,0.3484,-0.8857
-0.2265,-0.1277,0.5819,-0.0363,-0.5243
0.0621,-0.0401,0.9751,0.5325,0.0490
-0.3509,0.1004,-0.1985,-0.2674,0.1101
0.0112,0.1674,0.0501,0.0033,-0.0630
-0.0372,-0.1944,-0.2890,-0.4986,-0.1797
-0.6442,-0.8508,-0.2659,-0.2946,0.2611
-1.1237,-1.1600,-1.1746,-1.3349,-0.5757
-0.9309,-0.4112,-1.2608,-1.0849,-0.7052
0.0895,-0.0439,-0.7529,-0.3531,0.0120
0.1696,0.1187,-0.7580,-0.3321,0.6115
0.4492,0.3309,-0.4252,-0.0128,0.3925
0.4224,0.3845,0.0634,0.6127,0.1460
-0.1746,-0.0053,0.0011,0.5815,-0.3909
-0.2679,-0.0680,0.3751,0.6564,-0.4007
-0.3678,-0.2489,0.5787,0.7925,-0.6290
-0.3881,-0.0528,0.3842,0.6271,-0.8058
0.1557,0.2634,0.2088,0.8125,-0.3710
0.6967,1.0322,0.4327,1.3603,-0.1081
0.9303,0.9409,0.2819,1.1939,-0.2882
0.6648,0.9211,0.3464,0.7368,0.1397
0.4907,0.5368,0.2252,0.5013,0.4208
-0.0657,-0.0204,-0.6105,-0.8239,0.5467
-0.2190,-0.0653,-1.3093,-1.3274,0.7135
-0.3967,-0.3190,-1.5452,-1.0792,0.5651
-0.6648,-0.7235,-1.6546,-1.2113,-0.1251
-0.5389,-0.5957,-0.8031,-1.0164,-0.7932
-0.9272,-0.7994,-1.0613,-0.6762,-1.0977
-0.2537,-0.5481,-0.2366,0.0215,-1.1294
-0.7524,-0.7598,-0.3240,-0.3127,-0.2476
-0.3272,-0.1194,0.2768,-0.1351,0.6505
0.1205,-0.0613,0.6336,0.0960,1.2068
-0.1572,0.0372,0.6787,0.0406,1.0038
-0.1768,-0.2632,0.8824,0.1914,0.0887
-1.0035,-1.0184,-0.3888,-0.6707,-0.2573
-0.5659,-0.7555,-0.9215,-0.6604,0.1263
-0.2445,-0.5306,-0.8653,-0.5312,-0.1727
-0.7372,-0.7658,-1.1205,-0.7552,-0.6428
-0.3473,-0.5242,-0.4629,-0.7315,-0.4431
-0.2447,0.0365,-0.1544,-0.2090,-0.1550
-0.1608,-0.0321,0.1752,-0.1851,0.0355
-0.0831,-0.0883,0.2773,0.1266,-0.0916
-0.3070,-0.3007,-0.2173,-0.1129,-0.4067
-0.4503,-0.4794,-0.7863,-1.0297,-0.2993
-0.2944,-0.4827,-0.1602,-0.6358,0.3668
0.1833,0.0254,-0.6309,-0.5886,1.0573
0.2908,0.3651,-0.4144,-0.0717,1.0095
0.3911,0.3294,0.3053,0.3504,0.6335
-0.0063,-0.1046,0.1030,0.0570,0.1616
-0.3599,-0.1163,0.0892,-0.0991,0.7072
-0.2687,-0.0642,-0.0220,-0.0054,1.1397
0.1485,0.1980,0.2255,0.2235,1.2123
0.0996,0.0494,0.1726,0.2955,1.1002
0.2487,0.3248,-0.1138,-0.0180,0.7415
-0.2884,-0.4155,0.0416,-0.1128,0.7184
-0.4832,-0.6447,-0.8098,-0.8216,0.3793
-1.1783,-1.0805,-1.4576,-1.3003,0.3517
-0.3870,-0.3259,-0.8127,-0.7026,-0.1213
0.4847,0.3243,0.1664,-0.1066,-0.0404
0.2882,0.2072,0.6786,-0.0718,0.1903
0.1954,0.1429,-0.0013,-0.4664,0.5681
0.2173,0.3694,-0.1132,-0.5635,1.3383
-0.0049,0.0339,-0.5546,-0.6094,1.4548
-0.0384,0.3975,-0.1598,-0.3313,1.0729
0.2120,0.1972,0.2651,-0.0221,-0.0240
0.3367,0.4431,0.4538,0.3297,-0.3590
0.3184,0.0236,0.3803,0.1604,-0.1133
0.2454,0.2953,0.2582,0.4526,0.1245
0.5471,0.2084,0.6332,0.7102,-0.1216
0.2700,0.3807,0.4255,0.6862,0.0354
-0.5081,-0.2375,-0.0268,0.0901,-0.6496
-0.3154,-0.4051,-0.0386,0.1821,-0.4215
-0.3982,-1.1107,-0.4311,-0.4920,0.0613
0.0721,-0.3548,-0.4740,-0.7188,0.5003
0.4799,0.2330,-0.4979,-0.4731,0.5846
0.8193,0.5328,-0.0593,-0.0667,-0.4577
0.1902,0.6825,-0.2440,-0.1993,-1.0199
-0.0132,0.0522,0.1377,0.3835,-1.2712
-1.0865,-0.9266,-0.5965,-0.4390,-0.9693
-0.4883,-0.7868,-0.1510,-0.6783,-0.6505
0.1034,-0.3556,-0.6618,-0.5191,-0.1740
-0.1647,-0.0241,-0.9626,-0.4478,0.1419
0.0402,-0.3102,-0.6374,-0.4851,0.1602
-0.5141,-0.3850,-1.0387,-0.9174,0.0779
-0.1564,-0.0465,-0.6705,-0.5266,-0.0847
-0.0876,0.1932,-0.5968,-0.5185,-0.2012
-0.0811,0.3482,-0.1547,-0.0695,0.1473
0.1796,0.1069,-0.1508,-0.1391,0.0228
-0.6545,-0.9604,-0.5449,-0.7345,-0.7012
-1.0970,-0.9495,-0.4677,-0.5917,-1.3441
-0.7548,-0.3662,0.0528,-0.3187,-0.5679
0.2382,0.4707,0.3426,-0.0374,0.4043
0.8218,0.8036,0.3334,0.3079,1.0141
0.8007,1.0815,0.3817,0.7819,1.1547
