A1_L,A1_R,A2_L,A2_R,PCG_L
-1.6821,-1.7555,-0.9995,-1.7307,0.4632
-1.2512,-1.2694,-0.7766,-1.5049,1.0128
-0.8503,-0.6478,-0.4674,-1.0819,1.0663
-0.7021,-0.5528,-1.0935,-1.0703,0.3539
-0.8990,-0.8374,-1.0275,-0.8563,0.6656
-0.1484,-0.5334,-0.6553,-1.0123,0.5793
0.2066,-0.1727,-0.1771,-0.1607,0.4397
-0.0753,-0.0516,-0.1560,-0.3476,0.8263
0.2462,0.0630,-0.0396,0.2777,0.2699
0.2896,-0.2727,-0.2702,-0.3794,-0.1931
-0.5155,-0.2370,-0.5595,-0.2953,-0.1618
-0.6577,-0.5861,-1.0438,-1.1734,-0.3012
-0.7681,-0.8427,-0.7903,-1.0597,-0.0342
-0.2784,0.1357,-0.3209,-1.0680,0.3104
0.2841,0.2146,0.1341,-0.5365,-0.0244
0.0061,0.2947,0.2579,0.4062,-0.0083
0.3962,-0.0613,0.5606,0.1377,0.5760
0.5511,0.0681,0.5886,0.6560,-0.1633
0.1684,-0.1367,0.0661,0.5825,-0.4041
0.1441,-0.0119,-0.0220,0.4249,-0.0513
0.1895,0.1139,0.2990,0.5643,-0.7241
-0.2741,-0.4950,0.3828,0.3643,-1.0491
0.2318,0.0433,0.3422,0.4306,-0.9820
0.0484,0.2255,0.8395,1.0480,-0.2603
-0.2425,0.3242,-0.1022,0.9633,-0.0429
0.0066,0.3374,-0.2737,0.4260,-0.7279
0.1603,0.7088,0.1938,0.9925,-0.7059
0.6040,0.7310,0.5746,0.5573,0.0444
0.8326,0.6806,0.9238,0.4078,0.3998
1.0596,0.8068,0.8137,1.0249,0.0968
1.0705,0.7707,0.9646,0.3395,-0.1169
0.6757,0.4144,0.7687,0.9370,0.1783
0.1488,-0.2021,0.3883,0.3721,0.2522
-0.3407,-0.1679,-0.2284,0.2178,-0.3630
-0.7806,-0.3932,-0.7695,0.0826,-0.9917
-0.5267,-0.3643,-0.7465,-0.2089,-1.1336
0.1275,0.1793,-0.2033,0.1880,-1.0405
0.1122,0.2289,0.0860,0.2505,0.0404
0.1030,0.3426,0.1444,0.4432,-0.1538
0.3566,0.7798,0.3509,1.0003,0.2731
0.8848,0.5489,0.9428,0.7152,-0.1060
1.4050,0.6317,0.8551,1.0434,-0.8356
0.5530,0.2302,0.0443,0.2575,-0.4894
0.6751,0.7884,0.5823,0.4924,0.2366
-0.0383,0.3139,0.2727,0.4357,-0.3025
0.1008,0.3177,0.4426,0.1200,0.0310
0.5237,0.3503,0.7216,0.2808,0.1444
0.3000,0.5180,0.6064,0.4535,0.0484
0.1010,0.3314,0.7948,0.7366,-0.2286
