A1_L,A1_R,A2_L,A2_R,PCG_L
-0.1499,-0.5964,-0.3519,-1.4863,0.2828
-1.3121,-0.9413,-1.0807,-1.3193,0.1185
-2.2818,-1.0924,-1.7427,-1.6180,0.0617
-1.4253,-1.1686,-1.1258,-1.7840,0.4013
-0.9015,-0.8246,-1.1137,-1.6182,0.2774
-0.6301,-0.4243,-0.8571,-0.9586,-0.2241
-0.1254,0.0150,-0.6462,-0.2826,0.1010
0.5280,0.6192,-0.4370,-0.2670,0.3320
0.5944,0.6923,-0.4605,-0.0040,0.2915
0.4922,0.7046,-0.7185,-0.3643,0.0065
0.2781,0.2588,-0.8270,-0.5022,-0.1139
0.0947,0.3749,-0.8641,-0.7010,-0.0221
-0.0944,0.0738,-1.1425,-1.1579,-0.7015
-0.1656,0.0039,-1.0208,-1.1244,-0.8816
-0.2141,-0.3666,-0.8515,-1.0640,-0.8285
0.0258,-0.3010,-0.3785,-0.4248,-0.1241
0.4571,0.1896,0.3036,-0.0191,0.0971
0.0656,0.1456,0.5576,0.5537,-0.0286
0.1300,0.2386,0.7344,1.0532,0.1475
0.2294,0.1811,0.7647,0.9715,0.5741
0.4054,0.0765,1.0506,1.0691,0.8644
0.2565,0.0568,0.6711,0.7324,0.2592
0.0324,-0.0944,0.6728,0.7639,0.0488
0.2077,0.0344,0.4630,0.5541,-0.1065
0.0200,-0.0880,0.2302,0.5232,-0.3906
0.1817,0.0809,-0.0578,0.1460,0.1742
0.2814,0.3362,0.0802,0.2804,0.0139
0.0884,0.2751,0.4277,0.3385,-0.1161
0.4590,0.3539,0.7546,0.8908,0.0862
0.5727,0.2910,1.0634,0.7078,0.1703
0.6811,0.6636,0.8892,0.8345,0.1745
0.3773,0.3257,0.7669,1.1680,0.5406
0.1693,0.3854,0.7047,0.9346,0.2240
0.4489,0.1528,1.0967,0.7310,0.0562
0.4009,-0.2811,0.8700,0.6195,0.5323
-0.0847,-0.2199,0.2130,0.1018,-0.0186
-0.4621,-0.4635,-0.0511,-0.3085,-0.1298
-0.2186,-0.3865,-0.1034,-0.2170,-0.3435
-0.4623,-0.4119,0.3665,0.2015,-0.8173
-0.2149,-0.0435,0.2583,0.4824,-0.3295
0.1354,0.3463,0.4200,0.3725,-0.0805
0.2337,0.2761,0.5600,0.3564,-0.1404
0.5886,0.1483,0.8091,0.4464,0.1181
0.9274,0.5110,0.9170,0.9743,0.1816
0.4476,0.5949,0.7531,0.9292,-0.0628
0.2222,0.2878,0.6504,0.7271,-0.1804
0.3661,0.2446,0.4360,0.3316,-0.1645
0.1270,-0.1326,0.1091,0.4072,-0.8274
-0.4020,-0.1852,-0.2936,0.3451,-0.6416
-0.1176,-0.0279,-0.1774,0.2411,-0.4048
0.1913,-0.2678,0.3432,0.4818,-0.1754
0.3660,0.3315,0.2707,0.5252,0.0028
0.2890,0.2829,0.1333,0.1527,-0.5500
-0.1611,-0.0012,0.2814,0.1311,-0.3971
-0.2955,-0.2405,0.2482,-0.0610,-0.4165
-0.3394,-0.3005,0.0452,0.2823,-0.1499
-0.2499,-0.0150,0.2335,0.4166,-0.1419
-0.2067,-0.1549,0.4187,0.4891,-0.0520
0.1995,-0.0811,0.7842,0.4364,0.0571
0.3462,0.1871,0.5586,0.4628,-0.0494
0.0689,0.3689,0.3890,0.6012,0.2781
0.2687,0.5486,0.1722,0.6451,0.3884
0.3084,0.1567,0.0335,0.3945,0.6681
0.1386,0.1093,-0.2717,0.2135,-0.1779
-0.3298,-0.2500,-0.2772,-0.1241,-0.3898
-0.0647,0.0164,0.0826,-0.1045,-0.2857
-0.1693,0.1437,-0.0266,0.0218,-0.5278
0.0239,0.5182,-0.2370,-0.2970,-0.4399
0.1387,0.5010,0.0614,0.0248,-0.2141
0.0125,0.7383,0.1570,0.5130,0.0058
0.2177,0.5881,0.4272,0.1606,0.5783
0.4002,0.1712,0.8960,0.3654,0.1171
0.4435,0.6123,0.6481,0.5055,0.1475
0.2348,0.3736,0.4650,0.1417,0.4153
0.2855,0.4488,-0.0506,0.1378,0.6493
0.2399,0.1855,0.1479,0.1285,0.3436
0.0380,-0.0057,0.3429,0.2235,0.3032
0.2147,0.1050,0.3359,0.3191,0.4903
0.3427,-0.0686,0.5592,0.4463,0.1589
0.0634,0.1816,-0.0128,0.2586,0.0220
0.1820,0.1519,0.0959,0.4188,0.1491
0.0130,-0.1916,-0.2097,-0.0575,0.2526
-0.0581,-0.4811,-0.1819,-0.5565,-0.2852
0.1958,0.0028,0.0792,0.0468,-0.4184
0.0693,0.1178,0.2266,0.4298,0.2038
0.6245,0.3285,0.7716,0.6821,0.3710
0.6036,0.4590,0.3773,0.4941,0.2238
0.2897,0.3543,0.4707,0.6217,0.0093
0.3008,0.3526,0.2100,0.6143,-0.1935
-0.0559,-0.2446,0.3773,0.2772,-0.1515
-0.1886,-0.0488,0.5881,0.6100,-0.0256
-0.4626,-0.2071,-0.0403,-0.0026,-0.2702
-0.2604,-0.5318,0.0461,-0.1843,-0.3768
-0.0418,-0.1364,0.2578,0.2689,-0.0854
0.1020,-0.1412,0.4535,0.5040,-0.0023
-0.2932,-0.1634,0.2962,0.5134,0.3294
-0.0219,0.0652,0.0219,0.1958,-0.2537
-0.0523,-0.2856,0.1056,0.0091,-0.4023
0.1670,-0.1789,0.1586,0.0870,-0.3515
0.1619,0.0941,0.2889,0.3388,0.0750
0.0197,0.2479,0.0309,0.2988,-0.1514
-0.9631,-0.2956,-0.9015,-0.4369,-0.7103
-0.9332,-0.2086,-0.9087,0.0205,-0.3248
-0.9257,0.1966,-0.4724,0.3256,-0.1309
-0.4247,0.2324,0.1402,0.4823,-0.4813
-0.3529,0.3752,0.3750,0.3188,-0.4094
-0.1149,0.6783,0.4299,0.6686,0.3187
0.0979,0.5959,0.7026,0.8525,0.6456
0.6228,0.7703,1.0174,0.5978,0.4598
