IPL_R,IPL_L,mPFC_L,mPFC_R,MFG_L,MFG_R,MTG_L,MTG_R,PCC_L,PCC_R
0.5320,1.1961,1.5384,1.4289,0.5677,0.5602,1.0274,0.3896,0.7176,0.5266
0.3033,0.9951,1.0421,1.3779,0.8615,0.6593,1.4139,0.9098,0.2364,0.1503
-0.2265,0.3901,0.2508,0.4822,0.7778,-0.1360,0.0340,0.2595,-0.2927,-0.2350
-0.2694,0.0304,0.2341,0.1976,0.4216,-0.2409,-1.3848,-0.4912,-0.0509,-0.1610
-0.8651,-0.5358,-0.3011,-0.3884,0.1225,-0.7518,-0.8988,-0.9011,-0.2729,-0.2325
-0.3993,-0.6791,-0.2316,-0.3238,-0.1961,-0.5848,-0.5318,-0.7005,-0.4976,-0.3811
-0.3754,-0.6192,0.0287,-0.2301,-0.3096,-0.5503,-0.4733,-0.6874,-0.6887,-0.8726
0.1354,-0.3114,0.3344,0.0732,0.1944,0.0620,-0.4363,-0.4453,-0.6127,-0.7219
-0.1764,-0.0648,0.8271,0.5958,0.6011,0.2511,0.1115,-0.0176,-0.3604,-0.4320
-0.0624,0.3354,0.6752,0.7675,1.0488,0.4390,0.3947,-0.2701,-0.2861,-0.4293
-0.6514,-0.3202,0.0763,0.2762,0.6918,-0.3170,-0.7490,-0.6141,-0.5016,-0.4938
-1.5274,-0.3846,-0.0072,0.0671,0.2219,-0.6735,-1.2554,-0.7118,-0.4279,-0.5386
-1.4946,-0.6374,-0.6662,-1.0666,-0.3381,-0.9269,-0.0875,-0.8094,-0.5778,-0.6780
-0.7408,-0.6222,-0.2889,-0.7630,-0.9486,-0.9582,-0.2749,-0.5044,-0.5697,-0.7803
-1.1414,-1.1023,-0.8894,-1.0013,-0.7898,-0.6831,-0.2613,-0.6029,-0.7196,-0.7960
-0.8592,-0.2608,-0.7910,-0.7793,0.3761,0.1501,-0.3599,-0.6502,-0.1097,-0.4432
-0.7397,0.0701,-0.5279,-0.9650,-0.7029,-0.6891,-0.3937,0.0053,-0.7327,-0.7501
-0.4386,0.2891,0.1142,-0.2803,-0.6156,-0.5681,-0.4986,0.1648,-0.2239,-0.1922
-0.5814,0.1570,-0.4020,-0.8260,-0.7751,-1.3133,0.3066,0.1175,0.1191,0.0589
2.2910,-1.0285,-0.3834,-0.9787,-1.7753,-0.8812,-0.6753,2.7501,0.5158,1.0926
0.5956,-0.3599,-1.4023,-1.2901,-1.0765,0.0395,-1.8657,0.8327,0.3276,0.2899
-0.0955,-0.1170,-1.1425,-0.7138,-0.5568,0.3345,-0.5041,0.1624,0.2800,0.2303
-0.0926,-0.3922,-0.5254,-0.2297,-0.1699,0.3962,-0.0022,0.6701,-0.3727,-0.5662
-0.0573,0.4850,-0.3965,-0.4836,0.1975,0.3678,0.7107,0.8065,0.0295,-0.1813
