IPL_R,IPL_L,mPFC_L,mPFC_R,MFG_L,MFG_R,MTG_L,MTG_R,PCC_L,PCC_R
-0.4102,-0.0116,-0.2865,-0.6678,-0.8627,-1.7910,0.8246,-1.0958,-0.1180,0.0029
0.0451,-0.2243,-0.0640,0.1177,-0.4643,-0.7998,-0.3851,-0.8373,0.2825,0.3649
0.5441,-0.5095,-1.4712,-0.3743,0.2250,1.1015,-0.6025,0.2637,-0.5938,-0.4737
0.5758,0.1410,-0.3876,-0.2512,0.6728,0.8234,0.4033,-0.1708,-0.5093,-0.4567
-0.3279,0.1107,0.8126,0.1727,0.2744,-0.3535,-0.2187,-0.5869,-0.5957,-0.4307
-0.5116,0.0848,0.9384,0.3484,-0.4352,-1.0201,0.6519,0.1225,-0.3812,-0.3431
-0.3710,-0.0379,-0.2891,-0.0625,-0.2263,-1.1160,0.0557,-0.3152,0.2096,0.3101
0.2859,-0.0556,-0.3517,0.4678,-0.1309,-0.8138,-0.5056,-0.2989,-0.0077,-0.0639
-0.2051,0.1328,-0.0128,0.5987,-0.4161,-0.9181,-0.1054,0.5406,-0.1259,-0.0416
-0.2559,-0.0135,-0.0559,0.3484,-0.2329,-0.7117,-0.0798,0.0242,0.2090,0.2249
-0.4015,-0.3901,0.3992,0.6943,-0.7049,-0.8050,-0.4715,-0.2084,0.1148,-0.0686
-0.4690,-0.3215,0.6237,0.2425,-0.6347,-0.5827,-0.1538,0.0698,-0.0677,-0.0607
0.1458,-0.3133,0.4201,-0.0487,-0.6426,-0.4325,-0.4131,0.2228,0.1920,0.3422
0.1512,-0.5432,0.4344,0.0575,-0.6088,-0.1854,-0.2571,0.3551,0.2204,0.6049
0.1563,-0.0327,-0.0255,-0.3903,-0.3546,-0.0973,0.1040,-0.7849,0.3464,0.7600
-0.0162,-0.0442,-0.3163,-0.1860,0.0164,-0.1560,0.4678,-0.5704,0.3860,0.3442
-0.5593,-0.0080,-0.1257,-0.0584,-0.2542,-0.3624,0.5291,-0.3793,0.1141,0.1472
0.4506,0.2616,0.0627,0.1588,0.1139,-0.0590,0.4259,-0.1904,0.1354,0.2171
-0.1136,0.4434,0.5384,0.2224,0.0341,-0.3480,0.1336,-0.0959,0.7398,0.4413
-0.3275,0.6837,0.3768,-0.9165,0.8664,-0.3237,-0.1314,-0.1586,0.5408,0.5316
-0.4188,-0.1286,0.0432,-0.9391,-0.0556,-0.6282,-0.1826,-0.2111,0.1392,0.1347
-0.7688,-0.6374,-0.0741,-0.5329,-0.3161,-0.7078,0.3860,-0.3529,-0.2249,-0.2943
-0.4043,-0.7720,-0.4482,-0.3271,-0.4568,-0.3246,0.0799,-0.5900,0.0969,0.3736
0.0139,-0.8673,-0.4415,0.0610,-0.6188,0.0539,-0.2562,-0.7525,0.2684,0.3130
-0.1584,-0.6771,0.0372,0.1228,-0.2307,-0.1675,0.1266,-0.3525,-0.1820,0.0561
0.6425,-0.1309,-1.5161,-1.9897,-0.0797,0.8425,-0.0155,-0.0851,0.0819,0.1596
0.5306,-0.1193,-0.6422,-0.3042,-0.3587,0.2262,0.7362,0.0311,-0.5964,-0.6357
0.1299,0.0830,-0.2334,-0.1091,0.6585,1.1147,0.7837,0.3760,-0.6958,-0.6435
0.2202,0.6688,0.1494,-0.2267,0.8835,1.1482,0.8710,0.4652,-0.1930,-0.6580
-0.2718,0.7036,0.1016,-0.5513,0.4792,0.1311,1.2673,0.4196,-0.0893,-0.3317
0.0321,-0.0260,-0.6019,-0.3472,-0.0657,0.0093,0.7317,-0.0522,-0.0404,-0.0473
-0.2119,-0.6179,-0.8120,-0.3919,-0.4732,0.1117,0.2911,0.0040,-0.4023,-0.5003
