IPL_R,IPL_L,mPFC_L,mPFC_R,MFG_L,MFG_R,MTG_L,MTG_R,PCC_L,PCC_R
-0.5948,0.4771,-0.4226,-0.9713,0.9531,-0.6869,-0.5543,-2.1482,0.8643,-0.0625
-1.4378,0.0064,-0.4828,-0.6317,0.7043,-0.6452,-2.1984,-0.4880,0.0925,-0.6743
-0.6407,-0.2418,0.2129,-0.2553,0.3084,-1.0105,-0.8804,-0.6840,-0.3030,-0.7511
-0.8746,-0.9045,-0.3473,-0.4496,-0.0048,-0.9829,-0.3475,-0.5095,-0.3302,-0.7476
-0.9647,-1.0366,-0.1478,-0.7213,-0.3930,-1.1167,-0.4429,0.1394,-0.6131,-0.6263
-0.6356,-0.6236,-0.1345,-0.2750,-0.2452,-0.8450,-0.8273,-0.8549,-0.4251,-0.5464
-0.5264,-0.6506,-0.1025,-0.2865,0.1924,-0.5913,0.6305,-0.5381,-0.1127,-0.3728
-0.3683,-0.4531,-0.5668,-0.3836,-0.3275,-0.4498,0.1576,-0.2622,0.4782,0.1849
0.1349,-0.2058,0.5445,0.4887,-0.4085,-0.1082,-0.8414,0.9311,0.2866,0.5820
0.0975,0.1042,0.1272,0.3504,-0.0737,0.6168,0.9979,0.3515,0.4765,0.7069
0.0687,-0.6595,-0.3946,0.0339,-0.3254,0.7144,0.0238,0.1699,-0.1553,0.5494
0.4416,-0.4771,-0.5531,0.1045,-0.7400,0.3116,-0.6154,0.1288,-0.1014,0.6213
0.3062,-0.7565,-0.8124,-0.4993,-0.4390,0.4051,0.5864,-0.4484,-0.5344,0.0933
0.1176,-0.3760,-1.0274,-0.5385,-0.3114,0.0273,-0.8358,0.3898,-0.3324,-0.1172
0.2262,-0.2011,-0.3262,-0.1667,-0.3206,0.1177,1.6417,0.4710,-0.4576,-0.1583
0.5659,0.4865,-0.4232,-0.1157,-0.4228,0.4833,1.1742,0.1346,0.1686,0.3318
0.3812,0.3842,-0.1884,0.1521,-0.2984,0.6492,-0.3801,-0.1624,0.2899,0.6210
0.3485,0.2181,0.6288,0.6087,0.1759,0.6671,0.3758,0.3104,0.2634,0.3273
0.2724,0.0726,0.1600,0.0215,0.2258,0.6945,0.0822,0.8190,0.4621,0.3051
0.7091,0.2304,0.4711,0.5157,-0.0704,0.4259,0.7167,0.3832,-0.0551,0.1617
1.0007,0.8324,0.4044,0.2153,0.3145,0.8349,0.4841,-0.1943,0.5560,0.4221
