IPL_R,IPL_L,mPFC_L,mPFC_R,MFG_L,MFG_R,MTG_L,MTG_R,PCC_L,PCC_R
0.8118,0.9318,-0.2774,-0.5424,0.1404,-0.4757,0.5330,0.2516,0.2588,0.2894
0.2788,0.3347,-0.7582,-0.7341,-0.9586,-1.1588,-0.0612,0.2189,-0.7169,-0.5978
-0.7422,-0.5153,-0.4938,-0.4717,-1.2238,-1.4436,-0.4973,-1.2131,-0.6507,-0.6178
-1.2128,-1.0082,-0.2629,-0.3182,-1.0077,-1.2925,0.5668,-0.3244,-0.7208,-0.5027
-0.7303,-0.8958,0.0152,-0.4450,-1.0337,-1.5808,-0.2434,-0.6622,-0.7492,-1.0689
-0.3692,-0.4178,0.2605,-0.0642,-0.2921,-1.4635,-0.8084,-0.0575,-0.5718,-1.0855
-0.2701,0.0765,0.6884,0.3433,-0.5030,-1.4761,0.4328,0.7333,0.1589,-0.3592
-0.1313,-0.0486,1.2818,1.4275,0.1173,-0.8532,0.9878,0.3863,-0.0541,-0.2728
-0.2296,-0.6416,0.6891,0.4832,-0.8448,-0.7524,0.2957,0.9616,-0.2244,-0.2976
-0.7149,-0.5126,-0.5519,-0.4115,-0.5780,-0.4204,-0.0029,-0.0827,-0.5394,-0.4546
0.0395,0.1046,-0.0864,-0.4260,-0.1466,0.1300,0.2194,0.1496,0.0624,0.1016
0.2196,0.4064,-0.1585,0.0680,0.4563,0.0346,0.5406,0.8687,0.1598,0.0420
-0.3943,0.0915,-0.4099,-0.0515,-0.2713,-0.5184,0.1185,-0.3721,0.1361,0.3312
-0.0355,0.1901,0.2648,0.2559,-0.1584,-0.7379,-0.0979,-0.6233,0.4636,0.4904
0.2971,0.8568,0.2677,0.3342,0.7270,0.2215,-0.0386,0.4986,0.2733,0.1449
0.1697,1.1849,0.1831,0.0328,0.9603,0.4353,1.2906,0.5387,0.3687,0.0662
0.2249,0.8287,0.5096,0.3604,0.7305,0.3497,0.4235,0.6764,0.1397,-0.2318
0.0355,0.3974,0.1046,0.2246,0.1483,-0.0451,-0.0191,0.5934,0.1796,0.3034
-0.1019,0.3319,-0.1201,0.3220,0.1357,0.0837,0.4375,0.7534,-0.1670,-0.2819
0.2431,0.4048,-0.2054,0.4066,0.4763,0.3849,0.1410,-0.3603,-0.1657,-0.0652
0.1818,0.4208,0.0085,0.3242,0.4816,0.2003,0.3981,0.4972,0.1306,0.0374
0.2505,0.2375,-0.5497,-0.0762,0.1346,0.2250,-0.1651,0.2606,-0.3068,-0.1217
0.4914,1.0530,-0.5719,-0.0379,0.7105,0.5837,0.0542,0.1928,0.1269,0.0302
0.4269,1.3826,-0.1871,-0.2079,1.2903,0.9342,1.2244,0.6803,-0.0802,-0.2954
0.7602,1.4021,-0.0187,-0.3224,1.1058,0.4624,0.7051,0.1883,0.2576,-0.2191
0.5199,0.7071,-0.1515,0.2738,0.6063,0.2416,0.5181,-0.0546,-0.1949,-0.4075
0.4600,0.4845,0.1047,0.0961,-0.2454,-0.0993,-0.4982,-0.2948,-0.2783,-0.2696
0.3013,0.3901,-0.6356,-0.0473,-0.1937,-0.3477,-0.6285,-0.6219,-0.3628,-0.5853
0.0658,0.3980,-0.9230,-0.4307,-0.0714,-0.0525,-0.1408,-0.1724,-0.4641,-1.0552
-0.0780,0.5020,-0.2101,-0.4724,-0.1315,-0.8702,-0.2145,-0.2412,-0.1909,-0.7611
-0.0951,0.3361,-0.7762,-0.3692,0.2451,-0.5706,-0.3324,0.3394,-0.2094,-0.1324
0.7638,0.9010,-0.7075,-0.1347,0.1632,-0.3130,0.4062,1.0287,0.6642,0.6958
0.6939,0.8757,-0.2793,-0.0166,0.4355,-0.2770,-0.1655,0.1458,0.5302,0.6056
0.5332,0.3138,-0.0416,0.0116,0.0122,-0.2273,0.1557,0.2357,0.6166,0.9861
0.3757,-0.1885,0.1828,0.1449,0.3728,0.5989,-0.8995,-0.0037,0.4690,0.4605
0.1285,-0.3554,0.3310,0.3707,-0.3480,0.6480,-0.9792,-0.9298,0.1066,0.5079
0.0621,-0.5736,0.6879,0.6344,-0.0473,1.0367,-2.1369,-0.6691,0.1356,0.3895
0.2354,-0.4830,0.0200,0.0966,0.0061,1.0525,-1.9006,-1.2810,0.1514,0.3236
0.4959,0.3986,-0.5297,-0.7071,-0.1186,0.2503,-0.5747,-0.3090,0.5633,0.6114
0.1972,0.2044,-0.4177,-0.1340,0.2842,0.3301,-1.4116,0.2483,0.6356,0.6245
0.0775,-0.2999,0.5824,0.3845,0.1959,0.8034,-1.6092,-0.6494,0.6632,0.4374
-0.0171,-0.7705,0.9350,0.5884,0.2698,1.0405,-1.3546,-1.2088,-0.0739,-0.1857
0.2268,-0.4002,0.7733,0.2889,0.2819,1.0488,-1.8250,-0.3191,-0.1008,-0.1231
0.1409,-0.0044,0.5358,0.3838,0.6754,1.1662,0.7201,-0.7247,0.2419,0.1942
0.0364,0.0372,0.0324,-0.3137,0.3321,0.7030,0.6665,0.4883,0.4496,0.6427
-0.2351,0.1703,0.4257,0.0057,0.3243,0.0304,0.4431,0.3714,0.3517,0.0851
-0.3257,0.3881,0.6974,0.2437,0.1337,-0.4263,0.9631,-0.6599,0.0237,-0.3305
-0.3920,-0.4949,0.2847,-0.1593,-0.3585,-0.5198,-0.6186,-0.3663,-0.3970,-0.5271
-0.0179,-0.8180,0.1345,-0.3461,0.0060,0.0906,0.2690,-0.9621,-0.4070,-0.0911
0.0904,-0.4883,0.0291,-0.1781,0.3444,0.3820,-0.1576,-0.6657,0.0875,0.3035
-0.3488,-0.9026,0.1331,-0.1156,-0.1078,0.4808,-0.1119,-0.4322,-0.3471,-0.0045
-0.1365,-0.9797,-0.3799,-0.6359,-0.9155,0.5281,0.4138,-1.8177,-0.1825,0.2536
0.0115,-0.7885,-1.3562,-1.2218,-0.6428,0.6952,0.0101,-1.0535,-0.8462,-0.4428
-0.1406,-0.6707,-1.1433,-0.9668,-0.4244,0.6861,0.4124,-0.8417,-0.7518,-0.6148
0.0310,-0.9895,-0.1878,-0.3478,-0.3639,0.8032,-0.5378,-0.4768,-0.7631,-0.6220
-0.1469,-1.1638,-0.1005,-0.4737,-0.8563,0.4224,-0.2153,-0.4988,-0.4300,0.0617
-0.4479,-1.3408,-0.5997,-0.3007,-1.0285,-0.0683,-0.0038,-0.3814,-0.5996,-0.1804
-0.0422,-0.5975,-0.4973,-0.6071,-0.9033,-0.1633,-0.2935,-0.5412,-0.3882,-0.1673
0.2700,0.2752,-0.6121,-0.5727,-0.2510,0.0476,0.1163,0.1455,0.1961,0.2745
0.9547,0.6591,-0.1965,0.1706,0.3086,0.7923,0.5343,-0.3954,0.2530,0.3716
1.0238,1.1771,0.5566,0.6406,0.6498,0.8015,0.5502,0.8933,0.4872,0.6251
0.7932,1.0374,0.1046,0.3152,0.6165,0.4626,1.1807,-0.2456,0.3896,0.5897
1.6149,1.2827,0.3517,-0.0675,0.5788,0.5925,1.4547,-0.3219,1.0612,0.8997
0.1387,0.7004,-0.9385,-0.4025,0.7504,0.2404,-0.3761,-0.6870,0.5165,0.5835
0.2874,0.3572,-0.8313,-0.4749,0.3053,0.2741,0.2530,0.2002,-0.0816,0.2603
0.0684,-0.2131,-0.7267,-0.7374,-0.1784,-0.3670,0.0066,0.4932,-0.0349,0.1062
-0.6735,-0.8219,-0.7833,-0.5886,-0.7217,-0.8610,0.1341,0.7401,-0.7121,-0.4171
0.1403,0.1024,-0.0752,0.0200,-0.1849,-0.4881,0.3780,-0.5668,-0.1157,0.0487
-0.2058,-0.2046,0.4523,0.5505,0.5907,-0.1214,-0.2615,0.1601,0.4456,0.3275
-0.7995,-0.0811,0.9178,1.0092,0.6283,0.0621,-0.0616,-0.1908,0.5822,0.4912
-1.0927,0.2211,0.8404,0.6653,0.7154,-0.0322,-0.7254,-0.1744,0.9838,0.9041
-0.6769,0.1615,1.0194,1.2672,0.6796,0.5018,-1.0378,-0.6305,1.0430,0.7763
-0.4720,0.0743,0.9760,1.1403,0.6143,0.8813,-0.6062,-0.0648,0.7621,0.6185
-0.7923,-0.2227,0.4044,0.4358,0.5172,0.3585,-1.0159,-1.4129,0.5469,0.1914
-0.9029,-0.4170,0.1280,-0.2439,0.4194,0.3216,-0.2910,-1.3483,-0.3136,-0.3607
-1.2271,-0.8313,-0.6933,-0.9164,-0.4753,-0.5674,-0.6405,-1.1861,-0.3606,-0.5477
-1.1487,-0.6371,-0.5374,-0.6537,-0.6841,-1.5874,-0.1192,-1.0458,-0.7415,-1.1096
