IPL_R,IPL_L,mPFC_L,mPFC_R,MFG_L,MFG_R,MTG_L,MTG_R,PCC_L,PCC_R
-0.3343,0.5712,0.3044,-0.2663,0.3901,0.1136,0.6594,-0.3591,0.8861,0.6030
-0.3334,-0.0909,0.3030,0.2723,-0.0110,0.0259,-0.8178,0.3943,0.4478,0.1902
-0.1882,-0.2497,-0.1861,0.0608,-0.0102,-0.4830,-0.2081,-0.1153,0.0149,-0.1318
0.2985,0.2503,-0.1034,0.0110,0.3602,-0.1497,0.7871,0.7331,-0.1429,-0.2804
0.1649,0.2745,0.5108,0.2391,0.3648,-0.1508,0.8012,0.5051,-0.7729,-0.9368
-0.2592,-0.1765,0.3637,0.4158,-0.2499,-0.0295,0.8379,0.6273,-0.7825,-0.7605
-0.5615,0.1394,0.1890,0.0458,0.1012,-0.6555,0.8160,-0.9575,0.1011,0.0577
0.9987,1.6326,0.0413,-1.6545,0.3951,-1.3954,2.4031,-1.3640,0.8182,0.9114
-0.2178,0.2320,-0.3318,0.1789,0.4587,-0.7430,-1.0434,-0.3581,-0.2693,-0.1982
0.1740,0.4586,0.1007,0.2893,0.8454,-0.1202,0.5283,0.0367,-0.2908,-0.3684
0.0906,0.0848,0.1737,0.1188,0.2671,-0.5863,1.0569,-0.2380,-0.1928,-0.1911
0.0310,-0.2803,-0.2826,-0.2215,-0.1403,-0.9864,0.3009,-0.7703,-0.5752,-0.4377
0.2456,-0.2081,-0.7619,-0.3612,0.0829,-0.1292,-1.2325,-0.9069,-0.3778,-0.1403
0.6560,0.6178,-0.4310,-0.0148,0.7096,0.8680,-0.6380,-0.1618,0.2168,0.6003
0.3752,0.5889,-0.2250,-0.2587,0.0635,0.9530,0.2330,-0.0586,0.3782,0.6474
0.1602,0.3609,-0.2751,-0.2657,-0.6369,0.0189,-0.0955,-0.1229,0.4375,0.4690
0.3287,0.2714,-0.2661,-0.0850,-1.0852,-0.4933,-0.5578,-0.1487,0.5897,0.7559
0.0390,-0.2648,-0.3423,-0.1804,-0.8075,-0.0781,0.6908,0.2421,-0.1982,-0.0627
0.3033,0.0831,0.6009,0.6174,0.3458,0.6275,-0.2623,0.5228,-0.1439,-0.0580
-1.9741,-1.7504,0.1198,-0.5254,-0.2142,0.0841,-0.7202,1.1181,-0.7176,-0.8965
-0.5674,-0.6254,-0.6359,-0.5975,-0.4629,-0.7108,-0.1774,-0.1024,-0.2139,-0.3047
-0.3021,-0.8572,-0.1650,-0.1208,-0.9201,-0.5149,-0.7437,-0.5528,-0.2468,-0.3359
-0.3959,-1.1498,-0.7778,-0.4274,-1.1570,-0.3725,-1.1094,-0.7444,-0.7239,-0.5167
-0.1155,-0.6766,-0.0446,0.2412,-0.4537,0.4610,-1.1836,-0.0547,-0.4144,-0.2217
-0.0255,-0.5949,0.2627,0.5398,-0.1322,0.6719,-0.1451,0.1874,-0.3383,-0.0001
-0.2271,-0.4391,0.5821,0.7534,-0.1902,0.5661,-0.2571,0.0744,-0.0403,0.0594
0.1836,-0.0297,0.7333,0.7745,0.0929,0.2011,0.0539,0.3118,0.0665,-0.0847
-0.4265,0.2140,0.4029,0.3376,0.4203,0.2016,0.0155,-0.0797,-0.4441,-0.6890
-0.2002,0.1420,0.5503,0.1821,0.6522,0.4609,-0.5793,-0.2106,-0.4031,-0.7148
-0.1590,-0.4193,0.3152,-0.0915,0.0599,0.0855,-0.1069,-0.2219,0.1056,-0.1979
-0.0514,-0.0893,0.2288,0.2880,0.1248,0.4520,0.0932,-0.2222,0.4426,0.1754
0.5483,0.4759,0.2489,0.4761,0.5078,0.5960,0.3665,0.5079,0.8196,0.7906
-0.2874,0.7157,-0.1269,-0.0540,0.5771,0.2286,-0.0333,0.1016,0.7413,0.6118
0.5500,0.5105,-0.0703,-0.1863,0.5763,0.1489,0.7868,0.6304,-0.0868,-0.2636
0.0430,0.0670,-0.3908,-0.4091,0.5727,0.7233,-0.1139,-0.1466,-0.7257,-0.8353
-0.2572,0.1292,-0.0754,-0.2769,0.6783,0.6709,-0.2641,-0.0256,-0.6579,-0.9205
0.2528,0.1342,-0.1168,0.0755,0.1358,0.9213,0.0685,0.8693,0.0128,-0.0708
0.0445,-0.4469,-0.1811,0.0460,-0.6883,0.5469,-0.5418,0.0734,-0.0442,0.0996
-0.5429,-0.7743,-0.4408,-0.4154,-0.8329,0.2154,-0.6132,-0.4226,-0.4523,-0.2654
-0.5223,-0.1794,-0.6501,-0.4284,-0.0746,-0.0132,-0.3116,-0.4656,-0.5013,-0.4736
-0.4054,-0.5949,-0.1855,-0.0371,-0.3290,-0.1339,-0.5609,-0.5221,-0.3779,-0.4139
-0.3561,-0.6319,-0.3430,-0.2383,-0.6134,-0.1489,-1.0004,0.0532,-0.1472,-0.2521
0.0805,-0.1128,-0.0418,0.0734,-0.0929,0.3113,-0.6313,0.4719,0.0739,0.1513
0.3723,0.4051,0.1910,0.4124,0.4065,0.8934,0.3255,0.1145,0.2627,0.4398
0.3726,1.0664,0.3023,0.1923,0.8270,0.4642,0.4357,-0.6846,0.4308,0.5565
0.4708,1.1099,0.6332,0.3224,0.8618,0.3945,0.0118,-0.6609,0.7501,0.5984
0.1601,0.1991,-0.4720,-0.5981,0.1720,0.1179,-1.4530,-0.6765,0.4019,0.4088
-0.1524,-0.3661,-1.1572,-0.4379,-0.3998,-0.0325,-0.4158,-0.2168,-0.0160,0.0690
0.3330,-0.0124,-0.3381,0.3603,-0.1099,0.4082,-0.2338,0.9146,0.3404,0.4331
0.6592,-0.3750,-0.4140,-0.0285,-0.4970,0.0342,-0.4559,0.2269,0.4079,0.6760
0.2261,-0.6625,-0.6430,-0.0049,-0.7821,0.0823,-0.0118,-0.0097,0.4563,0.6538
-0.0631,-0.0283,-0.7765,-0.0681,-0.5646,0.4363,-0.4591,0.4069,0.6060,0.7490
-0.2108,-0.0945,-0.8232,-0.1636,-0.1481,0.2953,-1.1269,0.8604,0.3090,0.4877
-0.4273,0.0319,-0.5354,-0.1190,0.1217,-0.1151,-0.3504,0.1044,-0.2837,-0.2782
0.0106,0.6555,-0.3135,0.2685,0.6476,0.0240,-0.1939,0.2632,-0.1194,-0.0942
-0.4010,0.3986,0.0251,0.6627,0.8760,0.3737,0.3094,0.0022,0.0891,0.1400
0.0326,0.4018,0.5360,1.0959,0.9660,0.8575,0.9331,1.0280,0.2122,0.2061
0.5389,0.2188,0.8539,1.3363,0.7528,1.1591,1.4551,1.3566,0.2709,0.1287
0.4164,-0.2623,1.1178,1.7261,0.2605,0.9272,0.2267,0.8540,0.1649,0.2790
0.5079,-0.6085,1.3289,1.9219,-0.2532,0.5352,-0.1720,0.8736,0.2338,0.7615
0.1336,-0.4378,1.4528,1.9988,-0.4141,0.2707,0.1686,-0.2264,0.4587,0.9049
