IPL_R,IPL_L,mPFC_L,mPFC_R,MFG_L,MFG_R,MTG_L,MTG_R,PCC_L,PCC_R
0.0690,-0.0017,-0.3847,-0.4038,-0.2955,0.3082,-0.9693,-1.9480,0.3253,0.4436
-0.3523,-0.3141,0.2060,0.1367,-0.3029,-0.1417,-0.8849,-0.6482,-0.3802,-0.2555
-0.8629,-0.5983,-0.1316,-0.4986,-0.7275,-0.6670,-1.2143,-1.2958,-0.3589,-0.2482
-0.1405,-0.0085,-0.8053,-0.7715,-0.8171,-0.2580,-1.4882,-2.0675,-0.0003,0.1125
0.5824,0.4639,-0.3513,-0.3731,-0.3359,0.0550,-1.0801,-1.4800,-0.0011,0.0953
0.0300,0.1037,0.2769,0.0195,-0.2418,-0.6250,-0.8423,0.0721,-0.4370,-0.5680
-0.6573,-0.3047,0.8447,0.3240,-0.4264,-0.5538,0.3361,0.8524,-0.5152,-0.5240
-0.9941,-0.8401,0.1113,-0.5765,-0.4739,-0.6691,-0.5672,-0.1721,-0.3454,-0.4067
-0.5806,-0.6408,-0.2230,-0.4911,-0.1512,-0.3157,-0.3063,-0.6749,-0.5729,-0.6731
0.4779,0.2435,0.1876,0.0450,0.4757,0.1285,-0.4076,-0.1026,-0.0498,-0.3232
-0.1720,-0.0714,0.3959,0.0783,0.3792,0.1836,-0.6364,0.2117,0.3075,0.2468
-0.1835,-0.0287,-0.0096,-0.0724,0.3829,0.3509,-1.0553,-0.4889,0.4575,0.4816
0.2513,0.3486,0.2435,0.0559,0.5601,0.4988,-0.4892,-0.9159,0.0836,-0.0328
0.4103,0.3291,0.1523,0.1691,0.3175,0.0776,-0.6785,-0.6746,-0.0919,-0.1283
-0.0547,-0.4287,-0.0203,0.0905,-0.2046,-0.1876,-0.2136,-0.1547,0.3163,0.1768
0.0560,-0.2263,-0.2909,-0.0252,-0.6760,-0.1610,-0.4551,-0.4550,0.5127,0.5942
0.1971,-0.4096,-0.0545,0.3102,-0.2094,0.3327,-0.1479,0.8898,0.1807,0.3560
0.2151,-0.1431,0.0514,0.6194,0.0508,0.5336,1.2011,0.5909,-0.0841,0.0273
0.5421,0.1665,0.1732,0.7296,0.5153,0.7305,1.2508,1.0426,-0.0628,0.1383
0.2103,0.1488,0.2919,0.8523,0.3535,0.0759,1.5506,0.6522,0.0285,-0.0631
-0.2308,0.3550,0.3739,0.5920,0.3104,-0.2344,1.0579,1.0842,0.2076,0.0522
-0.3751,0.3420,0.2759,0.3427,0.2582,-0.2931,0.5850,0.8560,0.3632,0.0590
0.0962,0.3053,0.2400,0.1579,0.6961,0.3556,0.5042,0.5624,0.3024,0.1976
0.3869,0.3251,-0.2049,-0.0158,0.7007,0.6127,1.4894,1.1163,0.7001,0.6330
0.0310,-0.0028,-0.3223,0.1229,0.6504,0.7870,1.1649,0.2507,0.3345,0.5289
0.1262,-0.2246,-0.1257,-0.2089,0.3985,0.3142,1.3558,0.6124,0.2914,0.5931
0.0310,-0.2065,-0.1898,-0.1073,0.0864,-0.0879,0.9630,0.3891,0.2325,0.4515
-0.2464,0.0340,-0.2805,-0.2702,0.1271,-0.0701,0.2090,0.1990,0.3364,0.2203
0.0509,0.4338,-0.4641,-0.4778,0.1316,0.0461,0.1962,-0.0320,0.4720,0.3948
-0.2721,0.1731,0.0349,0.0609,0.1973,-0.1157,0.2781,-0.0205,0.3878,0.2531
0.3445,0.2364,0.2818,0.7072,0.3283,0.1142,0.6958,0.6314,0.6104,0.5542
0.6231,0.6082,0.8106,0.8636,0.6689,0.3407,1.1418,0.9964,0.5231,0.5016
1.0402,0.9692,0.8256,0.8333,1.0059,0.7399,1.7746,0.5314,0.1634,0.2309
0.8721,1.1187,0.2144,0.4305,0.5196,0.2417,1.1618,1.0086,0.2576,0.2040
0.4185,0.5229,0.0404,0.2028,0.6956,0.0491,1.0093,0.3073,-0.1085,-0.1029
0.4607,-0.3150,-0.2702,-0.0555,-0.0519,0.1622,-0.2217,0.1952,-0.1115,0.1443
0.8397,0.0610,0.1296,0.1803,0.5094,0.7878,-0.1801,-0.1151,-0.3245,-0.0514
0.2191,0.1821,0.0297,-0.0000,0.0537,0.1589,-0.3376,0.2626,-0.7017,-0.6671
-0.3932,-0.2324,0.3500,0.0351,-0.5254,-0.2044,0.3742,-0.0174,-0.0957,-0.1722
-0.4860,-0.6233,-0.3154,-0.3410,-0.8026,-0.4604,0.6874,0.0562,0.3351,0.2057
-0.4716,-0.5918,-0.5031,-0.5107,-0.5678,-0.3821,-0.5068,-0.5939,-0.2485,-0.2265
0.0078,0.0741,-0.3469,-0.2701,0.1067,-0.1550,-0.3424,-0.0655,-0.3140,-0.3636
0.2273,0.2650,0.1589,0.6668,0.1081,0.1222,0.8173,0.0392,-0.3469,-0.3019
0.3310,-0.1311,-0.1332,0.0254,0.2655,0.3639,0.4695,0.3720,-0.2504,0.0558
-0.3021,-0.2157,-0.2700,-0.6349,-0.3670,-0.2820,0.7128,0.5201,0.0570,-0.0802
-0.4932,0.0609,-0.1629,-0.3317,-0.0456,-0.6275,-0.4985,-0.3971,-0.0517,-0.4260
-0.5239,-0.2865,-0.5733,-0.8356,0.0416,-0.3882,-1.1763,-0.7790,-0.3090,-0.5421
-0.5052,-0.2867,-0.4712,-0.7158,-0.2304,-0.1898,-0.9336,-0.2008,-0.4730,-0.7901
-0.2188,-0.0132,-0.4306,-0.1984,-0.5548,-0.5355,-1.4239,-0.7417,-0.1672,-0.1964
0.4349,-0.0091,0.3676,0.2863,-0.6613,-0.4150,-0.5598,-0.5149,0.1856,0.5623
1.0426,0.0951,0.6418,0.3366,-0.3594,0.4443,-0.5140,-0.6375,0.3325,0.6850
0.4770,0.1021,-0.0928,-0.2381,-0.1860,0.2972,-1.1801,-0.6810,0.4842,0.6219
0.1915,0.1636,0.0930,-0.1526,0.1165,0.1100,-0.6769,-0.7337,-0.1656,-0.0874
0.0339,0.1434,0.1730,-0.0870,0.4029,0.2544,-0.5193,-0.3137,-0.3203,-0.3080
-0.2276,-0.1671,0.2890,0.1770,0.1345,0.1166,-0.7219,-0.2092,-0.4983,-0.5361
0.0192,-0.3436,0.2872,0.3704,-0.3888,-0.1941,-1.2696,-0.2132,-0.5090,-0.2174
-0.0585,-0.5374,0.1665,-0.0668,-0.9844,-0.5338,0.0459,-0.0432,-0.5631,-0.4362
-0.5520,-0.5631,0.0572,-0.4031,-0.7953,-0.8856,-0.8238,-0.0744,-0.8346,-0.5875
-0.8419,-0.7340,-0.6652,-0.3950,-0.8711,-0.8938,-0.4754,-0.1813,-0.3783,-0.4555
-0.4249,-0.2335,-0.9485,-0.7034,-0.4792,-0.6674,-0.3224,-0.8961,0.0724,0.0193
0.5658,0.1955,-0.0934,-0.2747,0.1262,0.0861,-0.0512,-0.7986,0.0422,-0.1693
0.0122,-0.0463,0.2813,-0.3515,-0.4857,-0.7531,0.3681,0.7103,-0.3323,-0.5511
