IPL_R,IPL_L,mPFC_L,mPFC_R,MFG_L,MFG_R,MTG_L,MTG_R,PCC_L,PCC_R
0.3996,0.8097,0.1087,-0.2106,0.5466,0.1711,1.0011,0.2375,0.9857,0.7109
0.0113,-0.0883,1.6360,1.7753,0.5745,0.3153,0.2012,-0.0499,-0.2699,-0.2859
0.0385,-0.5705,1.3644,1.3526,0.2832,0.1424,-0.5460,-0.5406,-0.5624,-0.4763
-0.3433,-0.4034,-0.4558,-0.4934,-0.0928,-0.5543,-1.3645,-0.9393,-0.5473,-0.4309
-0.2737,-0.5855,-0.3947,-0.4049,-0.3862,-0.7077,-0.5917,-0.4226,-0.6912,-0.5430
-0.6735,-0.2826,-0.5779,-0.7281,-0.3675,-0.7004,-0.6026,-0.5790,-0.2023,-0.0749
-0.1360,0.0091,-0.4224,-0.3959,0.0909,-0.2123,-0.4009,-0.1095,-0.0270,-0.0979
0.2690,0.4897,0.0045,-0.1506,0.3292,0.0460,0.0449,0.1651,0.4715,0.3674
-0.2294,0.2230,0.1170,-0.3159,0.1096,-0.2613,-0.2191,-0.1789,0.2457,0.0819
-0.2610,-0.0561,0.1650,0.0214,0.1909,-0.2726,0.2845,-0.5218,-0.2156,-0.3023
-0.3283,0.3172,-0.3485,-0.4204,0.0660,-0.5753,0.0869,-0.5820,0.2942,0.1819
-0.1404,0.6053,-0.0889,-0.0540,0.4222,-0.3596,-1.2873,-0.5065,0.4205,0.1163
-0.1866,0.7734,-0.0873,-0.2415,0.4359,-0.2741,0.1457,0.0314,0.6666,0.4584
-0.0796,0.9199,-0.0951,-0.3369,0.6313,-0.1047,0.0074,-0.2185,0.4327,0.0822
0.1499,0.8650,-0.1464,-0.2886,0.6681,0.0062,-0.4538,-0.2852,0.4284,0.0815
0.4919,0.8287,0.1270,0.1285,0.4565,0.1283,-0.9206,-0.1993,0.6222,0.6029
0.9477,0.5817,0.0986,0.1729,0.5014,0.6221,0.2195,-0.1124,0.2831,0.5320
0.2534,-0.2253,-0.1931,0.2066,-0.0825,0.4790,0.3743,0.0507,0.0697,0.4748
0.4196,-0.4490,0.2782,0.4188,-0.1078,0.7608,0.4768,0.4083,-0.4801,0.0156
0.3872,-0.6145,0.0684,0.1873,0.0192,1.0043,1.0821,-0.1143,-0.7514,-0.3945
0.1639,-0.6279,-0.3653,-0.0230,-0.1011,0.8080,0.7812,-0.2914,-0.7451,-0.2778
0.2783,-0.4833,-0.0192,0.2195,-0.0888,0.5495,0.4341,0.5467,-0.7590,-0.7410
-0.3733,-0.3224,-0.4521,-0.1557,-0.5562,0.2499,-0.6051,0.1479,-0.3914,-0.2227
-0.0787,-0.2477,0.0215,0.0836,-0.4376,0.0474,-0.6179,0.0314,-0.5638,-0.1927
-0.3575,-0.2485,-0.1112,-0.0302,-0.2758,-0.4752,0.7405,0.0684,-0.3431,-0.3231
-0.5202,-0.3514,-0.0571,0.2673,-0.1140,-0.2152,0.7156,-0.0773,-0.1703,-0.4713
-0.3316,-0.2261,-0.0484,0.2596,-0.0401,-0.2277,0.0260,-0.4632,0.1866,-0.2022
-0.3633,0.0830,-0.0611,0.0267,0.0289,-0.1601,0.6325,-0.4848,0.5318,0.1819
0.0553,0.3322,-0.0361,0.1995,0.1783,0.1546,0.9272,0.2251,0.6211,0.5245
-0.0303,0.3565,0.0259,-0.0571,-0.3881,-0.2806,-0.9659,-0.2958,0.6964,0.7163
0.2260,0.1862,-0.2473,-0.2633,-0.0165,0.1956,-0.2418,-0.0363,0.5634,0.3686
-0.0345,0.0748,-0.4929,-0.7430,-0.3187,0.3585,-1.1065,-0.1662,0.5743,0.5983
0.2557,-0.1713,-0.2874,-0.2630,-0.2777,0.4688,0.3112,-0.0545,0.0928,0.0778
0.0469,-0.2672,-0.0246,0.1041,-0.4515,0.2730,0.0648,0.2124,0.1074,0.1889
0.1738,-0.2680,0.4046,0.4786,-0.1888,0.3587,0.0825,1.0007,-0.1598,0.0547
0.3614,-0.2939,0.3102,0.4792,-0.1278,0.1971,0.2958,1.1347,-0.3971,-0.3315
0.1171,-0.3225,0.1274,0.0282,-0.1829,-0.0658,0.4757,-0.0383,-0.2164,-0.1027
0.0072,-0.2691,-0.1500,-0.0924,0.0020,-0.0540,-0.2953,-0.1323,-0.3187,-0.4177
-0.5330,-0.2823,-0.6000,-0.4740,-0.6519,-0.6590,0.0606,-0.6345,0.1327,-0.0943
-0.6136,-0.2966,-0.4453,-0.5622,-0.5619,-0.2298,-0.0240,0.0326,-0.0385,-0.2004
-0.5586,-0.1614,0.1053,-0.2917,-0.2879,-0.2383,-0.0273,-0.3610,0.1788,-0.1940
