IPL_R,IPL_L,mPFC_L,mPFC_R,MFG_L,MFG_R,MTG_L,MTG_R,PCC_L,PCC_R
-0.2924,0.3755,1.2749,1.1713,0.6450,-0.2451,-0.1527,-0.3426,0.3465,0.0903
-0.2474,0.2742,0.5818,0.4616,0.6905,0.3243,-0.6235,-0.3212,0.1213,-0.0796
0.2406,0.1711,0.2371,0.2937,0.3694,0.3191,-0.4877,0.0200,0.2803,0.1889
0.7525,0.5028,0.6185,0.6566,0.4842,0.5944,-0.3272,0.4732,0.6083,0.5583
1.0792,0.6966,1.1753,1.0207,0.7781,1.0541,0.2245,0.6009,0.6322,0.4918
1.3123,0.9237,0.9707,0.9706,0.6269,0.6399,-0.0694,1.0177,0.9728,0.6828
0.9232,0.5480,1.1808,0.7896,0.6035,0.6576,-0.1025,0.8324,0.6075,0.2979
0.5792,0.3783,0.4716,0.1776,0.8571,0.6112,0.1376,-0.0430,0.6348,0.4422
-0.1148,-0.0299,-0.3668,-0.6439,0.2458,0.0995,-0.2758,-0.3910,0.1982,0.3547
-0.1930,-0.1579,-0.7101,-0.7010,-0.3748,-0.4853,-0.2980,-0.6658,-0.2081,0.0404
0.1234,0.1238,-0.4597,-0.5109,-0.5754,-0.5196,-0.0214,-0.4059,0.1403,0.3218
0.1396,0.1463,0.2010,-0.4931,-0.6224,-0.7125,1.0259,0.2514,0.3404,0.3002
0.6075,0.8220,0.3194,-0.0695,0.2458,-0.4059,0.4659,0.0556,1.1877,1.2064
0.5138,0.8231,0.8025,0.2426,0.6627,0.2395,0.6005,0.0957,1.2688,1.0480
0.2229,0.5012,0.2770,0.0032,0.4700,-0.2382,0.7626,-0.9560,0.8705,0.7389
0.1332,0.1122,-0.1474,0.1869,0.0980,-0.1314,0.2625,-0.0289,0.2282,0.2468
-0.2020,-0.4716,-0.6109,-0.2558,-0.3027,-0.0186,-0.2870,-0.4791,-0.5644,-0.3606
0.1471,-0.1349,-0.3782,0.1166,-0.1235,0.0212,0.1550,-0.0060,-0.4130,-0.2013
0.0571,-0.1058,0.0362,0.3689,-0.2067,0.0330,0.4782,0.3238,-0.3062,-0.2193
-0.1601,-0.3531,-0.4906,-0.3366,-0.1765,0.1432,0.5497,0.0652,-0.5121,-0.4356
-0.2954,-0.3926,-0.9123,-0.6861,-0.1800,0.0399,0.2268,-0.0426,-0.3773,-0.3340
-0.4395,-0.6304,-0.7024,-0.6349,-0.3717,-0.0308,-0.7659,0.0580,-0.5373,-0.5334
0.0364,-0.1390,-0.3566,0.1379,-0.2423,-0.0992,-0.1234,0.1107,-0.2179,-0.0585
-0.1551,-0.1030,0.2247,0.0875,-0.0150,0.2632,0.5731,0.0318,-0.1364,-0.1670
0.0788,0.0300,-0.1751,0.0032,0.1478,0.0814,0.0767,0.0853,-0.4099,-0.5055
-0.5312,-0.2862,-0.5350,-0.2553,-0.1811,-0.3933,-0.1441,-0.4391,-0.5935,-0.6023
-0.9515,-0.6704,-0.4763,-0.4848,-0.4314,-0.3536,0.3169,-0.2710,-0.6541,-0.4493
-0.2842,-0.1450,-0.0537,-0.0929,-0.1998,-0.0065,0.1235,0.2850,0.0046,-0.0048
-0.4963,-0.1780,-0.0401,-0.1327,-0.1920,-0.1069,-0.2322,-0.0515,-0.1182,-0.2746
-0.5753,-0.6178,-0.7675,-0.4742,-0.4072,-0.5959,-0.2647,-0.2020,-0.5928,-0.5757
-0.9316,-0.6411,-0.7864,-0.8665,-0.6319,-0.4151,-0.3524,-0.6210,-0.7791,-0.8039
-0.5215,-0.4210,-0.8260,-0.9902,-0.4735,-0.2287,-0.1652,-0.1470,-0.6539,-0.6669
-0.0573,-0.2913,-0.6437,-0.2618,-0.2946,0.1427,-0.3941,0.0139,-0.3475,-0.3119
-0.2728,-0.6515,-0.6826,-0.2953,-0.4187,0.1175,-0.2579,-0.5048,-0.5910,-0.3634
-0.1110,-0.3286,-0.0627,0.2255,-0.3008,0.0298,-0.6501,0.0117,-0.8620,-0.8478
-0.2450,-0.2318,-0.0151,-0.1232,-0.0203,0.3874,-0.7023,-0.5941,-0.9423,-1.0263
-0.1312,-0.0777,-0.9592,-0.7223,0.4505,0.6014,-0.3438,-0.0338,-0.6296,-0.6517
-0.5583,-0.4202,-1.1486,-0.5480,0.1947,-0.0639,-0.8381,-0.3103,-0.4967,-0.3862
-0.8836,-0.7552,-0.7387,-0.5591,-0.7731,-0.6695,-0.0553,-0.2972,-0.6548,-0.4519
-0.4329,-0.4593,-0.2438,-0.1468,-1.1360,-0.8932,0.1137,0.1967,-0.5965,-0.1923
