IPL_R,IPL_L,mPFC_L,mPFC_R,MFG_L,MFG_R,MTG_L,MTG_R,PCC_L,PCC_R
-0.5568,-0.7101,-1.1465,-0.8587,-0.4016,-1.7892,-0.4870,-1.0243,-0.7191,-0.6758
0.2078,0.1147,-0.2704,-0.1018,-0.3460,-0.6960,-0.6241,-0.3370,-0.1584,-0.0066
0.1926,-0.4626,0.2793,0.3098,-0.8261,-0.1588,0.0372,-0.0648,-0.6019,-0.5609
0.9865,-0.3521,-0.3297,-0.2718,-0.4383,0.3078,-0.6356,-0.0040,-0.2515,-0.1316
-0.0277,-0.2664,-0.7111,-0.2344,-0.8469,0.1763,-0.6890,-0.3045,-0.5690,-0.3737
0.1140,-0.3945,-1.3585,-0.5473,-0.8357,0.1139,-0.2591,0.0059,-0.3571,0.0574
0.4700,0.0772,-0.6826,-0.4531,-0.1839,0.4920,-0.2478,-0.0290,0.0666,0.3165
-0.4529,-0.4561,-0.6285,-0.0323,-0.0253,0.5845,0.6298,-0.1103,0.0123,0.0621
-0.3293,-0.2564,-0.4704,0.2404,0.3187,0.8623,-0.6044,0.1587,-0.1532,0.1293
-0.2081,-0.1540,0.0075,0.6026,-0.0079,0.4353,0.2425,-0.2852,-0.6229,-0.5128
0.1778,-0.1011,-0.2686,-0.0871,-0.2815,-0.1061,-0.8950,-0.4156,-0.2752,-0.4145
-0.9962,-0.5674,-0.1560,-0.1904,-0.6174,-0.9651,-0.9777,-0.1860,-1.2449,-1.5955
-0.5968,0.1645,0.2446,0.1431,-0.1590,-0.2189,-0.5598,-1.0515,-0.7539,-1.1858
0.1103,0.9195,1.1827,1.2981,0.3164,0.4610,-0.1497,0.1919,-0.2713,-0.6171
0.4755,0.3612,1.3269,1.4901,0.1505,0.4815,0.6562,0.3425,0.4426,0.1100
-0.0685,0.0573,0.4417,0.4702,0.0893,0.1059,0.3143,0.1631,0.2111,0.0698
-0.5188,-0.5576,-0.1093,0.0482,-0.5817,-0.3052,-0.8665,-0.3388,-0.4959,-0.3916
-0.4323,-0.3497,-0.3758,-0.1246,-0.8360,0.1578,-0.0626,0.5347,-0.5949,-0.0446
-0.2632,-0.6125,-0.5129,-0.3298,-0.7078,0.2207,-0.4164,-0.2649,-0.5221,-0.1457
0.1859,-0.2226,-0.0854,0.0643,-0.2965,0.3351,-0.5055,-0.0414,-0.0611,-0.0643
-0.1320,-0.0608,0.1729,-0.0016,-0.1702,0.1536,-0.4533,0.1668,-0.1907,-0.3150
0.1481,0.3904,0.2175,-0.1352,0.1583,-0.0069,0.2012,-0.1281,-0.1171,-0.1329
0.1884,-0.0477,0.2430,-0.1573,0.3094,-0.2232,-0.4874,-0.7104,-0.3604,-0.3131
0.1007,-0.3354,0.4017,0.0368,-0.1814,-0.1174,-0.7295,-0.4451,-0.3623,-0.4339
0.0394,-0.1464,0.5356,0.4508,-0.2937,0.5186,-1.0804,0.1122,0.0008,0.0590
-0.5693,-0.4635,0.3602,0.2298,-0.1414,0.1341,-0.1419,-0.1747,-0.3450,-0.1909
0.1576,-0.0544,0.6209,0.3151,0.6316,0.4754,0.3646,0.4443,0.4588,0.3187
0.5907,0.8236,0.5389,0.2374,1.0135,0.7820,0.1361,0.5008,0.9315,0.7655
0.0861,0.6196,0.0675,-0.4402,0.8620,0.1495,0.5721,-0.1416,0.8614,0.8107
0.1058,0.6289,-0.5836,-0.8910,0.9211,-0.1099,-0.5189,0.0148,1.0687,1.0455
-0.1081,0.1024,-0.0723,-0.5495,0.4528,-0.6466,0.5015,-0.0487,0.5529,0.2007
-0.0957,-0.1108,0.0251,-0.4894,0.1663,-0.8835,0.7106,0.1080,0.3996,0.0135
0.1085,-0.1038,-0.1604,-0.4750,-0.3514,-0.6376,-0.3143,-0.0225,0.3690,0.4662
0.5662,0.8434,0.2699,-0.0237,0.2481,-0.5088,0.8300,0.5892,1.0120,0.9709
0.4780,0.5427,0.1818,-0.1239,0.6153,-0.3029,0.7715,0.2703,0.7782,0.6726
0.5171,1.0198,0.1597,0.3785,0.8792,0.1870,0.6039,0.7231,0.9926,0.9951
0.1541,0.4179,0.6046,0.7268,0.7714,0.3251,0.1605,1.0040,0.4991,0.6342
-0.1617,-0.2326,0.5723,0.3572,-0.2044,-0.4708,0.4672,-0.2555,0.1709,0.1723
-0.2393,0.1119,-0.6363,-0.7787,0.0624,-0.8597,0.6172,-0.1822,0.3179,-0.1976
-0.8523,0.2767,-0.5012,-0.7133,-0.2555,-1.1095,0.5966,0.2406,0.1462,0.1379
-0.5175,0.2085,-0.3512,-0.7739,-0.1193,-0.6472,0.2574,-0.4897,0.1095,0.0153
0.0227,0.1586,-0.6430,-0.7158,0.0409,-0.4850,0.7525,-0.0449,0.3599,0.0231
0.1473,0.1036,-0.7824,-0.3927,0.4386,0.0281,0.7583,-0.0288,0.1746,-0.0670
0.0444,-0.1021,-0.6489,-0.0437,0.0814,0.2583,0.1078,0.9942,-0.0247,0.1298
0.2076,0.0306,-0.0153,0.3485,0.0852,0.3183,0.9005,0.8613,0.0614,0.4329
