IPL_R,IPL_L,mPFC_L,mPFC_R,MFG_L,MFG_R,MTG_L,MTG_R,PCC_L,PCC_R
1.5606,1.4234,0.8634,2.0940,2.1235,1.7293,1.0246,0.1937,1.3917,1.2836
1.2408,0.8473,0.7701,1.2335,1.3101,1.4178,0.9728,0.4539,1.0017,1.1346
0.3147,0.0711,0.4700,0.7026,0.5693,0.1718,0.8718,-0.2027,0.2572,0.4033
-0.6300,-0.4579,-0.1466,-0.1620,-0.3454,-0.2714,-0.3519,-0.9712,-0.7070,-0.6561
-0.6623,-0.6296,-0.9593,-0.8038,-0.2956,-0.3477,-0.9253,-0.5703,-0.6150,-0.7202
-0.1641,-0.7413,-0.9923,-0.7302,-0.3887,-0.4950,-0.8224,-0.4971,-0.4854,-0.4607
-0.3528,-0.4032,-0.6474,-0.6581,-0.5002,0.0208,-0.2403,-0.4776,-0.1078,-0.0324
-0.1061,0.1673,-0.5267,-0.8207,-0.1256,-0.2878,0.3169,0.1216,0.3484,0.2918
-0.4310,0.0121,-0.3469,-0.3923,-0.1097,-0.1980,-0.1999,-0.4672,-0.0257,-0.0930
-0.3959,0.2700,0.1948,0.2229,0.4444,0.2231,-0.4786,0.5561,0.1717,-0.0626
-0.3721,0.1569,0.2919,0.2324,0.4970,0.0437,-0.7439,-0.6293,-0.3138,-0.5815
-0.4399,0.1091,0.2555,0.0783,-0.0414,-0.1945,-0.2879,0.2093,-0.3837,-0.3426
-0.3652,-0.0696,0.2859,0.2377,-0.4166,-0.1409,-0.4808,0.5866,-0.3183,-0.2885
-0.0953,0.0396,0.0897,0.0708,-0.0986,-0.1509,-0.0764,0.1055,0.1297,0.3666
-0.2314,-0.3317,0.2150,-0.0463,-0.0074,-0.2283,-0.4647,-0.1919,0.0873,0.1932
0.1548,0.0347,0.2409,0.1944,-0.2789,0.0633,0.5802,0.4421,0.2966,0.4565
0.1818,0.0133,0.7583,0.7565,-0.3416,0.1461,-0.4616,0.3275,0.5842,0.6330
0.6925,0.2976,0.6833,0.6476,0.0220,0.0187,-0.5959,0.4875,0.7779,0.8787
0.6344,0.2327,0.9316,0.8613,-0.0711,0.0394,0.3080,0.9242,0.7129,0.7796
0.3014,0.2857,0.8326,0.8497,-0.0501,0.3180,0.5191,0.5582,0.5137,0.4503
0.4323,0.0469,0.3631,0.5409,0.0067,0.1783,0.5275,0.4586,0.2904,0.1691
0.3430,0.1858,0.2175,0.3419,0.1838,-0.1169,0.5936,0.2608,0.3900,0.2942
-0.5060,-0.1099,0.1005,-0.3230,-0.1140,-0.2205,0.8013,0.4666,-0.1870,-0.1965
-0.3802,-0.2816,0.0653,-0.4101,-0.5940,-0.7819,0.7308,-0.0587,-0.3366,-0.3667
-0.3982,-0.3087,-0.2210,-0.2937,-0.3926,-0.4319,-0.1900,-0.1328,-0.3572,-0.5931
-0.2231,-0.0995,-0.1765,-0.0336,-0.2645,-0.0323,-0.2251,-0.4008,-0.5329,-0.6448
-0.0660,-0.0373,-0.2089,-0.1861,-0.0179,-0.2173,-0.0423,-0.0268,-0.2618,-0.3350
0.2300,0.0816,0.2348,0.0808,-0.0469,0.3201,1.0478,0.1773,0.3625,0.1531
0.0682,0.6161,0.4130,0.4259,0.4440,0.1756,1.1073,0.1121,0.6034,0.4187
0.6244,0.9040,0.4823,0.0754,0.7127,0.4477,-0.0015,1.2736,0.6593,0.6266
1.1922,1.2690,0.8698,0.8840,0.5801,0.3784,0.4183,1.9824,1.2539,1.2310
0.4571,0.6991,0.4381,0.5099,0.3514,0.8230,0.2424,1.3480,0.9661,0.7599
-0.0566,-0.3272,-0.3371,-0.4770,-0.1822,-0.0149,-0.0070,0.2956,0.0413,0.1158
-0.0252,-0.1644,-0.4305,-0.5536,-0.1631,0.1374,-0.3888,0.2414,-0.2947,-0.1815
0.0084,0.0395,-0.4461,-0.1594,-0.0900,0.0644,-0.4794,-0.5178,-0.3498,-0.2173
0.5788,-0.0006,-0.6138,-0.5053,-0.1322,0.0437,-0.4784,-0.4552,-0.4781,-0.3136
0.4220,-0.2562,-0.4505,-0.3404,-0.5078,-0.3169,0.4127,0.1522,-0.2525,-0.1579
0.2219,0.0614,0.0085,-0.2950,-0.2580,0.2508,-0.0907,-0.0077,0.1775,0.1607
-0.0040,-0.0319,-0.1677,-0.5385,-0.2545,0.1990,0.6785,-0.3411,0.0365,-0.0288
0.1887,0.1747,-0.0561,-0.2518,0.1380,-0.0999,0.0226,0.1218,-0.0746,-0.1334
-0.5272,-0.2656,0.0846,-0.1803,0.0569,0.0499,-0.2749,0.0800,-0.4676,-0.5219
-0.3128,-0.2841,0.4002,0.2318,-0.0400,-0.2172,0.0468,0.0493,-0.1384,-0.2111
-0.3169,-0.2573,0.0482,0.1729,0.1710,-0.1956,-0.0233,-0.1211,0.0843,0.1249
-0.6660,-0.1016,-0.2374,-0.2206,-0.3750,-0.2760,0.3560,-0.0555,-0.0412,-0.0693
-0.3471,-0.1387,-0.2423,-0.4375,0.2536,0.0115,-0.0847,-0.0340,-0.5443,-0.5695
-0.4856,-0.2386,-0.4403,-0.4332,-0.0067,-0.1855,-0.9428,-0.1857,-0.6734,-0.7720
-0.7156,-0.6256,-0.8803,-1.0874,-0.4601,-0.4674,-0.6173,0.0814,-0.8833,-0.8910
-0.6741,-0.7957,-1.0770,-1.0288,-0.4551,-0.3188,-0.7679,0.1271,-1.4724,-1.0952
-0.7709,-0.9154,-1.0460,-0.5369,-0.3741,0.0018,-0.2812,-0.2059,-1.6314,-1.3110
-0.7036,-0.8929,-1.1818,-1.3259,-0.5168,0.0076,-0.1433,-1.0321,-1.1437,-0.9623
0.0192,-0.1627,-0.9894,-1.0017,-0.1647,0.0149,-1.8698,-0.5503,-0.2786,-0.2736
0.2575,0.1523,-0.5547,-0.2242,-0.2378,0.0719,-0.8713,-0.1715,-0.0836,0.1302
0.5180,0.3870,-0.4505,-0.0181,0.1619,0.5126,0.6001,0.6727,0.1596,0.4482
0.5925,0.5794,0.0149,0.0849,0.2767,0.3131,-0.7737,0.1095,0.0937,0.2938
0.3760,0.1983,0.1721,0.3324,-0.0854,0.1648,0.2976,-0.0510,0.0114,0.2600
0.2321,0.2520,0.2503,0.4092,0.0120,-0.0590,-0.0345,-0.5339,0.0460,-0.0962
0.1978,0.0463,0.2502,0.5843,0.2371,0.2806,-1.7651,-0.7531,-0.0863,-0.0594
0.0371,0.0683,0.2848,0.7290,0.3491,0.4070,-0.3704,-0.8641,-0.0005,0.0689
0.2503,0.3183,0.4714,0.7429,0.5426,0.1973,0.3401,-1.1402,-0.0596,-0.0966
-0.0375,-0.3320,0.2242,0.4460,-0.0147,0.0579,0.0766,-0.9264,-0.1922,-0.1474
-0.5371,-0.7247,-0.1346,-0.0943,0.0114,-0.3363,-1.1199,-1.0244,-0.2610,-0.4085
-0.3891,-0.9114,-0.2905,0.0001,-0.2954,-0.5141,-1.3150,-1.2881,-0.2792,-0.2836
0.4381,-0.2268,-0.3169,-0.4263,0.1182,-0.0024,-0.8542,-0.4429,0.1272,0.1074
0.3658,0.0621,-0.2144,-0.0757,0.1225,-0.3619,-0.4718,0.3201,0.2639,0.1377
-0.0478,0.1044,0.2234,0.1461,0.2119,0.1518,-0.0100,0.2262,0.0924,-0.1061
0.0171,-0.2043,0.6141,0.3971,-0.2899,-0.2487,0.7357,-0.5701,-0.4058,-0.2433
-0.1506,-0.4667,0.2652,0.3891,-0.4616,-0.0615,-0.0290,-0.7826,-0.1974,-0.1255
-0.5210,-0.4654,0.0671,-0.2888,-0.5577,-0.3264,-0.4666,-0.4256,-0.3776,-0.3147
-0.1240,0.1229,-0.0074,-0.0754,-0.2604,-0.1978,0.4192,-0.0414,0.0252,0.0914
-0.3285,-0.0128,-0.0057,-0.2852,-0.2911,-0.2708,0.2782,-0.7610,0.1314,0.0937
0.2920,0.4814,0.3773,0.1686,0.2183,0.0580,0.2921,-0.0521,0.6506,0.4767
-0.0035,0.3413,0.4704,0.7548,0.2136,0.5312,0.2050,-0.4786,0.3077,0.1093
0.3650,0.4030,0.4446,0.4370,0.0615,0.1620,0.4418,-0.5299,-0.0979,-0.0824
0.0396,0.5127,0.4740,0.5265,0.2558,0.7185,0.3121,0.4474,0.1083,-0.0426
0.0969,0.3623,-0.2363,-0.4155,-0.4102,0.0576,-0.0433,-0.4112,-0.1353,-0.2086
0.4809,0.1127,-0.5265,-0.3902,-0.3810,0.0257,0.6538,-0.1175,0.2217,0.2829
0.2546,-0.0799,-1.2195,-1.0547,-0.3620,-0.0346,-1.3373,-1.4402,-0.0660,-0.0461
0.0002,-0.4400,-1.5981,-1.3305,-0.7513,0.0448,-1.8587,-1.7176,-0.5177,-0.1789
0.4355,-0.0533,-1.1472,-1.2717,-0.3990,0.0898,0.7700,-1.5879,-0.7034,-0.2579
-0.0696,-0.2810,-0.7117,-0.5864,-0.5323,-0.2469,0.6450,-0.9374,-0.5753,-0.4476
-0.1136,0.0185,0.1908,0.0820,-0.3006,-0.1158,1.4006,0.7174,0.0191,0.0890
0.0441,-0.5036,0.0967,-0.0121,-0.6308,-0.4406,0.4245,0.5503,0.0522,0.0814
0.0041,-0.9949,-0.4334,-0.3074,-0.6924,-0.2830,-2.7664,-0.0513,-0.5466,-0.2872
-0.1382,-0.7659,-0.8823,-0.4669,-0.4065,-0.4275,-1.5976,-1.2708,-0.3715,-0.2547
0.1452,-0.4446,-0.2449,-0.1680,-0.6037,-0.3137,-0.9825,-0.5978,-0.1386,-0.1647
-0.1992,-0.3583,-0.1612,0.0739,-0.5615,0.0037,-0.7887,-0.1101,0.0557,-0.1073
-0.4979,-0.8500,-0.2201,-0.3836,-0.4965,-0.7045,-0.6965,-2.0653,-0.3719,-0.5054
-0.4485,-0.8022,-0.3354,-0.4032,-0.6343,-0.7146,-0.8935,-0.4673,-0.0477,-0.2441
0.0463,-0.3319,0.2745,0.0401,-0.2277,-0.5238,-0.5190,0.1971,-0.0220,-0.2472
0.1529,-0.2260,0.2762,0.3608,-0.6156,-0.4343,-0.8433,0.5150,-0.0692,-0.1426
0.0080,-0.3139,-0.2389,-0.0020,-0.9908,-0.7159,-1.0054,-0.4414,-0.1957,-0.2555
-0.1851,-0.5264,-0.6494,-0.2903,-0.7464,-0.6682,-1.4799,-0.1153,-0.1587,-0.2719
0.0948,-0.2688,-0.3503,0.0284,-0.3744,-0.8762,-0.5941,-0.3405,0.0670,-0.0709
0.3601,0.2189,0.1598,0.3884,-0.3927,-0.2134,-0.5165,-0.1306,0.5663,0.3934
