IPL_R,IPL_L,mPFC_L,mPFC_R,MFG_L,MFG_R,MTG_L,MTG_R,PCC_L,PCC_R
1.4294,0.6882,-0.3305,0.5869,1.3173,1.9003,-1.1594,0.1552,0.4215,0.8665
0.6772,0.4559,0.3919,0.8443,0.8955,1.0812,-0.5358,0.5348,0.3309,0.5500
-0.6773,-0.7857,-0.1651,0.0920,-0.6660,-1.3635,-1.0397,-0.1796,-0.5395,-0.5104
-0.1889,-1.0701,-1.0434,-0.8209,-1.0323,-1.4320,-1.2843,-0.3367,-0.8587,-0.7953
0.1048,-0.7716,-0.4735,-0.6952,-0.8747,-0.8168,0.2390,-0.2994,-0.8763,-0.9724
-0.2385,-0.9598,-0.3704,-0.3554,-1.1968,-1.0950,0.0610,-0.3417,-0.7983,-0.6531
0.3757,0.0324,0.2560,-0.3665,-0.5993,0.2633,1.0021,0.4958,0.7902,0.9009
-0.1900,-0.0825,0.2901,-0.6422,-0.3118,0.1787,0.0193,-0.7021,0.9472,1.0100
-0.8870,-0.1786,-0.8206,-0.8147,-0.4493,-0.5669,0.1117,-0.2369,0.2728,0.4785
0.2646,-0.1681,-0.9590,-0.4072,-1.2408,-0.7430,-1.4979,-0.8251,-0.1536,0.0834
0.4258,-0.5245,-0.2744,-0.1682,-1.8630,-0.1675,-1.4015,-1.4978,-0.0414,-0.0144
-0.5078,-0.9646,0.8286,1.0884,-1.4149,-0.1844,-1.2569,-0.5676,-0.2774,-0.2930
-0.6126,-0.6157,0.2343,0.5195,-1.3948,-0.3919,-0.5642,-0.0639,0.1943,-0.1865
-0.6862,-0.9304,0.3665,0.5627,-0.9675,-0.3582,-0.3889,-0.3676,-0.1666,-0.0525
0.2329,0.0116,0.1832,-0.5351,-0.6694,0.6556,1.0572,0.3356,0.7951,0.9460
0.0568,-0.1918,-0.1787,-0.0041,-0.1571,0.2984,1.0754,-0.0236,0.4097,0.7191
0.0806,0.1876,0.4155,0.2766,0.3204,0.8362,1.0915,0.0661,0.7441,0.5314
-0.4331,0.2553,0.2707,-0.2009,0.8018,0.3527,1.1153,0.6823,-0.0105,-0.3514
0.2123,0.7052,0.1819,-0.1934,1.0340,0.6937,0.1339,-0.4512,0.5222,0.1320
-0.2442,0.2411,0.2762,0.5870,1.0136,0.6633,-0.3358,-0.0228,-0.3270,-0.5304
0.0090,0.2645,-0.0661,0.2147,0.9450,0.2219,-0.3306,-0.0995,-0.4359,-0.7737
-0.3207,0.0906,0.1333,0.3326,0.8170,-0.0046,-0.0518,-0.0226,-1.3437,-1.3164
0.1187,0.2566,-0.2772,-0.6101,0.3582,-0.1253,-0.5583,0.0604,-0.4834,-0.6644
-0.7459,-0.3351,-0.4014,-0.2583,0.0964,-0.3972,0.2491,0.0912,-0.5593,-0.6357
-0.6374,-0.2672,0.1957,-0.2097,-0.2729,0.0469,0.6099,0.0419,0.2584,-0.0552
-0.0824,0.2580,0.4324,-0.0196,0.4072,0.0258,1.0235,0.4330,0.3724,0.2339
-0.2110,0.0609,-0.1770,-0.5421,0.3150,-0.2618,-1.0567,-0.5332,-0.2934,-0.2533
0.5609,0.5335,-0.1256,0.3484,0.9671,0.6869,-0.3775,0.0865,-0.0970,-0.0752
1.3553,1.0292,0.7183,0.9664,1.3841,1.3109,-0.3184,1.2521,0.1761,0.1039
0.8948,0.7493,0.3155,0.2943,1.0894,0.8603,0.1001,0.9114,-0.2597,-0.1603
0.1151,0.2445,0.0613,-0.0594,0.5642,-0.3247,0.4200,0.5806,-0.5279,-0.6150
0.3525,0.6012,-0.1527,-0.5816,0.4508,0.4840,0.1846,-0.6061,0.6452,0.5677
-0.5012,-0.2154,-0.3494,-0.0046,0.1392,-0.3272,0.8254,-0.4341,0.0347,-0.2410
-0.0855,-0.0698,-1.0866,-0.9417,-0.6538,-0.3884,1.1373,-0.5036,0.4267,0.0358
-0.1376,0.3663,-0.0293,0.0628,0.1235,0.2991,0.0246,-0.3116,0.4718,0.2042
-0.3346,0.0210,0.5810,0.8925,0.2494,-0.0890,0.3109,0.4111,-0.3724,-0.3434
0.7055,0.8169,1.1047,1.1900,0.1306,0.7777,0.3668,-0.2141,0.8136,0.7948
0.6207,1.3721,1.2948,1.2635,0.6645,1.1293,-0.8454,-0.0370,1.4115,1.5144
-0.4327,0.4767,0.5639,0.4723,0.0910,0.0703,-0.7259,0.0257,1.0999,1.0483
-0.0172,0.7246,0.3455,-0.0953,0.0264,0.3636,0.8327,-0.4192,1.4218,0.9533
-0.5832,-0.0740,-0.2366,-0.2602,-0.4908,-0.9094,0.1381,0.1479,0.2558,-0.0303
-0.0211,0.1521,-0.5392,-1.1395,0.0300,-0.3097,1.1655,-0.0399,0.6610,0.3520
0.3831,0.1877,-0.0824,-0.5104,0.4236,0.2412,1.3457,-0.6156,-0.0291,0.1992
0.3514,0.1577,-0.1439,-0.3467,0.1536,-0.0464,-0.4401,0.2414,-0.3009,-0.1468
0.6823,0.2212,0.3369,0.3853,0.3124,0.4396,-0.7258,0.6042,-0.4171,-0.2377
