IPL_R,IPL_L,mPFC_L,mPFC_R,MFG_L,MFG_R,MTG_L,MTG_R,PCC_L,PCC_R
1.0072,0.4460,1.2896,1.5212,1.5900,1.1516,0.4990,1.2026,0.3123,0.6219
0.6539,0.3076,1.1996,0.6946,0.7354,0.6524,-0.2388,0.3928,0.3705,0.4934
0.2209,0.2182,1.0308,0.3771,0.7895,0.6695,-0.2183,-0.0887,0.1573,0.0592
0.1176,0.2505,0.0332,-0.2849,0.3118,0.1857,-0.0066,-0.0216,0.1815,0.1488
-0.1558,0.5580,0.0486,-0.2701,0.2672,0.2610,-0.1272,0.2428,0.0638,-0.1414
-0.0075,0.4471,-0.1567,-0.3829,0.5120,0.2898,-1.2275,0.0576,0.0639,-0.1701
0.0551,-0.0249,-0.1702,-0.9714,0.1700,0.1846,0.0348,0.2037,0.1340,-0.0408
-0.4684,-0.3889,0.3915,-0.1252,0.8736,0.9539,1.1896,-0.0099,0.0657,-0.1742
0.5656,0.8006,-0.7186,-1.1439,0.4688,1.1582,0.5310,0.0223,0.8434,0.8545
0.3041,0.2810,-0.7452,-0.5674,0.6989,1.2538,-1.5976,-0.1750,0.3891,0.5215
0.5010,0.3538,-0.5650,-0.0726,0.5426,0.8023,-0.2064,0.1436,0.0630,0.4254
0.3860,0.3642,-0.3213,0.3052,-0.4849,0.0091,-0.6643,-0.2548,-0.1968,0.0594
0.0432,0.0752,-0.0776,0.7516,-0.5963,-0.4320,-0.1350,-0.5113,-0.4486,-0.3981
-0.3695,-0.3864,-0.3490,0.1530,-1.0584,-1.3756,-0.2630,-1.0090,-0.3617,-0.2131
-0.5421,-0.5827,0.1408,0.1876,-0.5632,-0.8126,-0.2510,-0.4959,-0.0662,0.1267
0.0051,0.0239,0.0441,-0.0321,-0.6170,-0.2667,-0.1887,-0.0605,0.5079,0.4979
0.1386,-0.1366,-0.1110,0.0033,-0.9338,-0.2218,0.6175,0.3616,0.5475,0.8562
-0.1406,-0.4755,0.4960,0.6070,-0.8022,-0.4448,0.9852,0.7217,0.3368,0.4405
-0.3089,-0.7293,-0.1910,-0.2593,-1.5638,-0.7920,0.5243,-0.2160,0.2022,-0.0757
-1.0814,-0.9687,-0.9076,-0.8872,-1.6020,-1.1743,0.1037,-0.7002,-0.5991,-0.8424
-0.7293,-0.5061,-1.0694,-0.6174,-0.8390,-0.9531,-0.2030,-1.2796,-0.6969,-0.6609
-0.3728,-0.2881,-0.4201,-0.2442,-1.0013,-0.8478,1.0581,-0.6509,-0.1929,-0.1334
0.0821,-0.0962,-0.2179,0.0093,-0.2797,-0.0150,0.1341,-0.1561,0.0455,0.1147
0.1506,0.1961,-0.0718,0.0823,-0.2652,-0.0298,0.0531,-0.5369,0.2148,0.4998
0.4684,0.5876,0.6193,0.8173,0.6728,0.5225,0.2800,0.2313,0.5162,0.5825
0.1602,0.4768,0.6771,0.5258,0.3222,0.1538,0.4437,0.2466,0.6139,0.6988
0.0359,0.5878,-0.1122,-0.2381,0.2166,0.2898,-0.0698,0.0021,0.5026,0.3162
-0.4890,0.1978,-1.0461,-0.7075,0.0461,-0.0711,-0.0872,-0.3391,0.2164,-0.1018
-0.3589,-0.0693,-0.7920,-0.1092,-0.2924,-0.3741,-0.2792,-0.1655,-0.3951,-0.3943
-0.4526,-0.3661,-0.3697,0.3989,-0.2867,-0.3579,-0.0114,-0.1771,-0.3285,-0.3938
-0.2312,-0.1670,-0.2978,0.1456,-0.6601,-0.6315,-0.0610,-0.2927,-0.0855,-0.0161
0.2686,0.3032,-0.2221,-0.1164,-0.0023,-0.0173,0.1413,-0.1639,0.1806,0.1628
0.0700,-0.1679,-0.6028,-0.1023,0.0984,0.1633,-0.1447,0.1215,0.1480,0.2311
0.5201,0.2741,-0.4889,0.0495,0.0415,-0.1846,0.6170,0.4505,0.1250,0.1366
-0.0206,-0.1847,-0.0881,0.6297,0.1349,-0.1148,0.0530,-0.3973,0.2132,0.1204
0.0286,-0.0535,0.1059,0.5124,-0.1949,-0.5041,-0.5509,-0.1453,0.0527,0.2237
0.0556,-0.0641,0.1523,0.0045,0.1460,-0.0893,0.3090,-0.1006,-0.3600,-0.3411
-0.6096,-1.1302,-0.3031,0.0592,-0.5681,-0.8594,-0.0399,-0.5426,-0.8518,-0.9478
-0.6848,-0.6566,-0.0503,0.1230,-0.7844,-1.1855,-0.6069,-0.4065,-1.0417,-1.1580
-0.6949,-0.4003,-0.0034,0.1350,-0.4141,-1.0374,-0.0281,-0.8558,-0.6101,-0.8047
0.0200,0.3521,-0.2144,-0.0173,-0.6136,-0.9437,0.5077,-0.7064,-0.1058,-0.1136
-0.0356,0.5244,-0.2015,-0.3282,-0.1186,-0.0628,0.0364,-0.2020,0.0505,0.0249
-0.0814,-0.0416,-0.0869,-0.2650,-0.5508,-0.6479,-0.4280,-0.7200,0.1669,0.2925
0.2683,0.6601,0.2135,0.0332,-0.2302,-0.2591,-0.1264,-0.0980,0.5405,0.2988
-0.0152,0.4782,-0.1219,-0.1659,-0.0570,-0.1088,0.3175,-0.6587,0.2990,0.1087
-0.6725,-0.1120,-0.7009,-0.9381,-0.6484,-0.9261,-0.3270,-0.2784,-0.4497,-0.7876
-0.4716,-0.1589,-0.6736,-0.7504,-0.1763,-0.6886,-0.5697,-0.6769,-0.6578,-0.9097
-0.0096,-0.3663,-0.6262,-0.5978,-0.4595,-1.0166,-1.0308,-1.2423,-0.3572,-0.1699
-0.0617,-0.0292,-0.0132,-0.0777,-0.0029,-0.8699,-0.0381,-0.2882,-0.3244,-0.1890
0.5772,0.4443,0.4977,0.2582,0.3926,-0.6704,-0.5358,-0.8803,-0.0389,0.1303
0.4418,0.6039,0.5721,0.2613,-0.1589,-0.9209,-0.0116,-0.3952,0.5209,0.5671
0.2232,0.5143,0.4169,0.2053,-0.1184,-0.5985,0.0986,-0.6117,0.5396,0.1200
-0.0993,0.0575,-0.7288,-0.5835,-0.6153,-1.2766,-0.7746,-1.0792,-0.0642,-0.2817
-0.6178,-0.7641,-0.6936,-0.6860,-0.7939,-1.5561,-0.3758,-0.8944,-0.6404,-0.7378
-0.8818,-1.2377,-0.9040,-0.3513,-0.9164,-1.3416,-1.7341,-1.7395,-0.7538,-0.9858
-0.4960,-1.0574,-1.1521,-0.7778,-1.2312,-1.3491,-1.2933,-1.5853,-0.4256,-0.2386
0.6297,0.0701,-1.6062,-1.9187,0.4043,-0.4632,-1.1111,-0.5322,0.3424,0.4023
0.7826,-0.3824,0.2117,-0.6147,0.5066,0.8827,-0.4682,1.4996,0.3796,0.3925
0.3982,-0.2928,0.1185,-0.1058,0.6334,1.0649,-0.5946,0.6575,-0.1456,0.0918
0.3612,0.1484,-0.0421,0.1205,0.2553,0.4630,-0.6210,0.6391,-0.0377,0.0708
-0.3306,-0.4404,0.3797,0.4841,-0.0161,0.2622,-0.4436,0.6587,-0.4189,-0.2434
-0.1272,-0.4803,0.4677,0.6971,0.3054,0.2690,-0.2166,0.3663,-0.5770,-0.4506
-0.1163,-0.2275,0.0773,-0.1781,-0.1361,0.3373,-0.7096,-0.2301,-0.4785,-0.6518
-0.5458,-0.5945,-0.1856,-0.5638,-0.2705,-0.2145,-0.9092,-0.1145,-0.9878,-0.9900
-0.3376,-0.5213,-0.5279,-0.6334,-0.5789,-0.0892,-0.8899,-0.2404,-0.5412,-0.4480
-0.4370,-0.4667,-0.3240,-0.1508,-0.3137,0.2037,-1.0775,0.0286,-0.1767,-0.0499
0.3594,0.5075,0.6093,0.4402,0.1391,0.1014,-0.5490,0.3400,0.3189,0.5625
1.5535,1.1378,1.2093,1.1118,0.3487,0.6279,0.1089,1.0837,0.8365,0.9375
1.1774,0.2764,1.7046,1.3572,0.1012,0.3868,1.2910,1.1586,0.8512,1.1175
1.1909,0.1785,2.0433,1.5359,-0.3133,-0.1150,0.2754,1.1675,0.8713,1.1933
0.4993,0.3779,1.4341,0.9373,0.4237,0.3765,-0.5873,-0.0224,0.8841,0.7522
-0.3020,0.1729,0.7507,-0.0535,0.0365,-0.5427,-0.5542,-0.0720,0.9116,0.4565
0.2550,0.7423,0.7086,0.0346,0.0174,-0.2290,1.0179,0.4084,0.8521,0.2572
0.3403,0.6814,0.3477,0.2121,0.4146,0.0317,0.7667,0.2805,0.7847,0.2164
0.0942,0.5486,0.6228,0.3124,0.1637,-0.3781,0.8006,0.6541,0.2327,0.1178
-0.1768,0.5878,0.5635,0.1051,1.1253,0.6155,0.1666,0.2603,-0.1554,-0.1131
-0.1265,0.6244,0.3460,-0.1535,0.3553,0.2066,-0.3675,0.1618,-0.0178,-0.1779
0.0629,0.3989,0.0310,-0.0611,0.6571,0.1543,0.3310,0.2457,-0.6196,-0.7174
0.1632,0.0829,-0.5375,-0.1591,0.4851,0.2766,-0.9233,0.0958,-1.2520,-1.1878
-0.1663,-0.3679,-0.4228,-0.5163,-0.1843,-0.0762,-0.5128,0.0118,-1.3987,-1.2051
-0.0364,-0.2046,-0.0758,0.1917,0.4406,0.3429,-0.6170,0.4745,-1.1395,-1.0984
0.1135,0.1597,-0.2320,-0.3123,0.0186,0.5987,-0.7995,0.2866,-0.5367,-0.6592
-0.2014,-0.3125,0.0518,-0.1856,0.0392,0.6976,-0.3018,0.1221,-0.5257,-0.6687
0.4294,0.2733,-0.0051,-0.1585,0.2146,0.8496,-0.3891,0.1820,-0.0687,-0.4007
0.3254,0.5657,0.2479,-0.1550,0.1972,0.5611,0.8190,0.4289,0.3458,0.2615
0.1784,0.8797,0.4749,0.0146,0.0119,0.0123,0.8007,-0.0197,0.4323,0.4856
