IPL_R,IPL_L,mPFC_L,mPFC_R,MFG_L,MFG_R,MTG_L,MTG_R,PCC_L,PCC_R
-0.1479,0.3490,0.0463,0.3374,-0.6546,-0.4311,0.0241,0.1878,0.1540,0.0811
-0.0635,-0.0362,-0.8284,-0.4722,-1.0657,-0.2478,1.2391,-0.3432,-0.2509,-0.2279
0.3151,0.0295,-1.5869,-0.4353,-0.4640,-0.1775,-0.0521,0.2388,0.0669,0.2635
0.1940,0.2865,-1.3138,-1.3839,-0.9011,-0.4540,0.3942,0.3065,0.3915,0.6749
-0.2558,0.0357,-0.5864,-0.6493,-0.4496,-1.0104,-0.0493,-0.7474,0.0452,0.0113
-0.4215,-0.0766,0.0095,-0.5078,-0.8145,-0.9621,-0.2782,-0.5432,0.3026,-0.1222
-0.6400,-0.0894,0.3807,0.1745,0.0370,-0.5663,-1.4993,-0.5390,0.0854,-0.1635
-0.1706,0.3986,0.0971,-0.1089,0.0271,-0.4856,0.2418,-0.6033,0.6962,-0.0174
0.0605,0.0577,-0.8410,-0.9475,0.0587,-0.0861,0.7402,-0.5707,-0.2777,-0.3875
0.2461,-0.2077,-1.5768,-1.8022,-0.4706,0.3034,-1.1858,-0.8745,-0.6881,-0.6029
0.4941,-0.4072,-1.8999,-1.3591,0.1372,0.5741,-0.1644,-0.3972,-0.6599,-0.3183
0.7721,0.6143,-1.2939,-1.0541,-0.1724,0.8746,-0.5578,-0.1702,0.1989,0.7780
0.7279,0.5325,-0.4737,-0.0439,0.0984,0.6252,1.4954,0.5022,0.4408,1.1602
1.3647,1.2356,0.2751,0.2249,0.4256,0.8343,-0.6464,0.5533,1.1199,1.6393
1.1247,0.7676,0.1061,0.3739,0.4615,0.7360,0.7806,0.3263,0.8075,1.3172
1.4919,1.4261,0.2174,-0.0893,0.3473,1.1319,0.5023,-0.3840,1.4463,2.1557
1.1193,0.8524,-0.3591,0.0496,0.0236,0.5156,0.6581,-0.3956,0.5436,1.1581
1.5005,1.3034,-0.1662,-0.0345,-0.2675,0.9971,0.4809,0.2821,0.1811,0.9633
1.0237,0.4604,-0.7938,-0.7393,-0.5575,0.6787,-0.7341,-0.3968,-0.3073,-0.0859
0.2708,-0.3741,-1.3175,-0.9548,-0.6927,0.1375,-0.0122,-0.1577,-0.3654,-0.2843
-0.0097,-0.7927,-1.3130,-0.7192,-0.6845,-0.0087,0.1798,-0.0902,-0.3844,-0.1877
0.1303,-0.4228,-0.7941,-0.4457,-1.0492,-0.5597,1.0678,0.0606,-0.1858,0.2201
0.5583,-0.0296,-0.6488,-0.3728,-0.5188,-0.2399,1.1834,0.4214,-0.2304,0.2713
0.0858,0.0358,-0.1237,-0.0829,-0.5499,-0.4871,0.9501,0.9829,0.1769,0.2820
0.0698,0.2419,0.2671,0.3308,0.2806,-0.3833,-0.3833,1.1366,0.2787,0.1699
-0.1838,-0.1168,0.4837,0.4442,0.0923,-0.5847,-0.2665,0.6218,0.3017,0.1158
-0.0426,-0.0962,0.2763,0.0727,0.0583,-0.2175,-0.1559,-0.5519,0.0254,-0.0016
-0.5887,-0.1962,-0.0775,0.2242,-0.4746,-0.7574,-1.6491,-0.8228,-0.1795,-0.5160
-0.5277,-0.5051,-0.9537,-0.5335,-0.4913,-0.9647,-0.3673,-1.1730,-0.0141,-0.2732
0.1356,0.1493,-0.9725,-1.2746,-0.1771,0.0483,1.1280,-0.1760,0.5226,0.4260
0.3010,-0.1000,-1.0242,-0.5673,-0.3393,-0.4111,-0.1066,0.1025,0.0186,0.4305
0.8005,0.4749,-0.4499,0.1418,-0.2807,0.2551,1.5035,0.4979,0.6777,0.8875
0.0144,0.1810,0.5029,0.8657,0.1660,0.4424,-0.7316,-0.1179,-0.0474,-0.2857
0.1955,0.6307,1.3036,1.1913,0.7763,0.1250,-0.3068,0.2361,0.4459,-0.0576
-0.6484,0.5641,1.7394,1.3388,0.8286,-0.0446,-0.8707,0.1873,0.6241,0.0213
-0.7743,0.0950,1.0213,0.7815,0.8489,-0.2715,-1.9539,0.3328,0.1984,-0.2380
-0.5413,-0.2428,0.3081,0.3445,0.1045,-0.2524,-1.0800,-0.6723,-0.0117,-0.3240
-0.8113,-0.6775,-0.1663,0.3803,-0.0697,-0.5682,-0.8718,-1.4592,-0.2002,-0.3554
-0.1483,-0.0869,-0.2257,-0.1787,-0.1777,-0.0271,-0.1353,-0.2860,-0.0524,-0.0463
0.1811,0.0941,-0.1398,-0.4096,-0.4341,-0.4632,1.2592,0.2324,0.2478,-0.0172
0.2374,0.7560,0.0859,-0.2147,0.1988,0.0957,0.6159,0.6434,0.5536,0.4867
0.2136,0.7288,0.2312,-0.2561,0.2357,-0.2294,0.1057,0.2817,0.6068,0.6464
-0.0601,0.0841,-0.6728,-0.2404,-0.4530,-0.3172,-0.3643,-0.3710,-0.1187,0.1098
-0.0076,-0.2981,-0.6955,-0.5942,-0.9317,-0.7295,-0.8366,0.3245,-0.2174,0.1151
-0.5933,-0.8443,-0.6694,-0.5883,-1.2558,-1.1038,0.6597,-0.0960,-0.8125,-0.8051
-0.5176,-0.4262,-0.1971,-0.8225,-0.5617,-1.1206,-0.0869,-0.2570,-0.5754,-0.8639
-1.2220,-0.6789,-0.5973,-1.0728,-0.7561,-0.9901,0.5026,-0.9857,-0.6900,-1.1119
-0.9843,-1.0589,-1.2010,-0.4773,-0.8169,-1.3484,-0.0714,-0.5423,-0.6858,-1.2122
-0.6519,-1.1254,-1.7677,-1.2203,-0.6068,-0.7138,-0.6245,-0.6032,-1.1390,-1.2361
-0.9593,-1.1738,-1.1015,-0.8197,-0.6778,-1.1405,-0.5967,-1.0786,-1.1043,-1.1638
0.0065,-0.1313,-0.2968,-0.2405,0.3734,-0.1121,-0.0664,-0.8087,-0.1709,-0.2786
0.5471,0.5777,0.4322,-0.0106,0.6680,0.3358,-0.9647,0.5882,0.6028,0.3623
0.8518,0.8509,0.3802,0.8386,0.7014,0.7469,-1.2293,0.1850,0.7005,0.7612
0.9782,1.1751,-0.1600,-0.0651,0.5685,0.4172,-0.6145,-0.7517,0.8162,0.8760
0.0520,0.5667,-0.7253,-0.3447,-0.1716,0.1403,0.0968,-1.0722,0.1369,0.1105
-0.4040,-0.4117,-0.2904,0.1576,-0.0295,-0.0914,-0.6955,-0.6988,-0.0057,-0.0413
-0.6089,-0.5464,0.5927,0.3717,-0.2678,-0.4620,-0.4436,0.6695,0.0020,-0.0522
-0.2176,-0.4207,1.4110,1.2032,0.2019,-0.0227,0.5181,0.3197,-0.1848,0.0355
-0.6770,-0.7829,1.3773,0.8945,-0.6031,-0.5460,1.3611,0.2122,-0.1863,-0.2794
-0.6360,-0.5765,0.6826,0.4223,-0.3980,-0.0954,0.1923,-0.0191,-0.3943,-0.2106
-0.0299,-0.2336,-0.5383,-0.6435,-0.4534,0.0443,0.5456,1.0151,-0.1416,0.4025
0.5334,0.0413,-0.5374,-0.0990,-0.0138,0.4648,-0.0024,0.6982,0.0773,0.5694
0.4636,0.0919,-0.8847,-0.6608,-0.3365,0.2962,0.4979,0.4506,-0.0469,0.5057
0.3034,-0.2784,-1.5007,-1.5860,-0.7233,0.1510,-0.3903,0.0556,-0.1581,0.1817
-0.2467,-0.7466,-0.9725,-0.8648,-1.3473,-0.4071,-0.6217,0.1106,-0.3463,-0.5141
-0.7898,-1.1138,-0.2769,-0.3213,-0.6200,-0.6087,-0.6232,-0.3029,-0.9396,-0.9894
-0.7436,-0.8538,-0.4163,-1.0746,-0.5770,-0.4101,0.4563,-0.6525,-0.6434,-1.0176
-0.7803,-0.9494,-0.4905,-0.3405,-0.3172,-0.6988,0.6727,0.1958,-0.7000,-0.9298
0.3608,0.6853,0.8759,0.3585,1.0375,0.5961,-0.5432,0.7264,0.5226,0.2037
0.1219,0.8843,1.2230,0.8656,1.4621,0.8481,-0.0340,0.8011,0.4266,0.1257
0.0810,0.9665,2.2848,1.7840,1.7649,1.0531,0.0235,1.1067,0.6516,0.3606
-0.3882,0.5511,2.7746,2.1673,2.0605,1.4411,0.9171,0.2671,0.4554,0.2262
