IPL_R,IPL_L,mPFC_L,mPFC_R,MFG_L,MFG_R,MTG_L,MTG_R,PCC_L,PCC_R
0.8395,1.4038,-1.0146,-1.2131,1.2365,0.7238,-0.9717,-0.4681,0.8094,0.1659
0.3948,1.1640,-0.7918,-1.2748,0.8531,-0.1117,-0.3667,-0.9401,0.7463,0.5336
0.0020,1.0635,-0.8573,-1.1049,0.2647,-0.4958,-0.3153,-1.1745,0.8034,0.5101
-0.2326,0.7865,-0.7558,-0.9948,0.1723,-0.6241,-1.5934,-0.2245,0.0459,-0.0956
-0.2927,0.8418,-0.2051,-0.2174,-0.5442,-0.4816,-0.3785,-0.7792,0.4581,0.3364
-0.3760,0.4888,-0.3213,-0.2415,-0.3691,-0.7995,-0.9143,-0.2448,-0.2397,-0.3302
-0.3195,0.0972,0.0862,0.2042,-0.2713,-0.5343,-0.5394,0.5978,-0.2368,0.0292
0.0934,-0.0904,-0.0009,-0.3404,0.1873,-0.2043,0.6070,-0.3364,-0.2205,-0.2964
-0.5405,-1.0702,-0.2113,0.0398,-0.1456,-0.4249,0.2422,-0.3538,0.1745,0.1992
-0.3796,-0.9388,-0.0512,-0.3055,0.0755,0.1560,0.1347,-0.3982,0.3226,0.0021
-0.5114,-0.7728,0.7534,0.8078,-0.3537,0.0878,0.0721,0.3799,0.8088,0.6874
-0.2509,-0.2157,0.9038,0.6743,0.1650,0.3006,0.7700,0.0565,0.7240,0.4950
-0.2927,0.0317,0.5269,0.5675,0.0123,0.0294,-1.3341,0.1579,1.1723,0.9838
-0.3184,-0.1070,0.2642,-0.0186,0.1247,-0.1653,0.1817,-0.3990,0.6073,0.1961
-0.7151,-0.5952,-0.6960,-0.4942,-0.0027,-0.3337,0.4587,-0.1202,0.0326,-0.1730
0.0604,-1.0146,-0.3354,0.0276,-0.4552,0.1847,-1.1942,0.2539,-0.1743,-0.0494
-0.2410,-0.6573,0.0267,0.2773,-0.2109,0.5282,0.2789,0.9984,-0.2376,-0.0915
-0.0497,-0.0510,0.4889,1.1614,-0.3383,0.1255,2.1239,1.0114,0.1317,0.3194
-0.3908,-0.5718,0.5353,0.9218,-0.1184,0.2959,0.8420,0.4279,-0.1559,-0.0042
-0.3382,-0.5913,0.2488,0.5988,-0.5870,0.2099,-0.1948,0.7872,-0.2317,0.1256
0.3232,-0.7651,0.1774,0.3852,-0.7527,0.2354,0.0272,0.0485,-0.7543,-0.0991
0.3573,-0.5015,-0.6158,-0.2346,-0.6257,0.4053,-0.4189,0.0192,-0.3882,0.2531
0.3173,-0.5113,-0.6110,-0.1012,-0.5853,0.8097,-0.0333,-1.0246,-0.6360,-0.5793
-0.3104,-0.5529,-0.2942,0.3586,-0.7489,0.4358,-0.1975,-0.4003,-0.5238,-0.5048
-0.5599,-0.5001,-0.1897,0.5450,-0.2944,0.1119,-0.3984,0.0055,-0.6730,-0.8055
-0.3145,0.0610,0.1083,0.4814,0.1565,-0.2382,0.3013,0.1866,-0.3674,-0.4818
0.0143,0.5454,0.5728,0.6637,0.4078,-0.1331,0.4961,0.2255,-0.0594,-0.2469
0.2322,0.7951,1.1805,0.5161,1.0184,0.1536,0.2076,0.0006,0.3889,-0.1484
0.1864,0.5773,1.1069,0.4891,0.5410,0.1008,0.3228,0.4147,0.5965,0.1853
-0.0654,-0.2076,0.7870,0.3580,0.4254,-0.0584,0.2169,0.6598,0.0690,-0.1541
0.1784,-0.2288,0.0963,-0.1963,0.2381,-0.2219,0.7599,-0.4296,-0.3072,-0.7095
0.1050,-0.0767,-0.5422,-0.3926,0.0434,-0.3513,-0.0759,0.0133,-0.7208,-0.6694
0.0090,-0.4054,-0.9363,-0.6430,-0.3276,0.1300,0.6367,-0.4472,-0.8023,-0.1927
-0.0406,-0.4279,-0.9705,-0.7939,-0.5123,-0.0348,-1.6371,-0.7757,-1.0157,-0.4366
0.2562,0.0321,-0.4005,-0.2220,-0.4718,-0.1396,-1.0237,-0.0969,-0.8197,-0.0212
0.7832,0.2440,0.0808,0.0146,0.1938,0.2681,-0.7596,-0.3798,-0.5824,-0.1251
