IPL_R,IPL_L,mPFC_L,mPFC_R,MFG_L,MFG_R,MTG_L,MTG_R,PCC_L,PCC_R
0.3457,-0.0007,0.5037,0.1962,0.4624,1.0531,0.9312,-0.0100,0.9217,1.2789
0.8641,0.3125,0.0984,0.6154,0.2864,0.7620,0.3687,0.7114,0.5228,1.2040
0.3965,0.1444,0.1740,0.2825,-0.1127,0.1456,0.7969,0.6202,0.5355,1.0328
0.4092,0.2980,0.2925,0.4352,-0.0971,-0.2660,1.1316,0.5740,0.3245,0.7195
0.3498,0.5725,0.3872,0.6216,0.1529,-0.3045,-0.4213,0.8496,0.1352,0.4477
0.5172,0.9581,0.5867,0.7475,0.2142,0.1778,0.4275,1.1226,0.4457,0.6394
0.5906,0.6024,0.4145,0.6305,0.0221,0.4662,1.5871,0.4805,0.4610,0.2854
0.4512,0.8633,0.5428,0.4102,0.6567,0.6508,0.0091,0.1916,0.4659,0.2793
-0.2624,-0.3495,-0.3300,-0.3579,0.2785,-0.1525,0.0256,0.2692,-0.1412,-0.4573
-0.2319,-0.3967,-0.7999,-0.5570,0.0659,-0.3744,-0.2530,-0.0730,-0.0470,-0.4057
-0.6089,-1.0640,-1.0313,-0.9773,-0.7756,-0.7227,-0.6409,-0.7376,-1.0344,-1.0955
-0.4974,-1.0289,-0.9865,-0.9628,-0.8853,-0.3227,-0.0935,-0.7248,-0.6841,-0.7716
-0.9695,-1.2665,-1.1726,-0.9883,-0.7890,-0.4872,-1.1756,-0.4289,-0.8003,-0.9199
-0.8512,-1.0000,-1.1573,-1.2566,-0.3514,-0.3842,-1.2384,-0.5038,-0.3828,-0.5330
-0.8734,-1.0365,-0.9769,-0.6191,-0.0632,-0.1181,-0.4855,0.0881,-0.8396,-0.9351
-0.2274,-0.4725,-0.8258,-0.4375,0.2930,0.2526,-0.9939,-0.4883,-0.3748,-0.3312
-0.3010,-0.1434,-0.1748,-0.0131,0.1119,0.1306,-0.5318,0.3019,-0.2710,-0.4762
-0.3465,-0.2721,-0.1864,-0.3779,0.1243,0.0565,-0.8243,-1.0628,0.0359,-0.1971
-0.0984,0.1099,-0.2020,-0.4028,-0.0775,-0.0455,-0.5518,-0.9244,0.0312,-0.1610
-0.0200,-0.0861,-0.4419,-0.4724,0.1072,0.2032,0.0145,-0.2668,-0.0894,-0.2040
-0.1677,-0.0863,-0.1786,0.0214,-0.1133,-0.0598,-0.3852,-0.3571,-0.1162,-0.2921
-0.4400,-0.4800,-0.2237,0.1075,-0.6304,0.2286,-0.2829,-0.2312,-0.6724,-0.6539
-0.1854,-0.2341,-0.0038,0.3687,-0.6212,0.3505,0.2836,0.1740,-0.4117,-0.4391
0.0063,-0.0244,0.1048,-0.1784,-0.1227,0.5838,-0.0023,0.0482,-0.3866,-0.4003
-0.0340,-0.2092,-0.0771,-0.1263,-0.0157,0.3404,-0.7688,0.1489,-0.5173,-0.5777
0.0784,-0.0172,-0.9238,-0.7633,-0.0423,0.4634,-0.7472,-0.2521,-0.5661,-0.6546
-0.2630,0.2002,-0.1466,-0.1795,0.2985,0.1264,-0.4753,-0.6014,-0.3070,-0.6355
-0.1767,0.2152,-0.1085,-0.4548,0.0716,-0.0620,0.4676,-0.5796,-0.1459,-0.5538
-0.5157,0.1241,0.3079,-0.2906,-0.2546,-0.5870,-0.3627,-0.7985,0.2366,-0.1603
-0.7316,-0.2743,-0.1064,-0.2788,-0.6788,-0.2812,0.1732,-0.5461,-0.0132,-0.1021
0.0746,0.0540,0.1434,-0.0066,-0.8992,-0.2741,1.1980,-0.2062,0.3754,0.3464
