A1_L,A1_R,A2_L,A2_R,PCG_L
-0.2944,-0.1517,-1.0469,-1.1364,0.5255
-1.0056,-0.6023,-1.2242,-1.1586,0.3156
-0.1120,0.2260,-0.7936,-0.3560,-0.3033
0.5660,0.8552,-0.4975,0.2515,0.5131
1.3280,0.9507,-0.1851,0.7997,1.0663
1.0265,0.9061,-0.1719,0.8681,0.3080
0.4255,0.3669,-0.2276,0.5385,0.1576
0.1096,0.1692,-0.7966,-0.1696,-0.9662
-0.7853,-1.1455,-1.6985,-1.3104,-2.1394
-0.8760,-1.0945,-1.8178,-1.6661,-1.1876
-0.3929,-0.3471,-1.1454,-1.0159,-0.9757
0.0746,0.0574,-0.3306,-0.0191,-0.9230
-0.2465,-0.5508,-0.0166,0.0375,-0.1215
-0.1562,-0.2105,0.4136,0.7808,0.0935
0.3860,0.1962,1.0085,0.3780,-0.1754
0.2956,-0.1397,0.5199,0.3550,0.0514
-0.4200,-0.8308,-0.2636,-0.1182,0.5297
-0.4456,-0.6437,0.3190,0.2593,0.7747
-0.0685,-0.0232,0.9135,0.6772,0.7585
0.2925,0.4445,1.4205,0.8187,1.0635
0.3257,0.7412,1.4957,1.0503,0.8480
0.3170,0.6811,1.1149,0.6571,1.1806
-0.1632,-0.0534,0.4758,0.0100,0.7305
-0.3907,-0.2379,0.2541,0.2934,0.6883
-0.5048,-0.1972,0.2126,0.4428,-0.2130
-0.6321,-0.2822,0.2054,0.3596,-0.4451
-0.1533,-0.0811,0.2717,0.5163,-0.8909
-0.2150,-0.2532,0.1435,0.3165,-1.1971
-0.2762,-0.0147,0.0804,-0.2593,-1.1351
-0.2678,-0.1586,-0.0016,-0.3641,-0.8021
-0.1203,0.0245,0.5142,0.4652,-0.0144
0.0230,-0.0135,0.9510,0.9095,0.3145
0.0264,-0.1553,0.6126,0.5373,-0.0927
0.0635,-0.3174,-0.1572,-0.1335,-1.3069
0.4101,-0.2655,-0.1144,-0.3574,-0.6055
0.6286,0.1754,-0.1680,0.0421,-0.6622
0.2577,0.3732,0.1800,0.1443,0.6756
0.1574,0.3895,0.7207,-0.2095,-0.0209
0.7143,0.4801,0.6551,-0.2185,-0.5921
0.1190,-0.0502,0.1998,-0.0583,-0.9326
-0.1577,-0.1970,-0.2943,-0.4808,-0.7784
-0.3912,-0.5269,-0.3989,-0.3968,-1.2959
