A1_L,A1_R,A2_L,A2_R,PCG_L
-0.6641,-0.7853,-1.7391,-1.4171,1.0647
-0.5530,-0.3984,-1.4315,-0.9992,0.9059
-0.8883,-0.3395,-1.0765,-0.9478,1.1170
-1.1826,-0.2087,-1.4336,-0.4697,0.3225
-0.5828,-0.4269,-1.1119,-0.9323,0.2368
0.1375,0.3842,-1.0096,0.0061,0.0668
0.2025,0.5888,-0.1787,0.5209,0.1245
0.7706,1.0766,0.4780,0.9449,-0.5718
0.5212,1.0938,0.5496,1.5711,0.2452
0.5437,0.0564,0.0348,0.4823,-0.4924
-0.2918,-0.5119,-1.2473,-0.3342,-0.0638
-0.2661,-0.3875,-0.9802,-0.8076,0.3240
-0.4100,-0.1948,-1.0123,-0.5019,0.6144
0.2655,-0.1171,-0.1041,0.2688,-0.3420
0.9366,0.2761,-0.1169,0.9824,-0.0038
0.5480,0.6580,0.5802,0.6710,0.8963
0.2289,0.8496,0.4031,0.5044,0.0700
0.5395,0.2104,0.8201,0.2671,-0.2198
0.3671,-0.1606,0.9235,0.5409,-1.2650
-0.6262,-0.6325,0.7327,0.2167,-0.6979
-0.8624,-0.5741,0.2647,0.0014,-0.9815
-0.7147,-0.6119,0.3820,-0.2500,-0.0064
0.1686,-0.2213,0.4049,0.3640,0.5384
-0.3127,-0.6758,0.0536,-0.1905,-0.7769
0.1697,-0.0792,0.5823,-0.0931,-0.4245
-0.3016,-0.0061,-0.0115,-0.3571,-0.5302
0.0823,-0.1121,0.2694,-0.4826,-0.6609
-0.1716,-0.2928,0.2236,0.1161,-0.3551
0.3843,-0.0679,1.1209,-0.0420,-0.1193
0.2630,-0.2413,0.4634,-0.3949,-0.4019
0.2906,0.6249,0.9603,-0.3348,0.8050
0.6167,0.8208,0.5368,-0.1641,0.5468
0.1402,0.2803,0.0185,-0.3504,0.8605
0.5436,0.0547,0.3045,-0.6627,-0.3713
0.0482,-0.0171,-0.2119,-0.1913,-0.1370
0.9304,0.2964,0.5701,-0.0619,0.0449
0.8061,0.6912,0.6080,0.3282,0.3602
0.7236,0.7487,0.3956,0.3847,-0.0435
0.5880,0.2582,0.8051,0.2862,0.1390
-0.3752,-0.6303,0.6899,0.3154,0.4319
-0.9839,-0.8395,0.0844,0.1073,0.3047
-0.0972,-0.5022,0.0255,-0.1608,0.6505
-0.0886,-0.6475,-0.9556,-0.5260,-0.2648
0.1310,0.1798,-0.2148,0.0941,0.3570
0.4229,0.2567,0.0234,0.2719,0.0125
-0.0840,0.1136,0.0866,0.1373,-0.5570
0.0524,-0.0968,-0.2141,-0.4447,-1.4213
