A1_L,A1_R,A2_L,A2_R,PCG_L
-0.2243,-1.4871,-0.8246,-2.6200,-1.7596
-0.5144,-0.8269,-0.9292,-1.8235,-1.2174
-0.5217,-0.7259,-1.1298,-1.8682,-0.6110
-0.2010,-0.3660,-0.8966,-1.0818,0.1824
-0.2045,-0.2855,-1.0477,-1.2963,-0.0892
-0.2792,-0.7342,-0.1144,-1.2787,-0.9339
0.0400,-0.1213,0.2539,0.1612,-0.5681
0.4164,0.5870,0.1404,-0.4008,-0.3891
-0.5081,0.2748,-0.9454,-1.4432,-0.7602
-1.3763,-1.4925,-1.7734,-1.9703,-0.8934
0.0771,0.3947,-0.3544,-0.5931,-1.0005
-0.0056,0.1104,-0.4919,-0.8382,-0.3223
-0.1381,-0.3241,-0.2700,-0.6321,-0.1582
-0.2547,-0.0474,0.0457,-0.2077,-0.1218
-0.0158,0.1756,0.4931,0.6860,-0.2878
-0.1811,0.1304,0.5005,0.9232,-0.3115
-0.4771,-0.0706,0.3849,0.8246,-0.5229
-0.0454,0.3681,0.3929,1.2780,-0.3839
-0.3299,-0.2000,0.4109,0.7658,-0.4968
-0.5504,-0.3157,0.0366,0.4078,-0.7375
-0.3975,0.0134,0.2465,0.6913,-0.8590
-0.3202,0.1293,0.1156,0.5594,-1.0335
-0.5207,0.2576,0.0585,0.6210,-0.1753
-0.2815,0.3124,0.3662,1.1004,0.2080
0.0193,0.4881,0.9483,1.3210,0.0334
-0.0738,0.4978,1.0467,1.2592,-0.1304
0.1389,0.1626,0.4066,0.9780,-0.7360
-0.5158,0.0031,-0.7210,-0.3797,-0.0134
-0.2313,0.0894,-0.2453,-0.0375,1.0325
0.1552,0.7286,-0.1432,0.4232,0.4449
0.8403,0.7381,0.5700,0.5909,0.8867
1.3180,0.7581,0.8662,0.8694,0.7708
0.8805,0.8513,0.6457,0.8874,0.6764
0.5543,0.4705,0.8539,1.3433,0.8975
1.3434,0.9101,0.9879,1.0716,1.2763
1.6284,0.8835,0.9202,0.8734,1.4379
0.7632,0.5093,1.0517,0.8572,0.5564
0.4738,0.1244,0.7496,0.8509,0.1937
0.9057,-0.9563,1.0421,0.2570,1.2088
-0.0613,0.0542,0.1120,0.3459,0.8627
0.0349,-0.0823,-0.1812,-0.0927,0.9332
0.3812,0.6383,0.0509,0.2354,1.2141
0.2010,0.6639,-0.2251,0.3468,1.2597
0.4113,0.8277,0.4815,1.3276,1.5288
1.0166,0.9844,0.9346,1.5607,0.9779
0.0246,0.3253,0.1723,0.6289,0.6962
-0.4581,-0.5570,-0.8828,-1.0694,0.4646
-0.1176,-0.3444,-0.7261,-0.6814,0.7013
0.1004,0.2540,-0.0396,0.0449,0.7146
0.0124,-0.1727,0.3276,0.0678,0.6092
-0.0726,-0.3816,1.6020,0.3080,0.7671
-0.2448,-0.0162,0.5802,0.0189,0.1115
-0.4088,-0.4221,-0.2678,-0.2034,0.3979
-0.0865,-0.2574,-0.2559,-0.1667,0.3393
-0.7199,-1.0763,-1.2932,-1.2896,-0.2434
-0.9091,-0.7815,-1.0060,-1.1203,-0.5565
-0.2455,-0.0904,-0.4091,-0.0740,-0.1286
-0.3711,0.0108,-0.9315,-0.3777,0.0018
0.1514,0.0265,-0.6054,-0.9464,-0.4168
0.3229,0.2968,-0.7953,-1.2381,-0.7939
0.2589,-0.0478,-0.7574,-1.2569,-0.8437
0.4588,0.2910,0.0811,0.2216,-0.5171
0.7451,1.0847,1.5391,1.0182,0.3217
0.1986,0.6754,0.4086,0.8671,0.1633
-0.7287,-0.4225,-0.3766,-0.0878,0.9937
-0.6128,-0.3474,-0.4592,-0.6802,-0.4674
-0.2655,-0.3508,-0.4523,-0.5139,-0.9051
0.1606,-0.5520,0.1834,0.1661,-0.3691
-0.5950,-0.7783,-0.0850,-0.0739,-0.6260
-0.5429,-0.3640,-0.6089,-0.0313,-0.4199
-0.4221,-0.3329,-0.3077,0.0850,-0.4517
-0.6248,-0.0307,-0.0195,0.3765,-0.5046
-0.4073,-0.2897,-0.1055,0.5631,-1.0157
-1.6320,-0.8630,-1.4972,-0.6261,-1.2374
-1.1006,-0.7973,-0.7448,-0.1349,-1.5846
-0.0498,-0.1733,-0.9871,-0.3293,-2.2400
0.2796,0.2722,-0.1669,-0.1768,-0.9996
0.2651,0.2820,0.2405,0.4653,0.0122
-0.5544,-0.1852,-0.4738,0.1298,-0.1486
-0.4549,-0.2433,-0.0357,0.1343,0.5988
0.1522,-0.0188,0.7152,0.2837,0.3410
0.0134,-0.1459,0.7878,0.5784,-0.1468
0.0465,-0.2415,0.6006,0.8516,-0.0683
-0.3069,0.1826,-0.0662,0.8550,-0.2452
-0.1623,0.0548,-0.5646,0.1695,0.1491
-0.1388,0.2216,-0.7410,-0.1417,0.0663
-0.3402,-0.5529,-0.4606,-0.7624,0.0770
-0.8919,-0.7116,-0.4024,-0.4786,0.5714
