A1_L,A1_R,A2_L,A2_R,PCG_L
-1.8948,-1.2006,-1.3682,-1.4242,0.0484
-1.7766,-1.4039,-1.6592,-1.6279,-0.0546
-1.2096,-0.6696,-1.6758,-1.4806,-0.8344
-1.2932,-1.3668,-1.5881,-2.1785,-0.1693
-1.3407,-1.1519,-1.6193,-1.4431,-0.2525
-0.1434,-0.2420,-0.8601,-0.7368,0.0532
0.1455,0.0471,-0.0518,-0.4608,0.7049
0.6832,0.5244,0.5066,0.5317,0.7204
0.4278,0.6662,-0.0068,0.0531,0.1468
0.6108,0.4831,-0.2576,-0.2978,0.7003
0.6694,0.7555,-0.5216,-0.1876,0.0940
0.3442,0.3414,-0.1497,-0.3265,-0.5280
0.1667,0.4229,-0.7650,0.1738,0.2680
1.0482,0.7825,-0.5606,0.4750,0.4467
0.6786,0.9115,0.1984,0.7237,0.0202
0.3725,0.8493,0.2852,0.5852,0.3278
0.5621,0.3108,0.6101,0.0962,-0.1175
0.1573,-0.0812,0.5788,0.4528,-0.1555
0.2946,0.2066,0.7327,0.8555,-0.2872
-0.1274,-0.1557,0.7028,0.3545,0.0023
0.5617,0.6148,1.1864,1.0315,-0.3751
0.6124,0.3249,0.9033,0.8239,0.0485
0.3636,0.3775,0.4838,0.0424,0.0411
0.7304,0.1814,0.3560,0.0364,0.5280
0.6454,0.5761,0.6918,0.5400,0.7598
0.8229,0.3426,0.8236,0.4065,0.2695
0.2137,0.1489,0.7132,0.5886,0.3664
0.3744,-0.0210,0.6371,0.7088,0.8714
-0.2003,-0.1176,0.3687,0.1691,0.9636
-0.1730,-0.1619,-0.0769,-0.0389,0.9132
0.2733,0.1709,0.0377,0.3013,0.7146
0.0244,-0.0045,0.1562,0.2189,0.4158
0.0141,-0.1034,0.2046,0.0023,0.4911
-0.2654,0.0247,0.1282,0.2852,0.2242
0.2699,0.8083,0.7500,1.0366,0.1362
-0.1141,0.0855,0.7669,0.8903,-0.9814
0.1059,0.1101,0.8454,0.9165,-0.4372
0.0468,0.1398,0.5330,0.2108,-0.5162
-0.0743,-0.0944,0.4062,0.1418,-0.7911
0.2994,0.2193,0.1876,0.2400,-0.8025
