A1_L,A1_R,A2_L,A2_R,PCG_L
-0.9110,-0.8339,-0.8446,-1.0799,-0.1173
-0.8758,-0.1817,-0.8046,-0.8670,-0.2667
-0.4568,-0.1254,-0.2062,-0.5962,-0.0975
-0.5250,0.0613,0.0056,0.0987,-0.3008
-0.4128,0.2026,-0.0193,-0.0016,-0.4669
-0.4033,0.0643,-0.2973,-0.4390,-0.5057
0.1163,0.3369,0.3312,0.2883,-0.0962
0.1653,0.2423,0.6318,0.4663,0.3452
0.9831,0.5440,0.5614,0.5185,0.5433
0.8817,0.7585,0.3473,0.4595,0.6930
1.7323,1.1497,0.3310,0.7742,1.3060
1.7594,1.4441,0.6711,0.8263,1.6304
1.6687,0.9806,0.3883,0.5721,1.4579
1.4339,0.8040,0.6281,0.5361,0.9517
1.1831,1.0124,0.3701,0.7528,0.3197
0.4961,0.7154,-0.1243,-0.0372,-0.8897
0.2592,0.5053,0.0539,-0.1482,-0.3981
0.5909,0.5823,0.5762,0.3635,-1.2356
0.2516,-0.0332,0.5779,0.3111,-0.6480
0.2067,-0.0584,0.3638,0.3470,0.6302
0.1396,0.0517,0.6552,0.4858,0.2766
0.4577,0.2752,0.9243,0.7186,0.7128
0.3956,0.4199,0.6341,0.9144,0.4368
0.2421,0.3315,0.4174,0.9189,0.1985
-0.0851,-0.1521,0.0399,0.7326,-0.3769
-0.5057,-0.4521,-0.1281,0.3213,-0.0704
-0.6309,-0.3808,0.0823,-0.0444,-0.1387
-0.9499,-0.8488,-0.2253,-0.3077,0.3725
-1.0113,-0.6500,-0.4645,0.2367,0.4582
-0.9021,-0.6969,-0.8458,0.0843,-0.0015
0.2214,-0.3783,0.2514,0.0566,0.1457
0.5175,0.1200,0.1560,0.3475,0.3022
0.7214,0.3049,0.6345,0.8260,-0.4149
0.3894,0.3707,0.7807,0.7662,0.2485
-0.1322,-0.1945,0.7385,0.5577,0.2441
-0.2735,-0.1988,0.2415,0.3557,0.3089
-0.0521,0.0898,-0.1182,0.4073,-0.0998
1.1073,0.5359,0.1570,-0.0058,0.1682
0.7634,0.3545,-0.2964,-0.2077,-0.1139
0.2063,0.0906,0.2633,0.1599,0.9673
-0.4854,-0.4792,-0.6163,-0.0856,0.5137
-1.1059,-0.9190,-0.5460,-0.3955,0.0829
-0.7601,-0.1710,-0.0713,0.3313,-0.5927
