A1_L,A1_R,A2_L,A2_R,PCG_L
-0.1318,-0.1098,0.6608,0.3344,-1.2764
-0.3462,-0.4187,-0.6896,-0.5260,-0.5628
-1.3603,-1.2585,-1.4614,-1.5158,0.5923
-1.4212,-1.3190,-1.5138,-2.4722,0.6950
-1.5180,-1.1460,-1.8278,-1.8797,0.6261
-0.3298,-0.0852,-0.7016,-0.7864,1.2162
-0.0624,-0.0175,-0.6528,-0.5135,-0.2115
0.8000,0.5794,0.5393,1.1784,-0.2952
0.7029,1.0068,0.0279,0.6488,-0.3651
0.7105,1.0885,-0.2397,0.2641,-0.4290
0.6293,0.5828,-0.4494,0.0158,0.0478
-0.3457,-0.1877,-0.8751,-0.5918,-0.6548
-0.0354,0.0177,-0.6655,-0.7346,-0.1033
0.8670,0.5571,0.0674,0.1802,-0.0797
1.1626,0.7809,0.9591,1.1861,-0.5392
0.1142,-0.0517,0.5120,0.9431,-0.3921
-0.1966,-0.2022,0.9572,1.0661,-1.2900
0.0098,-0.1723,0.9389,1.1429,-0.2423
0.0888,0.3793,0.5994,0.7868,-0.4134
-0.6791,-0.3286,-0.2402,-0.1910,-0.0211
-0.6948,-0.3896,-0.0704,0.0312,-0.6603
-0.3940,-0.4373,0.4035,0.0371,-0.1653
0.7741,0.2322,0.7855,0.2549,-0.2289
-0.0468,-0.5238,0.6511,0.1304,-0.2114
-0.1249,-0.4434,0.2477,-0.1461,-0.0584
-0.3811,-0.6209,-0.1340,-0.5496,-1.1246
-0.1493,-0.4042,0.1922,0.0594,-0.3717
-0.2826,-0.0711,-0.0803,-0.2839,0.2654
-0.5396,-0.2326,-0.4171,-0.7113,-0.5223
-0.3658,-0.6093,-0.4185,-0.5453,-0.0085
-0.7152,-0.4397,0.0006,-0.0860,-0.8381
-1.0849,-0.4526,-0.3813,-0.0661,-0.7509
-0.0919,-0.0263,-0.1294,-0.0379,-1.3649
0.4070,0.2231,0.5496,0.6696,-0.7640
0.1414,0.3690,0.4900,0.7775,-0.2875
-0.0930,-0.6099,0.3399,-0.0716,-0.8965
0.0973,-0.2606,0.0861,-0.2921,-0.3356
0.6268,0.7381,0.0407,-0.3045,0.7444
0.3046,0.5226,-0.7392,-0.3163,0.0045
-0.0646,0.3288,-1.0200,-0.8194,0.0784
