A1_L,A1_R,A2_L,A2_R,PCG_L
-0.7071,-0.5460,-0.5613,-0.8062,0.4952
-0.7034,-0.4089,-0.4631,-0.3243,0.6850
-1.8990,-1.9299,-1.1304,-1.8695,0.7425
-1.6137,-1.6284,-1.3257,-1.8092,0.1021
-1.3942,-1.6475,-1.7210,-1.8071,-1.7181
0.6384,0.3511,0.0454,-0.0770,-1.3183
1.0837,0.9236,0.5317,0.4769,-0.7729
0.3252,0.5418,0.2294,0.3484,-0.4608
-0.0329,0.0276,-0.7379,0.1364,-0.9194
-0.7510,-0.9485,-1.0791,-0.8895,-0.0080
-0.2999,-0.6088,-0.5816,-0.8628,-0.4440
0.2949,0.1847,-0.7202,-0.2467,-1.8032
0.0595,-0.1077,-0.6903,-0.1439,-1.4205
-0.5722,-0.6662,-0.7673,0.0150,-0.6484
-0.4580,-0.8348,-0.0167,0.5469,-0.5214
-0.7568,-0.6612,0.3837,-0.3314,0.4315
-0.2666,-0.1211,0.1750,0.3248,0.7153
0.3447,0.3690,0.6639,0.9937,1.5553
0.6197,0.3666,0.8732,1.1580,1.6565
0.6731,1.0006,0.9879,1.1001,0.4849
1.3183,1.0992,1.5203,0.9524,-0.3397
-0.0602,0.1675,0.2944,0.2556,0.4912
0.0546,0.0354,0.5434,0.2198,1.3950
0.5417,0.6607,0.7412,0.4809,1.7826
0.8051,0.5849,0.3544,0.4353,0.6435
0.8801,0.9816,0.4534,0.7489,-0.0680
0.9049,1.1085,0.4452,0.7054,-0.1042
0.9087,0.4459,0.6942,0.5755,-0.0761
0.6767,0.1664,0.4665,-0.0565,0.4686
0.4723,-0.2264,0.7542,-0.0191,0.3697
0.2292,-0.1435,0.0930,0.0157,-0.1154
0.1713,0.1096,0.4179,0.2218,-0.1479
0.9623,1.0012,0.7497,0.5681,0.5554
1.0826,1.0358,0.7838,0.3860,-0.3086
0.2222,0.3288,-0.0012,0.2185,-0.2876
-0.1127,0.0123,-0.0990,0.0795,0.3039
0.0528,-0.1523,-0.2210,-0.5923,-0.0328
-0.5550,0.1805,-0.2920,-0.2071,0.8533
-0.0404,0.2045,0.1601,0.1241,0.6773
0.0554,0.2095,0.5162,0.2535,0.4294
0.8293,0.8146,0.8599,0.5927,-0.4596
-0.5552,-0.4590,-0.5500,-0.2199,-0.3448
-1.1295,-0.9314,-1.0502,-0.4234,-0.2916
-0.4617,-0.0400,0.0425,0.2774,-0.2037
0.5082,0.7262,1.0039,0.8122,-0.2080
0.3806,0.4610,0.8755,0.6993,-0.1602
0.2421,0.2154,0.5363,0.2498,0.4583
0.2593,-0.2570,0.1229,0.0043,-0.0889
-0.4446,-0.5027,-0.0913,-0.2485,0.5993
-0.2187,-0.2948,0.3451,-0.1519,0.8666
0.1889,0.1303,0.2155,0.0426,0.4715
0.2196,0.3155,0.4166,0.2924,0.3688
-0.2022,-0.2417,0.2666,-0.1056,-0.0673
-0.8360,-0.7515,-0.2120,-0.4871,-0.3525
-1.3276,-0.9246,-0.6621,-0.8686,-1.0449
-0.7538,-0.7925,-0.9444,-0.7811,-0.0804
-0.2034,-0.0455,0.0518,0.1229,-0.6189
-0.2636,-0.2716,-0.2140,-0.3854,-0.2518
-0.5753,-1.1414,-0.6624,-0.3265,-0.7065
-0.9466,-0.7020,-0.4158,-0.3762,0.1663
-0.6844,-0.4681,-0.4808,-0.6887,-0.2119
0.2225,0.1169,-0.2064,0.0652,-0.4090
0.7745,0.5594,0.5473,0.9654,-1.0514
-0.1034,-0.2234,0.2548,0.7059,-0.4992
0.0039,0.0728,0.3015,0.6328,-0.5196
-0.0321,0.0283,0.4407,0.3763,-0.2633
-0.5201,-0.2667,0.1490,0.4057,-0.2856
-0.0878,-0.0998,0.3178,0.3173,-0.8393
-0.3326,-0.0390,-0.2640,-0.1766,-0.9090
0.0358,0.3437,-0.4188,0.0838,-0.6721
0.2190,0.2590,-0.2282,0.1665,-0.6858
-0.1651,-0.7707,-0.5451,-0.5731,-0.2723
-0.5725,-1.3464,-0.7066,-1.3322,0.2651
0.5242,-0.1287,-0.1675,-0.7680,-0.4888
0.9245,0.7895,0.1862,0.0410,-0.3264
0.3981,0.7668,-0.0193,-0.1085,0.1624
1.0804,0.9238,0.4085,0.5560,0.2478
1.0012,1.1286,0.0520,0.2143,-0.0766
0.2462,0.9533,-0.7347,-0.1148,-0.4276
1.3272,1.9019,-0.0296,-0.0823,-0.0575
1.3241,1.7606,0.4952,0.5627,0.3884
0.7488,1.5179,0.4161,0.2491,0.2866
0.4110,1.1049,0.2316,0.4645,0.5502
1.2373,1.5748,0.7642,0.8754,-0.1925
0.3995,0.7880,0.0671,0.2424,0.3732
-0.1376,0.4432,-0.3782,-0.1975,0.5359
-0.7756,-0.3523,-0.1778,0.1212,0.8740
-0.5634,-0.2373,-0.2042,-0.2026,0.1693
0.0496,0.1244,-0.2316,-0.2906,0.5624
-0.4456,-0.0853,-1.0896,-0.8109,-0.3584
-0.0152,0.1039,-0.6871,-0.6993,-0.2501
0.3738,0.2416,0.1661,0.3224,0.0452
-1.4707,-2.0879,-1.0526,-1.5275,0.1107
-2.7041,-2.6150,-2.4931,-2.2842,-1.5923
-0.7518,-0.7855,-0.7140,-0.3917,-1.8112
0.1103,-0.1163,-0.5382,-0.4837,0.0562
0.2538,-0.4857,-0.7525,-0.5740,-0.1567
-0.7765,-1.0571,-0.7211,-0.7581,-1.0436
-2.0110,-1.6442,-0.9144,-1.0132,-0.7381
-2.5035,-2.0979,-2.0101,-1.6231,-1.5117
-1.8495,-1.6995,-1.7958,-1.1746,-0.8370
-1.2253,-0.9463,-1.3506,-0.7685,-0.8604
-0.6654,-0.6217,-0.7071,-0.6034,-1.0893
-0.8845,-0.9698,-0.7497,-0.6182,-0.4983
-0.3573,-0.4561,-0.4001,-0.2411,-0.9267
0.1647,0.0178,-0.0461,-0.0964,-0.2246
0.0101,-0.2453,0.3622,-0.0181,0.2338
-0.0420,-0.1547,0.0901,0.0792,0.3549
0.9028,0.2855,0.6174,0.6598,0.6165
0.3131,-0.1068,0.3244,0.4757,0.2279
-0.2136,-0.5041,-0.0299,0.1276,0.1988
-0.4122,-0.7838,-0.0762,-0.1474,0.2996
-0.2213,-0.0006,0.0450,0.3563,-0.1537
-0.0571,0.2174,0.0437,0.0595,0.7747
-0.5502,-0.5137,0.2369,-0.2403,0.4491
-0.6626,-0.6335,0.1032,0.0794,0.1982
0.0816,0.2309,0.2025,0.2622,0.2987
0.3495,0.5320,0.3121,0.4218,0.3313
0.0987,0.3301,-0.2226,-0.1880,0.2019
0.0755,0.0901,0.2626,0.0527,-0.0500
-0.0665,0.3760,0.1981,0.3547,-0.8209
0.1410,0.1128,0.5103,0.7489,-0.0400
0.5931,0.2297,0.6940,0.8859,0.3180
0.7406,0.3262,1.1641,1.3572,0.7571
0.6286,0.2975,1.2393,1.0783,0.6763
