A1_L,A1_R,A2_L,A2_R,PCG_L
1.1667,0.5723,-0.9954,-1.4261,-1.4911
0.1336,-0.0880,-1.4194,-1.1132,-1.7719
-0.4884,0.1563,-1.0478,-0.1660,-0.3222
-1.0237,-1.1000,-0.9715,-1.0012,-0.1995
-1.1446,-1.0448,-0.8690,-1.1176,-0.8519
0.3048,0.5058,-0.0485,0.1518,-1.0379
0.6884,0.5513,0.2419,0.5344,0.1263
0.6111,0.3791,-0.1255,-0.0187,-0.1549
0.7356,0.3866,-0.3722,-0.0951,-0.6374
-0.2273,-0.0598,-0.6807,-0.7277,-0.9874
-0.4015,-0.6646,-0.8604,-1.3324,-1.8846
-0.1038,-0.3335,-1.3475,-0.8399,-2.3407
0.1961,-0.2196,-0.5783,-0.4411,-1.1060
-0.0382,-0.2994,-0.4434,0.0514,-0.1816
0.1061,-0.0308,0.0842,0.5851,0.1732
-0.0741,-0.2666,0.5149,0.4126,0.3610
0.0044,-0.1095,0.3318,0.7213,0.5079
-0.1255,-0.0107,0.6778,1.0051,1.0374
-0.5022,0.0219,0.5299,0.6802,0.4742
-0.7623,-0.8728,0.6773,0.4221,0.3379
-0.8418,-1.5333,0.9596,-0.2192,-0.3647
-1.1789,-1.2658,0.5684,-0.2935,-0.2812
-0.5487,-0.1448,0.0307,-0.0117,-0.6029
-0.2182,0.1938,-0.2074,-0.2755,-0.4981
-0.0082,-0.4367,0.2268,-0.1082,0.4302
-0.1442,-0.4666,0.6405,0.7673,0.6877
-0.0719,-0.0296,0.8561,0.6556,0.0653
0.1895,-0.0575,0.6771,0.0133,0.5650
0.1594,0.0198,0.7834,-0.4284,1.2045
-0.0550,-0.4768,0.0715,-0.6095,0.6219
-0.1764,-0.0627,0.0275,-0.0025,-0.3946
-0.6500,-0.5804,0.2848,0.0080,-0.7633
-0.3611,-0.3507,0.5648,0.2703,-0.2892
-0.0097,-0.0178,0.6171,0.8034,1.0505
0.2164,-0.1217,0.9121,0.8938,1.5963
0.1223,-0.2264,0.8242,0.5075,0.8410
-0.2352,-0.5137,-0.0353,-0.4631,0.0694
-0.1923,-0.2490,-0.2484,-0.6615,-0.0502
-0.2890,-0.2827,-0.1033,-0.0095,0.4873
-0.3863,-0.4516,0.1675,-0.0272,0.2685
-0.6805,-0.6270,-0.0964,0.1098,0.4452
-0.5249,-0.7051,-0.6453,-0.3155,0.8692
-0.7791,-0.5922,-0.6813,-0.3848,0.8702
-0.3880,0.1213,-0.1977,0.5148,-0.2487
0.4201,0.9620,0.3562,1.6338,-0.2892
1.1397,1.5603,1.1342,1.8303,0.7682
0.7006,0.3956,0.9937,0.9047,0.9490
0.0180,0.1763,0.3537,0.3620,1.5971
0.4091,0.8119,0.0541,-0.2427,1.3675
0.2737,0.8143,-0.2949,-0.3613,0.7676
0.2244,0.4335,-0.4202,-0.6952,0.5355
0.5975,0.4145,0.0264,-0.0735,0.5976
0.0605,-0.1145,0.2353,-0.1350,0.2202
-0.1850,-0.1158,0.0688,0.2175,-0.3190
-0.3262,0.3205,-0.1603,0.1311,-0.8352
0.0687,0.2659,-0.7477,-0.4227,-1.2444
0.4170,0.5002,-0.5406,-0.2631,-0.0493
0.0560,0.3115,-0.3374,-0.6198,0.0038
-0.5900,-0.4857,-0.9296,-1.2460,0.0300
-0.2180,-0.3246,-0.6424,-0.8679,-0.3132
-0.7221,-0.6198,-0.9281,-1.1596,-0.3293
-0.0293,-0.3082,0.0198,-0.4032,0.6829
1.2078,0.9550,0.9562,0.6167,1.1899
1.3010,1.1856,0.9576,0.9760,0.8297
0.4090,0.3479,0.9778,0.4925,-0.6356
-0.0109,-0.1657,1.0348,0.6313,0.0783
0.3879,0.1656,1.0802,1.0602,0.5190
1.0291,1.3877,0.5952,1.1852,-0.1702
0.0944,0.9334,-0.1875,1.0661,0.4221
0.0206,0.9515,-0.4825,0.5254,0.5871
0.1411,0.4867,-0.5567,0.0352,0.0042
0.1751,0.1372,0.0333,0.5865,-0.1571
0.6569,0.6971,0.6944,0.6007,0.8048
0.8784,0.7730,0.6390,0.6241,-0.2176
0.8177,0.6232,0.4987,0.5507,-0.3670
0.1466,0.4585,0.5796,0.0486,-0.5702
0.4687,0.6368,0.6351,0.3851,0.0213
0.9250,1.3647,0.8958,0.8664,0.1921
0.9320,1.0235,1.1136,1.1028,1.3639
-0.1684,-0.0327,0.5707,0.3955,1.2537
-0.3062,0.0122,0.2241,0.1975,0.2109
0.2773,0.6196,0.0121,0.3000,-0.5724
0.7741,0.7515,-0.5206,-0.1672,-0.1715
-0.0848,0.3431,-0.9385,-0.7483,-0.2626
-0.8430,-0.3404,-0.2827,-0.8257,-0.0108
-1.1974,-0.9189,-0.4294,-0.7038,0.6141
-1.1261,-0.2393,-1.0780,-0.7563,0.0398
-0.5560,0.5058,-1.5915,-1.1779,-0.4906
-0.0161,0.5577,-1.1229,-0.9408,-0.7941
-0.0305,0.1289,-0.1578,0.0241,-0.3653
-0.0518,0.1765,0.1918,0.4199,0.3325
-0.1029,-0.3624,-0.0745,-0.0125,0.2357
-0.2068,-0.3800,-0.2836,-0.6698,-0.1682
-0.7540,-0.4359,-0.3307,-0.8697,-0.1677
-0.1326,0.3369,-0.6844,-0.4782,0.1340
0.6964,0.5168,0.0547,-0.0194,0.7050
0.7323,0.1582,0.1731,0.5033,0.7870
0.7033,0.9035,0.5924,0.7421,1.0357
0.6725,1.1092,0.7373,0.6770,0.0117
0.9699,0.6545,0.6077,0.5471,0.0740
0.3411,0.0931,0.4432,0.1870,0.3400
-0.1902,-0.1217,0.4815,0.4936,-0.2211
-0.5298,-0.2924,0.4304,0.0858,0.2445
0.0078,-0.1315,-0.5693,-0.2293,-0.1748
0.3813,0.9289,-1.1030,-0.0910,-0.0842
0.6465,1.3932,-0.7486,-0.7710,-0.6706
0.5629,0.2372,0.2405,-0.9786,-0.0269
0.3834,-0.1489,0.2770,-0.3268,-0.0547
0.0282,-0.4079,0.0780,-0.1321,0.6140
-0.3563,-0.4207,-0.0209,0.1347,0.5427
-0.4493,0.2015,-0.1518,-0.6054,0.4704
-0.1131,0.4848,-0.3516,-0.5599,0.3445
0.2730,0.9876,-0.3409,0.4822,-0.6512
0.7051,0.6585,0.3125,0.9766,-0.4955
-0.1221,-0.1592,-0.0617,0.2954,-0.7865
-1.6423,-1.4702,-0.7518,-1.0703,-0.8306
-1.4852,-0.9821,-1.6732,-1.5191,-1.4492
-0.8668,-0.2124,-1.5903,-1.1600,-0.5134
-0.1296,-0.2390,-1.2289,-1.3218,-0.4019
-1.1736,-1.2720,-0.8981,-0.8111,-1.3293
-1.6122,-1.5047,-0.9346,-1.2693,-1.3360
-0.3435,-0.3694,-0.3887,0.0231,-0.6470
0.6340,0.7665,0.3742,0.7954,0.7153
1.1029,1.2026,0.8777,0.9705,1.0755
0.8414,0.6158,0.5728,0.7303,0.5664
-0.0291,-0.1969,0.1971,0.4026,1.0753
0.5411,0.2988,0.2346,0.6905,1.1285
0.4942,0.5574,0.7733,1.1628,0.6975
0.6077,0.4590,0.7446,1.3413,1.0408
-0.1819,-0.2480,0.8332,1.0975,0.2770
-0.5613,-0.4344,0.5469,0.4230,0.2588
-0.2597,0.1995,-0.3684,0.1785,-0.2873
0.4529,0.8483,-0.0620,0.2159,-0.9868
-0.0064,-0.1870,0.2943,-0.2306,-1.2461
-0.1308,-0.1258,-0.0500,-0.4380,-0.0615
0.2156,0.1369,-0.0405,-0.4007,0.3783
1.2101,0.9450,-0.3341,0.2932,-0.1269
0.7628,0.5167,-0.1147,0.2931,-0.1619
0.2886,-0.0026,0.1410,0.3590,-1.0344
-0.0383,-0.7835,0.6235,0.1652,-1.0809
-0.0749,-0.4602,0.3479,0.4890,-0.2396
0.0612,0.4918,0.1230,0.5369,0.7076
-0.7523,-0.8033,-0.2525,-0.1165,0.4957
-1.5383,-1.6090,-0.7789,-0.8373,-0.8417
-1.0374,-0.8974,-0.6808,-0.6812,-1.1505
-1.2620,-0.7007,0.0061,-0.8180,-0.9172
-0.2879,-0.0766,0.5232,0.0975,-0.1221
0.2355,0.2901,0.6943,0.4698,0.3482
0.1455,-0.2342,0.5662,-0.1585,0.6190
0.1039,-0.1020,0.1504,-0.2561,0.1821
0.1927,0.4562,0.4537,-0.1420,0.3002
0.2064,-0.0314,0.6693,0.2052,-0.1396
0.1504,0.0990,0.3388,0.4102,0.1492
-0.1328,-0.4257,-0.0440,-0.0141,0.1724
-0.5385,-0.4182,0.0445,0.0005,0.4695
-0.6167,-0.7072,-0.0044,-0.0863,-0.2589
-0.9412,-0.5086,-0.1730,-0.3921,-2.1537
0.2962,0.6463,0.2200,-0.1529,-0.4468
0.9106,1.2274,0.1653,0.1664,1.5068
1.1890,1.4317,-0.3625,0.0222,1.2804
0.5690,0.6113,-0.8437,0.2194,0.5972
0.2042,-0.0198,-0.3884,0.3563,-0.2783
-0.2889,0.1405,-0.0488,0.2894,-0.3693
0.2980,0.1764,0.1171,-0.2454,-0.1876
0.5161,0.4317,0.3989,-0.0652,0.0624
0.5951,0.4580,0.3490,0.2164,-0.5007
0.0761,-0.5400,0.3957,0.4863,-0.0512
-0.2941,-0.5552,0.1587,0.2335,0.4896
-0.5396,-0.3711,-0.2822,-0.0736,0.4268
-0.9232,-0.6496,-0.6147,-0.0077,0.9992
-1.0909,-1.0109,-0.2052,-0.2317,0.4558
-0.8881,-0.7161,-0.6177,-0.0113,-0.2603
0.1972,0.3826,-0.0606,0.2224,-0.4281
0.5348,0.0484,0.3470,0.1774,0.6592
0.4451,0.1450,0.2847,0.0125,-0.2380
0.8831,0.7849,0.7876,0.6184,-0.6196
1.0280,0.7078,1.4054,0.9991,0.3347
0.2942,-0.3207,1.3424,0.8906,0.4054
-0.0433,-0.1064,0.8501,0.6437,-0.9484
0.0248,0.6044,0.3191,0.6931,-0.5568
0.0630,0.1118,0.6106,0.9198,-0.6910
0.4115,0.2678,0.9427,1.5081,-0.5999
0.9646,0.8670,1.7152,1.8900,-0.3713
0.8254,0.8126,1.4787,1.8147,0.6869
0.2289,-0.1740,0.4862,0.3153,0.4793
-0.0022,-0.3198,-0.4999,-0.6365,-0.1140
0.1513,-0.0970,-1.1677,-1.5368,-0.4442
-0.6560,-0.2553,-1.6714,-1.5881,-0.5441
-0.7357,-0.4885,-1.6043,-1.2501,-0.7618
-0.5145,-0.7882,-0.8704,-1.0709,-1.0007
-1.6051,-1.7831,-1.5150,-1.6614,-0.8027
-1.8386,-1.8358,-1.6960,-2.1798,-0.4553
-0.7021,-0.6071,-1.1855,-1.2727,0.1738
0.0024,-0.2676,-0.0895,-0.0010,0.5819
-0.5223,-0.8001,0.5561,0.7095,0.0720
-0.5366,-0.7794,0.3362,0.3466,0.3499
-1.1184,-1.2777,-0.0454,-0.1163,-0.2453
-0.6767,-0.6700,-0.1997,0.0858,-0.8274
0.2710,0.2047,0.6008,0.0753,0.2662
0.7440,0.0120,0.3842,0.0176,0.7758
1.1363,0.1816,0.0455,-0.0591,0.1332
0.6367,0.1620,-0.4987,-0.2902,-0.2870
0.8788,0.7733,0.3305,0.7069,-0.9786
0.5811,0.2224,0.5917,0.7698,0.3841
0.7793,0.4550,0.8302,0.8354,0.6962
0.7905,0.7291,0.1897,0.6258,0.1212
0.4974,0.6504,-0.0164,0.2939,0.6578
0.6113,0.1464,-0.2045,-0.6027,0.5575
-0.1869,-0.6285,-0.7343,-1.2388,-0.5367
-0.1851,-0.8624,-0.2115,-0.5609,-0.1848
-0.1858,-0.7269,0.1221,-0.5843,-0.0386
-0.0870,-0.7470,-0.5869,-1.5041,-1.0885
0.7421,0.7451,-1.0324,-1.4707,-0.7463
0.1483,0.3376,-1.6824,-1.4546,-0.3014
-1.1661,-1.2747,-1.2680,-1.0746,-1.2068
-1.2049,-1.1664,-0.5853,-0.5488,-0.9852
0.5134,0.3201,-0.0034,0.3741,0.2816
1.1644,0.8522,0.1940,0.4594,2.1900
0.8314,0.3938,-0.1279,-0.2107,2.0840
0.2025,0.3826,-0.3924,-0.1006,1.8958
0.6092,0.9646,0.5788,0.4984,1.5941
1.2285,1.5672,0.8835,0.8614,2.0593
1.1469,1.5271,1.0796,1.0323,1.0402
-0.3658,-0.4345,0.4069,0.0357,-0.7556
-1.0271,-1.0057,-0.2142,-0.7865,-1.6229
-0.0744,-0.0094,-0.5089,-0.5206,-1.1977
0.4256,0.3993,-0.3958,-0.5343,-0.5551
0.2260,-0.1694,-0.4545,-0.8367,0.5211
-0.0506,-0.9662,-0.2736,-0.9474,0.6859
-0.7331,-0.9998,-0.3225,-0.7239,-0.7999
-0.3458,-0.5913,-0.1180,-0.4252,-0.6191
0.5635,0.6470,0.4062,0.5034,-0.7658
0.6899,0.4919,0.7340,0.7468,0.4738
-0.4529,-0.2909,0.3244,0.6374,0.7970
-1.0403,-0.6343,0.0041,0.2410,1.2581
-0.6889,-0.3281,-0.4000,0.1473,0.8884
0.7746,1.0618,-0.3781,0.4838,0.0102
1.2851,1.5485,0.0798,0.3484,-0.1085
0.5993,0.3459,-0.0291,0.1262,0.6540
-0.7534,-0.9088,-0.0774,-0.1647,-0.0609
-0.6293,-0.3281,-0.3292,-0.2417,-0.3447
0.4525,0.9923,-0.0783,0.2862,0.2199
0.3923,0.4686,0.2505,0.5837,-0.2814
0.0158,-0.5164,0.3036,-0.3574,-1.7202
-0.2110,-0.7001,-0.0906,-0.6935,-1.3229
-0.0695,-0.1838,-0.5541,-0.5831,-0.5642
0.1277,0.2516,-0.8752,-0.7328,-0.6701
-0.9478,-0.5792,-1.3011,-0.9397,0.1107
-1.3773,-1.0043,-1.0800,-0.9477,-1.0702
-1.1849,-0.6864,-0.6696,-0.4949,0.0536
-0.4514,-0.1427,0.4083,0.4951,0.2314
0.4775,0.3603,0.7941,1.1896,1.0934
1.0629,0.6861,1.2774,1.0168,1.8954
