IPL_R,IPL_L,mPFC_L,mPFC_R,MFG_L,MFG_R,MTG_L,MTG_R,PCC_L,PCC_R
0.0711,0.7191,0.8058,0.5709,1.3842,1.2627,-0.5339,0.1056,0.2227,0.3599
-0.3112,-0.3000,-0.1173,-0.1268,0.4958,0.8577,0.8717,-1.0779,0.1320,0.2070
0.0240,0.4224,0.0173,0.2091,0.1046,0.2263,0.5878,-1.1483,0.2779,0.0235
-0.8869,-0.9931,-0.6400,-0.1092,-0.0280,0.0714,0.7428,-1.7056,-0.5895,-0.5540
-0.6259,-0.5333,-0.6189,-0.2446,-0.7051,-0.5151,-0.2870,-0.8335,0.1390,0.2547
-1.4505,-1.8040,-1.5078,-0.9424,-0.0908,-0.2791,-1.2284,-1.5143,-0.3347,-0.1243
-0.3528,-0.7839,-0.8033,-0.7891,-0.3951,-0.6014,-0.8408,-0.2563,0.7783,0.6375
-0.6030,-0.1126,-0.7353,-1.2486,-0.0577,-0.0122,0.4547,-0.0635,0.3295,0.5697
0.5580,0.5917,-0.4970,-0.8682,0.1284,0.0435,-1.2800,-0.6796,1.0353,1.2138
0.2605,0.1843,-0.6724,-0.3063,0.1927,0.5481,-0.7276,-0.5638,0.2842,0.4578
0.7132,0.2662,0.0245,0.8368,0.0547,0.3800,-0.8624,-0.0114,0.2996,0.4847
0.3266,-0.1123,0.4391,1.0434,-0.5113,0.1850,-0.0660,-0.0579,-0.0169,0.1156
0.2643,0.0035,0.6777,0.7762,-0.3927,0.1180,-1.3288,-0.2162,0.1962,0.2278
-0.9965,-0.5706,-0.4782,-0.5998,-0.4870,-0.5042,-0.7466,-0.2528,-0.3697,-0.3799
-0.1240,0.2829,0.0890,0.0722,0.5159,-0.3401,1.0880,0.8022,0.0860,0.1996
-0.1551,-0.1452,0.1090,-0.0438,-0.4579,-0.3144,-0.2262,0.6523,0.1569,0.2996
0.3559,0.0834,0.4598,-0.0098,0.1311,0.1261,0.4686,0.3041,0.2525,0.2661
0.1582,-0.9094,-1.0280,-1.1401,-0.4151,0.1467,-0.6501,0.1391,-0.5449,-0.6137
0.0239,-0.8512,-1.0160,-0.7238,-0.7467,-0.1218,0.0069,-0.5555,-0.9380,-0.8601
-0.4761,-1.4871,-1.1367,-0.2551,-1.5984,-0.2091,-1.1722,-0.5937,-0.8044,-0.5332
0.0545,-1.1875,-0.0133,0.7157,-0.9581,0.1976,0.3605,0.2172,-0.3025,-0.2538
-0.2728,-1.3374,-0.6847,0.2438,-0.9942,-0.0114,-1.0162,-0.4363,-0.4294,-0.3353
0.1357,-0.2362,-0.3931,0.5790,-0.6966,-0.1809,-0.1971,0.1515,-0.2339,-0.3596
-0.2169,-0.1557,-0.1780,0.8483,-0.1021,-0.0051,-0.7406,-0.7431,-0.5962,-0.6641
0.2294,0.4679,0.5943,0.6611,-0.6234,-0.5518,0.8022,0.7052,-0.6355,-0.8050
-0.6592,-0.5142,-0.2443,-0.9887,0.0747,-0.4224,0.8426,0.3779,-1.0702,-0.9411
0.3272,0.5099,0.3606,-0.6099,-0.3745,-0.6244,0.8061,1.1738,0.1412,0.0038
-0.0289,0.4062,-0.0578,-0.4379,0.7137,0.3878,1.7161,0.8806,0.1685,0.1327
0.4385,0.5330,0.5940,0.2805,0.1149,-0.1933,1.4677,1.3381,0.5997,0.2387
0.0940,0.3144,0.7423,0.3092,0.3030,-0.1849,1.6680,1.0994,0.0365,-0.0937
-0.3276,0.1210,1.2314,0.6461,0.2117,0.0439,1.3256,-0.0422,-0.0172,-0.2857
-0.5930,0.0316,0.6758,-0.2492,-0.7019,-0.7847,0.0074,0.3915,-0.4189,-0.6791
-0.0359,0.5740,0.3865,-0.4609,0.1791,-0.5794,1.2098,1.1239,0.2483,-0.0880
-0.1310,0.6311,0.1131,-0.0064,0.1400,-0.7468,0.2428,1.0326,0.0963,-0.3922
0.2492,0.2379,0.7529,0.5070,1.0527,0.3322,-0.5568,1.2248,-0.1488,-0.3767
0.7099,0.4160,0.9061,0.7484,0.8406,0.5136,0.3067,1.3725,-0.2793,-0.2514
0.7695,0.2701,0.8459,0.5589,0.9332,1.1240,0.5820,1.0650,-0.3359,0.0394
1.1423,0.9015,0.3317,0.3164,0.2383,0.6270,0.1723,1.4354,-0.1352,0.0178
1.1655,0.7513,0.3625,0.2466,0.8307,0.9898,1.5704,1.3942,-0.0203,-0.0735
0.3894,0.4210,0.6182,-0.1076,0.1701,-0.0197,-0.1363,-0.2228,0.0092,-0.1576
0.3911,0.4144,-0.4714,-0.7466,0.3572,0.6609,0.7209,-0.0410,-0.2749,-0.5843
0.6913,0.0507,-0.7561,-1.0397,-0.0128,0.5379,0.4274,-0.0105,-0.5463,-0.5003
0.3510,-0.4177,-0.7088,-0.9246,-0.1461,0.0407,0.8407,0.4320,-0.6237,-0.4542
0.0604,0.0988,-0.3875,-0.5601,-0.4791,-0.6289,-1.0073,-0.5090,-0.0535,0.1588
-0.0030,0.5693,-0.2371,-0.2300,-0.1226,-0.7163,-0.2871,0.3209,0.1742,0.1713
-0.2909,0.8479,-0.5511,-0.7265,0.3866,-0.7017,0.4679,-0.2465,0.2648,0.0675
-0.1262,1.1601,-0.3816,-0.6052,0.5930,-0.5169,0.6040,-0.4384,0.0374,-0.2947
0.4314,1.5477,0.0514,0.0572,1.1558,-0.1300,-0.1655,-0.0776,0.2038,-0.0788
1.0240,1.6979,0.3029,0.4532,0.7304,-0.0716,-0.5273,0.0937,0.1964,0.0885
0.7848,1.2590,0.0746,-0.0771,0.8309,0.0470,0.3309,0.4910,0.2082,0.0364
0.7407,0.9609,0.3376,0.4353,0.0969,-0.5045,0.0383,0.8377,0.5006,0.5440
0.1595,0.2481,0.3644,0.3273,0.3440,0.2193,-0.2139,0.6722,0.4606,0.5178
0.2621,0.1878,1.4262,1.4737,-0.0454,0.1007,-0.5619,-0.7327,0.6890,0.8486
-0.1913,0.2723,1.2070,1.8050,0.7239,1.0028,0.3052,-0.5748,0.8884,0.7287
-0.2378,-0.2898,0.7245,1.5478,0.6958,1.0855,-0.4307,-1.0993,0.5658,0.6606
0.1106,0.2621,0.2743,0.7858,0.1882,0.9451,-0.5911,-0.1914,0.5787,0.6136
-0.4625,-0.5090,0.3299,0.4644,0.0769,0.8340,0.2443,-0.1923,0.2622,0.3995
0.4816,-0.2762,1.0804,0.9629,-0.9178,-0.3685,-0.6547,-0.3200,0.6698,0.7044
-0.5650,-1.0251,1.0345,1.0736,-0.6627,0.0235,-0.0137,-1.5688,-0.2276,0.1109
0.2503,-0.4588,0.9976,1.4001,-0.3865,-0.1676,0.8622,-1.7134,0.3666,0.6691
-0.1162,-0.2438,0.4067,0.3269,-0.1826,-0.2191,-0.5552,-1.4153,-0.0974,0.1361
0.6405,0.3591,0.2330,-0.1382,-0.1252,-0.4405,-0.8645,-0.4753,0.4261,0.8228
0.3384,-0.0210,0.0569,-0.0085,0.1707,0.2323,-0.5525,0.6127,0.2595,0.5804
0.8706,0.6866,0.7410,0.7056,-0.3151,-0.4564,-0.0429,0.0692,0.7751,0.8736
-0.2887,0.2025,0.5505,0.8613,0.6882,0.9017,-0.1618,-0.0245,0.3983,0.6553
-0.0630,0.2572,0.8069,0.5226,0.8502,0.5372,0.5377,0.4627,0.5763,0.5369
-0.4896,0.0879,-0.0787,-0.1345,-0.3557,-0.9019,-0.1231,-0.0421,0.0788,-0.1733
0.5356,0.1640,0.6342,0.7038,0.2961,-0.0362,-0.4205,0.3090,0.1062,-0.3468
0.3498,0.0641,0.5412,0.7674,-1.0232,-0.5113,-0.9251,0.0379,0.1014,0.2311
0.4300,0.2345,1.2665,1.2678,0.1629,0.4665,0.6039,1.1526,0.3756,0.5046
0.3311,0.4483,0.6811,0.7722,-0.0239,-0.1132,0.3095,0.7858,0.5247,0.5492
-0.3589,-0.0661,-0.4874,-0.2704,0.4230,0.4650,-0.0406,1.3908,-0.1135,-0.0177
0.1491,0.3084,-0.1403,-0.6478,-0.2650,-0.5893,-0.1760,0.1614,0.0355,-0.1811
-0.7076,-0.1902,-0.5754,-1.0743,-0.3097,-0.3456,0.3316,0.7026,-0.5570,-0.6401
0.6865,0.2963,-0.6769,-0.8873,-0.0271,-0.0325,0.7424,-0.0911,0.0950,0.2163
-0.0831,0.0246,-1.0486,-1.0527,0.4683,0.5329,0.2831,-0.2961,-0.1347,0.0759
0.1399,0.0460,-0.2237,-0.7171,-0.0564,0.1854,-0.8192,0.4188,0.2064,0.2510
-0.0838,-0.4866,-0.6252,-0.8759,-0.8225,-0.9360,0.4307,0.1453,0.1388,0.3863
-0.5784,-0.3050,-0.3377,-0.9860,-0.7772,-1.1851,0.4844,0.2414,0.1791,-0.0768
-0.8783,-0.2794,-0.8667,-1.0811,-0.4327,-1.0441,0.6642,-0.5811,0.1653,0.0188
-0.4098,-0.1631,-0.4640,-0.4670,-0.2091,-0.6674,1.3091,0.0949,-0.2568,-0.5215
-0.7084,-0.3955,-0.1776,0.0149,-0.3033,-0.4524,-0.1783,-0.7606,-0.5657,-0.7813
-0.8321,-0.1306,-0.1736,-0.1176,-0.4302,-0.7428,0.3138,-0.1800,-0.8029,-0.9467
-0.7465,-0.2477,0.1083,-0.0117,-0.2811,-0.0779,-0.4427,0.2589,-1.3468,-1.2538
-0.4740,-0.1759,-0.0173,0.3361,-0.1833,-0.2475,-0.1759,-0.0393,-0.5056,-0.4616
-0.3822,-0.2513,0.3709,0.4371,0.5163,0.4848,-0.0273,0.0743,-0.3310,-0.3696
0.4214,0.0206,0.7117,0.8171,0.2021,0.2060,-0.4105,-0.3510,0.1992,0.3447
