IPL_R,IPL_L,mPFC_L,mPFC_R,MFG_L,MFG_R,MTG_L,MTG_R,PCC_L,PCC_R
-0.4493,-0.0368,0.1056,0.1540,0.4682,-0.2455,0.5466,0.2831,-0.0146,-0.0574
-0.1420,-0.1846,0.7858,0.7464,0.9529,0.3530,1.0497,0.8257,0.1518,0.1152
0.1836,0.1726,1.0509,0.8375,0.8950,0.8199,0.8903,0.7227,0.6662,0.3951
-0.1157,-0.0032,0.9089,1.3049,0.3928,0.7526,1.5747,0.2378,0.3312,0.1777
-0.1620,0.1696,0.6601,0.6029,0.0735,-0.0808,-0.5664,0.4048,0.3288,0.1461
-0.5744,0.1432,-0.0345,0.0250,-0.4384,-0.6491,-0.5400,-1.4674,-0.2234,-0.4123
-0.4323,0.5094,-0.4395,-0.8214,-0.7683,-1.0885,0.0017,-1.3946,0.1553,-0.3345
-0.6712,-0.1810,-0.9567,-0.9492,-1.0140,-1.0498,-0.8725,-1.4890,-0.3316,-0.7064
-0.2318,0.0718,-0.5938,-0.3469,-1.1919,-1.1530,-0.1688,-0.8586,0.3766,0.0149
-0.2974,-0.0753,0.0578,0.1011,-0.3784,-0.4830,-0.7396,-1.3029,-0.3171,-0.5127
0.0841,0.2576,0.5331,-0.0231,-0.0399,-0.2064,-0.5626,-1.4104,0.1122,-0.1289
-0.4570,-0.3758,-0.4143,-0.1806,-0.0490,-0.0352,0.6659,-0.8380,-0.4953,-0.6660
-0.5834,-0.2052,-0.8207,-0.7699,-0.6114,-0.6103,0.7905,-0.4441,0.0018,-0.1657
-0.5240,-0.5947,-0.8437,-0.7209,-0.3897,-0.6350,0.1515,0.2052,-0.3181,-0.1987
0.0236,-0.2496,0.0249,-0.4757,-0.0784,-0.7628,0.7310,1.0199,0.4064,0.2478
0.0736,-0.4323,0.1427,-0.3391,0.2687,0.0707,-0.7284,1.0444,-0.1298,-0.0084
0.0083,-0.2857,0.2560,-0.1537,0.3796,0.0233,0.1642,0.9235,0.3221,0.3237
-0.2986,0.0808,0.3409,0.0898,0.5939,0.2330,0.4256,0.5545,0.4221,0.3977
0.2523,0.5758,0.8864,0.5554,0.6580,-0.0647,0.3856,0.4277,0.6441,0.5291
0.2049,0.7285,1.0433,0.3949,0.4038,0.0692,-0.1519,0.3163,0.6078,0.5659
