IPL_R,IPL_L,mPFC_L,mPFC_R,MFG_L,MFG_R,MTG_L,MTG_R,PCC_L,PCC_R
0.6860,0.8491,1.3030,1.2731,1.0860,0.5611,0.1886,0.3121,0.0838,-0.4910
1.0415,1.0544,1.3145,0.9434,0.9920,0.5639,0.2531,0.4569,0.1378,-0.4701
0.4866,0.5447,1.0694,0.8486,1.0895,0.4394,0.7458,1.1034,-0.1122,-0.5149
0.4847,0.3942,1.0177,0.5928,0.9304,0.5526,0.5241,0.5258,0.2156,-0.0790
-0.5547,-0.0034,1.3380,1.0466,1.0954,0.2811,0.6730,0.7970,0.1625,-0.1423
-0.4247,-0.1404,0.8904,0.3729,0.6731,-0.0920,-0.3741,-0.0376,0.1506,-0.0708
-0.9441,-0.8356,0.2261,0.0551,-0.3538,-0.5861,0.1659,-1.3487,-0.4079,-0.5147
-0.1978,-0.1513,-0.4723,-0.4255,-0.5715,-0.5135,-0.9469,-1.0439,-0.0136,-0.2916
-0.3421,-0.6263,-0.4350,-0.5796,-0.5941,-0.2802,-1.3013,-0.5646,-0.2318,-0.1799
-0.3971,0.0402,-0.8430,-0.5720,-0.7638,-0.4920,-2.8214,-1.4089,0.1162,0.2690
-0.6394,-0.2840,-1.3655,-1.1526,-1.2260,-0.7622,-2.5476,-1.2872,0.1668,0.4452
-1.0364,-0.9616,-1.5104,-1.1745,-0.9337,-0.2999,-1.8601,-0.8546,-0.7461,-0.2629
0.0210,-0.0590,-1.4227,-0.9223,-0.7461,-0.2300,-2.5302,-1.3622,0.0720,0.5031
0.2143,0.0962,-0.9403,-0.4879,-0.7174,0.0045,-1.0509,-1.1257,0.3241,0.7198
-0.2793,-0.2242,-0.9903,-0.6103,-0.2519,0.2485,-0.7011,-0.9400,0.2112,0.3066
-0.5727,-0.4707,-0.9490,-0.7454,-0.4041,-0.2701,0.1371,-0.6312,-0.0928,-0.0952
-0.3102,-0.5506,-0.3321,-0.1867,-0.2103,-0.2676,0.2013,-0.6946,-0.3101,-0.4980
-0.3348,-0.2572,-0.0639,-0.1476,-0.2670,-0.6619,0.4422,-0.0421,-0.2036,-0.3605
-0.1679,-0.0653,0.3208,0.2396,0.0439,-0.2907,1.0272,0.3601,-0.1370,-0.3720
0.2295,0.3851,0.0777,-0.2989,0.1135,-0.2177,0.1889,0.3366,0.3171,0.1112
-0.4497,0.2359,-0.5690,-0.5119,0.1201,-0.1189,0.1659,0.2866,0.2596,0.1534
-0.4674,-0.3297,-1.0712,-0.7650,-0.3934,-0.1789,-0.7539,-0.3311,0.0617,0.0559
-0.9204,-1.1081,-0.5295,-0.1030,-0.7128,0.0286,-1.1603,0.0186,-0.6150,-0.4293
0.1998,-0.0668,-0.3702,-0.0373,-0.6315,0.0854,-0.4342,-0.9687,-0.2291,-0.0575
0.1611,0.0330,0.5077,0.4458,-0.0284,0.7969,0.7572,0.2667,-0.1575,0.0770
0.9131,0.6006,0.5879,0.6316,0.2632,0.9095,1.6146,0.5697,0.0728,0.2091
0.7335,0.5454,1.0723,0.7395,0.3084,0.6671,2.1177,0.7469,0.0404,0.2244
0.8169,0.4395,0.6110,0.5607,0.3698,0.5342,1.2488,1.1710,0.0610,0.1887
0.0105,0.6958,0.1827,-0.4248,0.0279,-0.1843,0.3718,1.0939,0.0763,0.2081
0.2927,0.4876,0.5154,0.1796,0.2873,0.2418,0.9787,1.2465,-0.0869,0.3122
1.0821,0.3046,-0.0214,-0.2611,0.2050,0.3480,0.2052,1.1806,0.3624,0.5982
0.3764,-0.0978,0.0252,0.0715,0.0420,0.2371,-0.3057,1.3084,0.0845,0.4380
-0.0175,-0.0471,-0.3094,-0.0947,-0.4452,0.0001,-2.2868,0.2795,0.2128,0.6687
-0.0677,-0.4938,-0.3005,0.1441,-0.4427,-0.1258,-1.5569,0.1403,0.2668,0.6900
-0.0866,-0.0973,0.0428,0.2676,-0.1558,0.2574,-0.5552,-0.1918,0.4655,0.8596
-0.4785,-0.1642,0.4816,0.3314,0.2576,-0.1285,0.8899,0.7745,0.3791,0.4555
-0.1198,0.3442,0.6772,0.0584,0.5435,-0.3665,-0.1154,0.0899,0.5682,0.1500
-0.8201,-0.3149,0.6576,-0.0101,0.6630,-0.4107,-0.5400,0.0072,0.0023,-0.3519
-0.6511,-0.5009,-0.0788,-0.5205,-0.3147,-0.7397,-0.2080,-0.1556,-0.1913,-0.3212
-0.2247,-0.4708,-0.4059,-0.7790,-0.5834,-0.7883,0.3076,0.8074,-0.5554,-0.2980
-0.1967,-0.2228,-0.0637,-0.4480,-0.1436,-0.1033,0.4649,0.1139,-0.3476,-0.1149
-0.0996,-0.1330,0.2466,-0.1269,-0.4404,-0.5607,0.8942,0.7863,0.0368,0.0883
-0.1110,-0.2370,0.4230,0.5139,-0.0287,0.0209,0.5746,-0.3028,-0.1504,-0.1517
-0.4555,-0.3758,0.3571,0.7517,-0.5338,-0.2086,1.5580,-0.2648,-0.0095,-0.1515
-0.3979,-0.4220,0.1091,0.3928,-0.7790,-0.3134,1.2577,0.1941,-0.1358,-0.1678
-0.8291,-0.8141,-0.2154,-0.1104,-0.6963,-0.5927,1.0807,-0.1213,-1.0562,-1.1046
0.0565,0.0633,-0.7322,-0.7271,-0.1346,-0.2970,0.4166,-0.7274,-0.8568,-0.9980
0.4009,0.4809,-0.4825,-0.2914,0.3840,0.0414,0.4399,-0.7737,-0.9867,-1.0668
0.8033,0.8129,-0.5157,-0.6840,0.7982,0.5415,-0.2403,-0.7641,-0.9882,-0.9661
1.0273,1.3184,-0.7715,-0.2848,0.6776,0.7499,0.2317,-0.8583,-0.5911,-0.4300
0.8692,0.9203,-0.4340,-0.3019,0.9947,1.2445,0.1248,-0.7127,-0.4395,-0.3214
0.8556,0.5241,-0.2725,0.1408,1.0514,1.2200,0.5435,-0.1730,-0.0615,0.0499
0.3323,0.3461,0.0785,0.0738,0.1705,0.5090,0.0166,-0.8380,0.2171,0.2023
-0.0442,0.1712,0.5087,0.5144,0.1914,0.5381,0.6250,-1.0882,0.1468,0.0100
0.6487,0.3249,0.5586,0.8086,0.2677,0.3255,0.3857,-0.2377,0.6790,0.6401
0.7082,0.2487,0.8199,1.3482,0.2272,0.3751,-0.5099,-0.1634,0.6900,0.7340
-0.5317,-0.5013,1.1229,1.6935,-0.1760,0.1530,-0.1356,-0.0923,0.3170,0.4171
-0.4820,-0.3090,0.3916,0.7727,-0.5165,-0.0233,-0.7939,-0.6954,0.5840,0.5401
-1.1639,-0.6953,0.4414,0.4507,-0.5466,-0.4031,-0.9605,-0.7536,-0.2020,-0.2562
-0.8851,-0.8386,-0.1742,-0.2589,-0.5366,-0.2144,-1.9669,-0.9352,-0.3619,-0.2492
-0.8535,-0.6334,0.0439,0.6626,-0.7063,-0.0816,-2.1378,-0.6368,-0.3239,-0.1755
-0.4625,-0.9632,-0.0410,0.6752,-0.6308,0.0444,-1.0092,-1.1972,0.0678,0.1010
-0.6925,-1.3435,-0.1497,0.1639,-1.1407,-0.3662,-0.9198,-1.1072,-0.1105,-0.0479
-0.2309,-0.4171,-0.3114,-0.0713,-1.0280,-0.4047,-0.8724,-0.5188,0.2771,0.1580
-0.3951,-0.6319,-0.2088,0.1864,-0.5095,0.2601,-0.8175,-0.2211,-0.1608,-0.1786
-0.2032,-0.9398,-0.6249,-1.1340,-0.3379,0.5223,-0.3759,-0.1166,-0.5197,-0.5550
1.5055,-0.0283,-1.1866,-1.4230,-0.4605,-0.3113,0.2580,1.2209,0.5916,0.6255
0.5386,0.1547,-0.9191,-0.6453,-0.0219,-0.2319,-0.0570,0.7858,0.4731,0.3789
-0.2530,-0.3642,-0.1303,-0.5121,-0.2839,-0.7626,0.6519,1.1658,-0.0725,-0.2460
-0.6524,-0.1431,0.2899,0.2630,0.1063,-0.7866,-0.5601,-0.1430,0.0596,-0.1948
0.2243,0.5878,0.5754,0.3970,0.3067,-0.3841,-0.4123,0.6897,0.7108,0.3776
