IPL_R,IPL_L,mPFC_L,mPFC_R,MFG_L,MFG_R,MTG_L,MTG_R,PCC_L,PCC_R
0.7905,1.1386,0.6649,0.2865,1.1499,1.1798,-0.2621,-0.2929,0.3927,0.4630
0.0638,0.2972,1.5370,0.4409,1.1110,0.4166,-0.4360,0.2513,0.7999,0.3429
0.0712,-0.2056,1.0668,0.6076,0.4258,-0.4736,-0.5724,-0.3113,0.5310,0.3164
0.1525,0.1483,0.5182,0.1722,0.5733,0.0415,-0.5873,-1.0267,0.3723,0.4962
-0.4707,-0.3892,-0.7913,-0.8897,0.1490,-0.3188,-1.2365,-0.5563,-0.4278,-0.4195
-0.3833,-0.0517,-1.2002,-0.9000,0.2584,-0.2203,-1.0694,-1.4133,-0.1417,-0.2189
-0.9222,-0.5539,-1.0194,-0.6940,-0.5950,-0.5428,-1.0205,-0.5044,-0.1497,-0.2853
-0.2720,0.0554,-0.1568,-0.0340,0.1209,-0.0403,-1.0885,-0.8774,0.3557,0.4855
-1.1107,-0.3352,-0.0758,-0.4714,-0.0518,-0.0636,-0.4249,0.0571,0.4628,0.5112
0.3926,0.1003,0.0942,-0.3226,0.3099,0.1538,-0.5512,-0.4096,0.4426,0.3417
0.3461,0.4490,-0.2573,0.0897,0.5901,0.2655,-0.3844,-0.9790,0.5491,0.4229
0.0000,0.0309,-0.4382,-0.6092,0.0504,-0.1145,-1.4331,-0.8282,-0.5031,-0.6451
0.7982,0.0503,-0.6981,-0.7088,0.1759,0.5013,-1.4559,-1.0570,-0.4003,-0.4727
-0.0984,-0.5624,-0.7081,-0.4568,-0.4614,0.0103,-0.4984,-0.5235,-0.7173,-0.8066
-0.5546,-0.6539,-0.2558,0.1288,-0.5482,0.2719,-0.9251,0.0532,-0.3458,-0.4852
-0.7648,-0.9099,-0.3105,-0.0321,-1.2085,-0.7274,0.5634,-0.2202,-0.3457,-0.3544
-0.4656,-0.4777,-0.4613,-0.6284,-1.3207,-0.4725,-0.0654,-0.3967,-0.4726,-0.2345
0.0078,-0.2938,-1.0458,-1.0605,-0.8038,-0.2011,-0.2732,-0.2219,-0.0167,0.3002
0.7098,0.0804,-0.3834,-0.3815,-0.5333,0.2869,-0.0732,-0.4719,-0.1806,0.2344
0.8955,0.2190,0.0662,0.2361,0.1020,0.3921,0.7608,0.2331,0.3738,0.4891
0.2385,-0.0123,0.4699,0.1204,0.1999,0.4749,-0.1116,0.7876,0.0151,-0.1419
0.0111,0.1786,-0.0971,-0.1843,0.2388,-0.0886,-0.0044,-0.1151,0.1512,-0.2434
-1.0048,-0.4448,-0.2144,-0.5209,-0.9050,-0.8780,-0.3671,0.6921,-0.3551,-0.6565
-0.0080,-0.0397,0.2322,0.0044,-0.2338,-0.7869,0.2320,0.1970,-0.5358,-0.6227
