IPL_R,IPL_L,mPFC_L,mPFC_R,MFG_L,MFG_R,MTG_L,MTG_R,PCC_L,PCC_R
0.2192,0.8993,0.6906,0.8836,1.7466,2.1572,-1.2138,-1.2436,1.3138,1.2737
-0.1852,0.6513,0.3198,0.7416,1.0227,0.7101,-1.2165,-0.8179,0.1694,-0.3506
-0.5381,0.1702,-0.6469,-0.1252,0.4753,0.0823,-1.7398,-1.9598,-0.0576,-0.3142
-0.7728,-0.8020,-0.7141,-0.5217,-0.3452,-0.1380,-1.6795,-1.4329,-0.0297,0.0297
-0.4049,-1.0625,-0.2739,-0.2334,-0.8338,-0.8251,-0.0772,-0.7219,-0.4534,-0.1678
0.0578,-0.5840,-0.4627,-0.6179,-0.4518,-0.1316,-1.0196,-1.2178,-0.5809,-0.3640
-0.2976,0.1002,-0.5561,-0.0734,0.1643,0.2651,-1.0915,-0.4955,-0.1382,-0.0578
-0.6199,0.2524,-0.5669,0.1105,0.3219,0.2689,-0.3288,-0.6749,-0.0620,0.0492
-0.7117,0.4234,-0.0924,0.3057,-0.2269,-0.1654,-0.2141,-0.1113,-0.3144,-0.4452
-0.3064,0.1909,0.3571,0.7117,-0.0950,0.1359,-0.7457,-0.3050,-0.2454,-0.3275
-0.7933,-0.3926,-0.9729,-0.2921,-0.2472,0.1385,-0.9374,-0.6920,-0.2606,-0.1153
-0.5836,-0.8572,-0.9425,-0.4493,-0.3586,0.1707,0.5964,-0.6409,-0.1639,0.1648
0.4494,-0.3349,-0.2878,0.1656,-0.3220,0.3441,-0.0236,0.2013,0.0247,0.2220
0.4145,-0.2388,-0.3201,-0.1723,-0.1960,0.0343,0.0713,0.2390,-0.1069,0.1328
0.1076,-0.4994,-1.0350,-0.5538,-0.4154,0.0598,0.8650,-0.5042,0.0072,0.2100
0.1900,-0.8168,-0.7156,-0.3563,-0.7159,-0.7163,0.4168,-0.4904,-0.1209,-0.0556
-0.2042,-0.3739,-0.7493,-0.3928,-0.1260,-0.8381,0.1227,-0.2923,-0.5974,-0.8176
0.0850,0.4491,0.1291,-0.2682,0.8166,0.0345,-0.4737,0.0595,0.2413,0.0574
0.0580,0.2225,0.2833,-0.1028,0.5216,0.4825,1.7952,0.2626,0.4542,0.2773
-0.0282,-0.2771,0.2797,-0.3533,0.0977,-0.1208,0.6914,1.0566,-0.1914,-0.1498
0.4934,-0.0810,0.0568,-0.2323,-0.0691,-0.3458,-0.1330,0.7307,-0.3325,-0.3378
0.1435,-0.0396,-0.0446,-0.1929,0.0822,-0.4825,-0.2415,0.1833,0.2361,0.0951
-0.2588,-0.1480,0.1670,-0.1314,-0.3790,-0.7493,1.6107,0.1844,0.0858,0.2472
-0.2074,-0.0868,0.6676,0.2811,-0.2119,-0.5759,0.8652,1.2468,0.0892,0.0576
