IPL_R,IPL_L,mPFC_L,mPFC_R,MFG_L,MFG_R,MTG_L,MTG_R,PCC_L,PCC_R
0.6846,0.4876,0.1747,0.9198,1.4377,0.8368,-1.5398,-1.0200,0.8885,1.2604
0.2529,-0.2684,-0.4819,0.1940,0.8341,1.1517,-1.2243,-1.2951,0.1996,0.8561
-0.3658,-0.7979,-0.9678,-0.9652,0.0893,0.9750,-1.2787,-1.1981,-0.2457,-0.0508
0.0332,-0.5209,-0.6533,-0.1914,-0.0499,0.7184,-1.6997,-1.3005,-0.3697,0.0367
-0.4429,-0.6447,-0.6607,-0.4568,0.2581,0.4824,-2.1936,-1.1069,-0.7033,-0.6157
-0.2394,-0.4270,-0.4817,-0.1505,-0.0386,0.0343,-1.1950,-0.4882,-0.4113,-0.2817
-0.3457,-0.4855,0.2577,0.2042,0.0075,-0.0880,-1.3532,-0.4396,0.1557,0.0442
-0.6071,-0.7925,0.0638,-0.2229,0.0389,-0.1413,-0.4626,-0.6877,0.0202,-0.0591
-0.2229,-0.7945,-0.2348,-0.2712,-0.0781,0.0138,-1.1739,-0.5393,-0.4460,0.0822
-0.5279,-0.8888,0.1312,0.5239,-0.6884,-0.4424,-0.7783,-0.8425,-0.8395,-0.4380
-0.6855,-0.8787,-0.0145,0.1476,-0.4807,-0.3716,-1.1193,-0.9032,-0.9918,-1.0742
-0.8614,-1.2471,-0.7610,-0.4734,-0.4077,-0.0758,-1.9546,-1.3482,-1.0236,-0.9597
-0.3979,-0.7329,-0.8131,-0.6069,-0.0927,0.1598,-2.3666,-2.2209,-0.5624,-0.1611
-0.2665,-0.4608,-0.0368,0.0929,0.3243,0.2818,-1.5538,-1.0096,0.0179,0.2386
0.1656,-0.0240,-0.0099,-0.1283,-0.1943,0.4824,0.1808,-0.7304,0.8031,0.5359
0.2684,0.2161,0.3456,0.6617,-0.0391,0.4038,1.5849,0.1210,0.6595,0.6183
0.9063,0.6643,1.3640,1.1382,-0.0671,0.3359,1.3309,0.5776,0.7941,0.6920
0.9676,1.0989,1.2174,0.6608,0.7035,0.4552,0.5731,0.1407,0.8671,0.0757
-0.0398,0.4165,0.2481,-0.1869,-0.2857,-0.5344,2.2052,0.9229,-0.2976,-0.9534
-0.2375,0.3643,-0.5284,-0.7923,-0.4005,-0.7465,0.7679,0.3077,-0.2750,-0.5858
0.1890,0.3328,0.2473,0.3964,0.2658,-0.0879,0.7262,1.4428,0.1805,-0.3073
0.3688,0.5919,0.0834,-0.6497,0.0260,0.2196,1.0685,0.6660,0.3334,0.0042
-0.2927,0.2385,0.1048,-0.0043,-0.2215,0.0052,0.1912,0.4084,-0.0391,-0.1099
-0.0459,0.2083,0.5182,-0.0293,-0.3141,0.0861,1.1227,0.2730,0.0249,-0.1179
0.0515,0.2375,0.0834,-0.1682,-0.3258,-0.0382,1.3050,0.2885,-0.0259,-0.1764
0.1643,0.0734,0.1688,-0.4346,-0.3087,0.1624,1.0001,0.2849,-0.1154,-0.0362
-0.1217,0.3135,0.2684,-0.3393,-0.6049,0.1342,1.6836,0.4920,-0.1508,-0.1337
-0.5193,-0.3829,-0.0145,-0.4820,-0.6221,-0.7488,1.5561,0.3810,-0.5207,-0.3671
-0.4067,-0.3447,-0.0752,-0.4895,-0.6433,-0.6655,0.1590,-0.1568,-0.4191,-0.2665
-0.5570,-0.3064,0.1572,-0.1110,-0.6166,-0.5877,1.3150,0.2430,-0.2938,-0.3650
0.0034,0.1419,-0.1835,-0.4926,-0.7388,-0.4133,0.2671,0.0848,-0.2411,-0.4754
0.0937,0.4013,0.2203,-0.1188,-0.6630,-0.2314,-0.1331,0.5118,-0.0692,-0.1565
-0.0383,0.6401,-0.1712,-0.3267,-0.7377,-0.3539,0.7559,0.0192,0.2994,0.2467
0.6958,0.8737,0.2144,-0.1239,0.1010,-0.0236,0.7437,0.4131,0.1659,0.3269
0.7721,0.7970,0.3543,0.2123,0.3980,0.3490,0.5497,0.8578,0.3816,0.4836
0.3287,1.0135,-0.4416,-1.2694,-0.5908,-0.5040,0.3633,-0.4118,0.4536,0.3252
-0.1968,0.3167,-1.2807,-1.3196,-0.7901,-1.1415,-0.6481,0.0717,0.2611,-0.0049
-0.2173,0.1087,-0.7872,-0.6220,0.2427,-0.9469,0.8742,0.3193,-0.9463,-1.0593
-0.5998,0.2103,-0.0705,0.0139,0.0151,-0.3704,0.2069,0.3551,-0.5996,-1.0402
0.1833,0.7545,0.2020,-0.1899,0.3399,-0.1616,0.9099,0.3391,0.0146,-0.2786
0.1066,0.5026,0.5511,0.4288,0.3392,-0.1418,0.2492,0.7530,0.2366,0.0119
0.7855,0.3826,0.6050,0.8022,0.1954,0.3334,-0.0052,0.7811,0.5536,0.5209
0.7438,0.4982,0.9574,1.1627,0.2146,0.4695,-0.9093,0.5980,0.3469,0.5886
-0.3586,-0.5481,0.2485,0.5689,-0.5709,-0.4702,-0.2418,0.8326,-0.3125,-0.2293
-0.6432,-0.6245,0.2436,0.6277,0.0824,-0.0443,0.9421,1.0997,-0.2637,-0.4241
0.0555,-0.4685,-0.0097,0.2486,0.0470,0.5562,-0.0233,1.3300,-0.1092,0.0789
0.2100,-0.2573,-0.1037,0.2114,0.2784,0.2348,1.1689,0.7018,0.3392,0.4687
0.3046,-0.1453,-0.2487,-0.0236,0.6638,0.4332,0.9337,0.4975,0.3696,0.2985
0.7730,0.3423,0.0340,0.4711,0.6558,0.6844,-0.0867,0.4696,0.6773,0.6210
0.9870,0.8676,1.0331,1.0831,0.5039,0.8010,0.2352,1.0080,0.7978,0.7904
0.5836,0.8539,0.6558,0.2780,0.6910,0.3816,1.3185,0.9573,0.5466,0.4761
