IPL_R,IPL_L,mPFC_L,mPFC_R,MFG_L,MFG_R,MTG_L,MTG_R,PCC_L,PCC_R
0.9357,0.9747,0.9161,1.1270,-0.1182,0.6436,0.9450,0.6738,0.8247,1.0385
0.2307,0.3072,0.6241,0.5982,-0.0162,0.3925,0.9313,0.1382,0.3515,0.4415
0.2565,0.2666,0.4062,0.4844,-0.4523,-0.0800,-0.2060,-0.1933,0.4360,0.4490
-0.1401,0.0950,-0.3310,-0.1838,-0.7549,-0.5989,-0.8435,-0.2735,-0.0980,-0.1214
-0.6485,-0.7341,-0.6072,-0.4524,-0.4339,0.0515,-0.3137,-0.2320,-0.8036,-0.7920
-0.0910,-0.5181,-0.2031,0.0706,-0.4167,-0.1001,0.0252,-0.2161,-0.7895,-0.7816
-0.3766,-0.1211,-0.2978,-0.2104,-0.6002,-0.6390,0.0819,-0.2689,-0.5832,-0.8147
-0.5526,0.0259,-0.0847,-0.1225,-0.0479,-0.4011,-0.3263,-0.4584,-0.2845,-0.6341
-0.6612,-0.0832,-0.1119,-0.0727,0.0099,-0.4925,-0.7985,-0.7723,-0.4502,-0.5998
-0.2782,0.2442,-0.0039,-0.1062,-0.5163,-0.5675,-0.7881,-0.5837,-0.2043,-0.4841
-0.4087,-0.2019,-0.1643,-0.2187,-0.0949,-0.0650,0.2290,-0.2688,-0.0960,-0.2588
-0.3030,-0.4304,-0.2719,0.1691,-0.0571,0.3212,-0.7196,0.1604,-0.1397,-0.0369
0.2359,0.1070,0.1653,0.7390,0.0117,0.3133,-0.8702,0.1120,0.1383,0.3449
0.1959,-0.0951,0.5533,0.5838,0.1907,0.6401,0.7143,0.0782,-0.0060,0.2135
0.1520,-0.4034,0.3576,0.5485,0.0622,0.5619,0.5873,0.1553,-0.2968,0.0498
-0.1825,-0.5162,0.0089,0.2785,-0.3356,0.0783,0.8001,0.2375,-0.6035,-0.3808
0.0108,-0.1655,0.4946,0.6567,0.0704,-0.0552,0.3144,0.2775,-0.2112,-0.2725
-0.3052,0.0104,0.4384,0.2899,0.4767,0.0001,-0.5883,0.3012,0.0045,-0.2755
-0.5518,0.5197,-0.0673,-0.4268,0.4706,-0.5705,-0.7011,0.1652,0.4137,0.0269
-0.4416,0.3710,-0.0268,-0.5540,0.1963,-0.4746,0.7233,0.3161,0.4067,0.0800
-0.3641,-0.2590,-0.2154,-0.6139,0.1207,0.0640,-0.6199,0.0024,0.1097,0.0607
-0.0017,-0.4570,-0.1306,-0.3318,-0.1426,0.1294,0.2322,-0.0088,-0.1286,0.1564
-0.1701,-0.6564,-0.6906,-0.5189,-0.4690,0.0216,-0.6302,0.1444,-0.2925,0.1702
-0.1259,-0.5602,-0.6208,-0.6051,-0.3203,-0.1572,-0.0733,0.0033,-0.5349,-0.0125
0.0932,-0.7391,-0.3745,-0.4060,-0.2978,0.3418,-0.3004,-0.0548,-0.4253,0.1662
0.3246,-0.5075,-0.0074,0.1911,-0.2420,0.4483,-0.9098,0.3313,-0.2809,0.2536
0.0823,-0.1974,-0.0319,0.3425,-0.2269,0.3365,-0.2838,0.7506,-0.2790,-0.0341
0.1635,-0.5648,-0.2075,-0.0373,-0.0399,0.5315,-0.1788,0.4849,-0.4247,-0.0955
0.4535,-0.0706,-0.1939,-0.3613,0.3654,0.7543,-0.4324,0.1155,0.0942,0.4334
0.4405,0.2608,-0.4472,-0.4107,0.2124,0.2864,-0.0707,0.4696,0.4042,0.5656
0.0878,0.0242,-0.1943,-0.2575,0.0575,0.3914,-1.2856,0.5133,-0.0468,-0.1175
0.0766,0.0898,0.1375,0.0576,0.7438,0.2525,-0.6406,0.6260,-0.1599,-0.3183
0.2922,0.1822,0.2969,0.3503,0.6497,-0.2023,0.0554,0.7122,0.0503,-0.1970
-0.2178,-0.2863,0.0795,-0.0024,0.4207,-0.3250,0.5156,0.3169,-0.0375,-0.2332
-0.2013,-0.4388,0.0948,-0.0298,0.7997,0.4875,0.1650,0.1962,-0.0106,-0.0718
0.0470,-0.3753,0.3446,0.5260,0.5441,0.4895,-0.1197,0.4729,-0.1241,-0.0201
0.1932,-0.0759,0.5802,0.6553,0.3163,0.2643,-0.8878,0.4777,-0.0492,-0.0435
-0.1330,-0.2388,0.2456,0.3111,0.0586,0.2302,0.4570,0.6669,-0.3355,-0.1906
0.0980,-0.2388,-0.1977,-0.0670,0.0948,0.1959,0.0322,0.5772,-0.0782,0.0229
0.5754,0.0420,-0.2845,-0.1860,-0.1531,0.0772,-0.0583,-0.1337,0.1592,0.1701
0.2960,-0.1284,-0.2151,-0.3703,-0.5981,-0.3598,-0.8929,-0.0486,-0.1109,-0.0655
0.1899,0.0279,-0.1323,0.0554,0.1929,-0.0013,-0.2885,-0.1878,0.0585,0.0208
-0.1377,-0.0587,-0.0465,0.0371,0.4768,0.1687,-0.3248,-0.1904,-0.1673,-0.3371
-0.0870,0.1777,-0.1732,-0.0302,0.2934,-0.3109,0.1307,-0.2275,-0.1852,-0.1910
-0.2048,0.1641,0.0849,0.0012,0.1455,-0.4164,-0.2269,0.0531,-0.2266,-0.4749
-0.3105,0.1814,0.2963,0.2726,0.4397,-0.1374,-0.2867,0.0299,0.0247,-0.2816
0.3140,0.5269,0.1065,0.2348,0.4717,-0.0180,0.0830,0.6452,0.2853,0.1576
0.3101,0.3844,0.2070,0.0301,0.1370,-0.0441,0.3986,0.6432,0.4323,0.2678
0.1610,-0.1879,0.3294,0.0441,0.5625,0.4896,1.0828,0.4287,0.3909,0.2949
-0.3715,-0.1042,-0.5420,-0.7120,0.1507,-0.1949,-0.5451,-0.8123,0.2829,0.3056
-0.6963,-0.2335,-1.0123,-0.8591,-0.4050,-0.8120,-0.0956,-1.1281,-0.2356,-0.4541
-0.2960,0.0402,-0.6347,-0.8098,-0.5333,-1.1551,0.2987,-0.7454,-0.3166,-0.7424
-0.1499,0.5114,-0.3485,-0.6488,0.0280,-1.2471,0.1370,-1.0980,0.2409,-0.3587
-0.0045,1.1643,-0.0496,-0.2823,0.0717,-1.0964,0.1714,-0.4912,0.4985,-0.0521
0.3540,0.9687,-0.0302,-0.1738,-0.1480,-0.7556,1.0449,-0.5279,0.6177,0.3125
0.4040,0.8804,0.2253,-0.0090,-0.2929,-0.6331,2.0015,-0.7271,0.8043,0.5318
0.2391,0.6049,0.3421,-0.1579,-0.2358,-0.1029,1.0471,-0.9904,0.7083,0.5536
0.2498,0.3852,0.0723,-0.2088,0.1166,0.4455,0.6394,-0.8156,0.4147,0.3972
0.1294,0.4652,-0.1014,-0.1552,-0.4798,-0.5930,-0.1764,-0.8504,0.0338,-0.1138
-0.1449,0.2744,-0.0532,-0.1945,-0.5943,-0.7647,0.7575,-0.9187,-0.0422,-0.1715
-0.3694,-0.4366,-0.4945,-0.6814,-0.4302,-0.1315,0.4026,-0.7791,-0.0734,-0.0543
0.0330,-0.1796,-0.4905,-0.4418,-0.7977,-0.5225,0.3658,-0.6630,0.0950,0.1688
0.1344,-0.2462,-0.2635,-0.2493,-0.3525,0.2429,0.6357,-0.2634,0.2168,0.3690
0.2469,-0.1797,-0.2877,-0.0518,0.0913,0.6409,0.9985,-0.0315,0.3865,0.5116
0.5181,0.3767,0.1969,0.5194,0.1102,0.4400,-0.2215,-0.3208,0.7000,0.8789
0.1255,0.1133,0.5312,0.2165,0.4789,0.8883,0.2664,-0.5028,0.6158,0.7674
0.0251,0.2552,0.7517,0.3267,0.4352,0.8281,0.0810,0.2275,0.6770,0.7944
-0.1740,0.3555,0.1695,-0.1385,-0.0198,-0.1384,-0.3510,-0.1435,0.3276,0.3444
-0.2218,0.1597,0.1083,-0.1601,0.6536,0.3082,0.3282,-0.0431,0.3153,0.3406
-0.3076,0.1988,0.0979,-0.1632,0.1852,0.1163,-0.2885,-0.1693,0.3727,0.3274
-0.5375,-0.1606,-0.2025,-0.2557,-0.0398,-0.0369,-0.5319,-0.3423,0.1040,0.1722
-0.6537,-0.6702,-0.1388,-0.1748,0.0995,0.3955,0.7817,-0.2658,-0.1802,-0.0570
-0.5041,-0.5730,-0.3564,-0.3913,-0.4395,0.1034,-0.5722,-0.2837,0.0205,-0.0866
-0.4451,-0.4178,-0.3124,-0.4466,-0.8161,0.1807,0.5197,-0.4009,-0.2101,-0.1141
-0.3877,-0.8005,-0.2029,-0.2264,-0.1384,0.8013,-0.9275,-0.2799,-0.3323,0.0432
-0.1658,-0.2749,-0.1872,0.0656,-0.0663,0.2654,-0.2377,0.1016,0.0037,0.2150
-0.2478,-0.1089,0.1279,-0.0039,0.0785,0.2360,0.0700,0.1365,0.0925,0.2862
-0.3606,-0.1543,0.0602,-0.0599,0.6309,0.4015,0.0301,-0.4053,-0.0074,0.1182
-0.3529,0.0997,0.0267,0.1051,0.3219,-0.3813,0.5180,-0.3104,-0.1226,-0.2592
-0.3102,-0.0863,-0.0188,-0.0874,-0.1497,-0.8751,-0.2981,-0.1217,-0.3549,-0.6310
-0.3951,-0.0280,-0.0718,0.0280,0.0222,-0.4870,0.3497,-0.0831,-0.2548,-0.3167
-0.6706,-0.0336,-0.4596,-0.5463,0.0126,-0.6698,-0.0173,-0.1737,-0.1097,-0.2516
-0.3863,0.0886,-0.3654,-0.4810,-0.1842,-0.8533,0.6171,-0.4709,0.1068,-0.1958
-0.2697,-0.2188,-0.2564,-0.1083,0.1800,-0.2466,0.4895,-0.0940,-0.0563,-0.3048
-0.5588,-0.4378,-0.4433,-0.4072,0.5802,0.3401,-0.1765,-0.1298,-0.1013,-0.2009
0.0420,0.4454,0.1094,0.1557,0.0440,-0.4608,-0.3250,-0.1255,0.2037,0.0543
-0.0434,0.6556,0.7145,0.5093,-0.0501,-0.5779,-0.4621,-0.1729,0.1507,-0.1096
0.2593,0.4662,0.7935,0.6054,0.2356,-0.3833,-0.9366,-0.1859,0.2429,-0.1319
-0.0044,0.5419,0.8016,0.5740,0.7000,-0.1075,0.3336,-0.1274,-0.1613,-0.5281
0.2914,0.6072,0.7688,0.6626,0.4462,-0.3186,0.8887,-0.4921,-0.1254,-0.3819
0.0317,0.3016,0.3577,0.2394,0.0921,-0.5347,0.7220,-0.4441,-0.2548,-0.3473
-0.1431,0.0566,0.2574,0.1846,-0.1635,-0.5256,0.2676,-0.5833,-0.2513,-0.1967
-0.2422,-0.3899,-0.0897,-0.0542,-0.0873,-0.2789,-0.1999,-0.5002,-0.2730,-0.0521
0.2185,-0.2208,-0.5427,-0.3411,-0.2996,-0.2821,-0.4959,-0.2211,-0.2036,-0.0656
0.0424,-0.0807,-0.2166,-0.2485,-0.2353,-0.3620,-1.0829,-0.2476,0.0888,0.2318
-0.1266,-0.2350,0.0705,-0.0134,0.5383,0.0974,0.3164,-0.3667,0.3159,0.3586
-0.3654,-0.1517,0.0511,0.1088,0.3757,-0.0128,-0.4034,-0.4017,0.5507,0.5476
-0.6029,0.0425,0.1825,0.3395,-0.2536,-0.5013,-0.4801,-0.3132,0.1728,-0.0898
-0.9043,-0.1598,0.7471,0.7212,-0.3739,-0.5655,-0.0154,-0.7505,-0.5451,-0.8346
-0.9603,-0.5629,0.5872,0.5724,-0.1157,-0.3181,-0.1118,-0.2610,-0.7770,-0.6363
-0.2348,0.0240,0.7350,0.7327,-0.0683,-0.2684,-0.5696,-0.1075,-0.2474,-0.2198
-0.0659,-0.0506,0.3872,0.4010,-0.3095,-0.3956,-1.0760,-0.2719,-0.1294,-0.0780
-0.2283,-0.7063,-0.2136,-0.2036,-0.0030,0.1052,-0.6798,0.0571,-0.0128,0.0209
0.3367,-0.4340,-0.0879,0.2174,0.0356,0.2072,-0.2907,0.2121,0.2290,0.4476
0.4212,-0.3423,-0.3107,0.1077,-0.0176,-0.0367,0.0290,-0.5119,-0.2303,0.0774
-0.1346,-0.1838,-0.2649,-0.1139,0.2328,0.0475,-0.0665,-0.6325,-0.5017,-0.4229
-0.1199,0.2688,-0.1393,-0.1208,0.2821,-0.2748,0.3462,-0.5075,-0.4369,-0.6665
