IPL_R,IPL_L,mPFC_L,mPFC_R,MFG_L,MFG_R,MTG_L,MTG_R,PCC_L,PCC_R
0.7300,0.5779,1.3867,1.2312,0.2881,0.5580,-0.2813,0.6155,0.3358,0.4537
0.2714,0.6081,0.2913,-0.0235,0.2304,0.1790,-0.3494,-0.1847,0.5779,0.5925
-0.3934,-0.2061,-0.8725,-0.6279,-0.2723,-0.3847,-0.0958,-0.2042,0.0571,0.0244
-0.0679,0.4286,-0.9438,-0.6165,0.2855,0.0193,0.4322,-0.5327,0.3266,0.4041
-0.6211,0.2812,-0.3263,-0.0604,0.1386,-0.3579,-0.3757,0.2227,0.1362,0.0914
-0.6606,0.0463,0.0727,0.1444,-0.2950,-0.2756,0.2879,0.7986,0.2269,0.0003
-0.2122,0.8123,0.2084,0.4553,-0.0612,-0.1865,0.5667,0.3882,0.4172,0.3435
-0.1346,0.6976,0.9971,0.9372,0.1491,0.0296,1.1652,0.3397,0.3266,0.1957
-0.4930,0.5148,1.0089,0.4308,0.1443,-0.0865,-0.2177,0.0622,0.1950,-0.0370
-0.5163,0.5140,0.3605,0.1062,0.3612,-0.3257,0.8562,-0.7442,0.2738,0.0754
-0.3650,-0.0048,0.4479,0.0108,-0.3473,-0.5690,0.2108,-0.2333,-0.3216,-0.5394
-0.3235,-0.8853,-0.7683,-0.7355,-1.0227,-0.7509,-0.2900,0.1755,-1.0870,-0.9906
-0.6982,-0.6927,-0.8071,-0.8306,-0.7688,-1.0931,-0.5856,-0.6699,-1.1672,-1.0709
-0.8419,-0.5103,0.0575,-0.2302,-0.7063,-1.4496,-0.3232,-0.5423,-0.6151,-0.7372
-0.0240,0.4867,0.3714,-0.1284,0.4992,-0.7319,0.0993,-0.6859,0.0956,-0.0723
-0.1511,0.4639,0.2320,-0.2065,0.6410,-0.8986,0.6513,-0.3283,-0.2811,-0.6789
-0.0985,0.1910,0.1561,0.1254,0.6110,-0.2812,-1.0328,-0.5832,-0.6491,-0.7132
-0.0449,-0.2740,-0.1789,-0.2885,0.1058,-0.8008,0.3466,-0.2081,-0.5801,-0.6990
-0.2484,-0.8211,-0.1840,-0.5124,-0.8615,-0.8883,0.6506,-0.5925,-0.8571,-1.0518
-0.9820,-1.4027,-0.9091,-1.0871,-1.5450,-1.0351,-0.0223,-0.2496,-1.5868,-1.5772
0.1731,-0.8702,-0.8899,-0.7514,-0.8057,-0.1601,-0.5260,-0.2666,-0.8739,-0.7290
-0.3246,-1.4461,-0.3450,-0.1966,-1.3465,-0.5477,-0.5984,-0.0979,-1.1039,-0.8451
0.0883,-1.2548,-0.4258,-0.3108,-1.2720,-0.2167,-0.5074,-0.1006,-1.0521,-0.8295
-0.0151,-1.2651,-1.0082,-0.7149,-1.3072,-0.2370,-0.0746,-0.2116,-1.0163,-0.6854
-0.4815,-1.0532,-0.7943,-0.4635,-1.2161,-0.4804,0.3879,-0.7169,-1.0979,-0.8580
-0.7938,-0.5819,-0.6438,-0.4075,-0.8352,-0.6498,0.9090,0.2563,-0.7252,-0.5391
-0.5177,-0.1206,0.0877,0.0328,-0.5835,-0.2115,1.0226,0.2293,-0.1765,-0.0602
0.1640,0.1789,0.3265,0.4636,-0.0601,-0.1058,0.1539,0.0519,0.4889,0.9187
0.7086,0.1672,0.5900,0.6367,0.4351,-0.0036,-0.1624,-0.0873,0.6500,0.8498
