IPL_R,IPL_L,mPFC_L,mPFC_R,MFG_L,MFG_R,MTG_L,MTG_R,PCC_L,PCC_R
0.6888,0.9945,-0.4466,-0.1404,0.2016,0.2660,-0.9789,-1.0086,0.1374,0.0054
-0.0617,0.1109,0.2099,0.0409,0.2721,0.0732,0.4380,0.2637,-0.2322,-0.2915
0.1192,0.1474,0.2178,0.1629,0.2638,-0.0504,0.0905,-0.2267,-0.2214,-0.0889
0.2641,0.2350,0.1615,0.0547,0.1840,0.0927,0.7816,0.1913,-0.1392,-0.0250
0.6308,0.7821,-0.1227,-0.0510,0.3314,0.3022,-0.0658,-0.2693,0.0602,0.0663
0.2687,0.4602,-0.1464,0.0342,-0.3913,0.0491,0.0269,-0.3475,-0.0502,-0.1317
0.3013,0.3448,-0.1820,0.1887,-0.3744,0.1522,-0.0001,-0.2436,-0.3089,-0.3709
0.2429,0.5710,-0.0059,0.0311,-0.4367,0.2673,0.6803,-0.2601,-0.3597,-0.3159
0.4207,0.6036,-0.2521,-0.2123,-0.0653,0.1845,0.0146,-0.9628,-0.2002,-0.1912
-0.0060,0.3428,-0.0957,-0.2027,-0.0882,-0.0761,0.0481,-0.1830,0.1083,0.1958
-0.3732,0.0108,-0.3789,-0.2387,-0.1483,-0.0828,0.2791,-0.7642,0.1233,0.1905
-0.2953,-0.1837,-0.3186,0.0679,-0.2148,-0.1501,-0.1236,-0.3075,0.1980,0.2531
-0.4395,-0.6821,-0.2669,-0.0617,-0.3585,-0.0760,-0.0688,0.0075,-0.3755,-0.1267
-0.5454,-0.6592,-0.4373,-0.0576,-0.1596,-0.2345,0.2073,0.3062,-0.6259,-0.3510
0.4292,-0.0251,0.1928,0.3952,0.6484,-0.1140,0.8093,1.3611,-0.0913,-0.2163
-0.3086,0.1229,0.4372,0.1735,0.8630,-0.3758,0.1853,0.0319,0.4351,0.0427
-1.0911,-0.5831,0.2608,-0.0131,0.5748,-0.7456,-0.0977,-0.3814,0.1590,-0.2357
-0.5697,-0.4459,0.0111,-0.4881,0.0135,-0.8986,-0.1585,-0.6554,0.2926,-0.1750
-0.7389,-0.8281,0.4120,-0.2208,-0.5833,-1.0101,0.5618,0.1146,-0.0757,-0.3045
-0.3948,-0.4963,-0.0481,-0.0849,-0.4436,-0.4825,-0.0892,0.2253,-0.1168,-0.1313
-0.4071,-0.5370,-0.5462,-0.6314,-0.3568,-0.3059,-1.0985,-0.0448,-0.1306,-0.1705
-0.4839,0.0259,-0.4998,-0.6077,0.1346,-0.2268,-0.0809,0.5477,-0.1856,-0.3116
-0.6739,0.1165,-0.0714,-0.5747,0.4691,-0.3123,0.1446,0.1025,-0.0567,-0.3533
-1.1785,-0.5649,-0.2339,-0.9495,0.0653,-0.5945,-0.5376,-0.6171,-0.5117,-0.7376
-0.5333,-0.4286,-0.6161,-0.8290,-0.5308,-1.0504,-1.0355,-0.8590,-0.1510,0.0000
-0.2708,-0.5290,-0.6302,-0.5110,-0.6382,-0.5982,-0.9115,-1.0610,-0.0586,0.3158
-0.6438,-0.5327,-0.4022,-0.3232,-0.6014,-0.5824,-0.9133,-0.2901,0.1412,0.2724
-0.6070,-0.7571,0.4279,0.5689,-0.4956,-0.4439,-0.0360,1.5528,-0.0953,0.1063
0.0699,-0.8400,0.9118,0.8731,-0.4767,0.0568,0.8167,1.8610,-0.0623,0.2295
0.1351,-0.7724,0.0508,0.2643,-0.7522,0.1605,-0.1463,1.2809,-0.2760,0.1644
0.7247,-0.2703,0.4001,0.4244,-0.7115,-0.3305,0.6576,1.3105,-0.1108,0.1402
0.0488,-0.0851,0.4546,0.2540,-0.4688,-0.3679,0.3586,0.7441,-0.1604,-0.0682
-0.0288,0.2318,0.0739,-0.0172,0.0495,-0.7237,0.4109,0.0613,-0.1245,-0.3496
-1.1968,-0.0591,0.1054,-0.6801,0.3190,-0.9120,0.4389,-1.6617,-0.8205,-1.4342
-0.1954,0.3384,-1.0954,-1.6253,-0.1090,-0.6132,-0.8620,-2.1355,-0.4773,-0.9813
1.0449,0.8193,-0.8520,-0.7660,-0.2761,0.2208,0.1223,-0.5766,0.1422,0.0036
0.7612,0.5427,-0.8445,-0.6902,-0.4647,0.0499,-0.3718,-0.1512,-0.0919,-0.0394
-0.0133,0.4210,-0.6022,-0.4615,-0.1106,-0.2923,-0.5418,-0.0772,-0.1959,-0.2471
0.1004,-0.1137,0.1470,0.1256,0.4206,0.3643,-1.0133,0.0595,0.0142,0.1510
