IPL_R,IPL_L,mPFC_L,mPFC_R,MFG_L,MFG_R,MTG_L,MTG_R,PCC_L,PCC_R
0.5103,0.4254,0.2510,0.2192,0.4056,0.6307,0.4053,0.2102,-0.1594,0.1121
0.8302,0.3233,0.5901,0.9505,0.6831,1.1013,0.5548,0.8248,0.2534,0.3443
0.3891,-0.2805,0.4529,0.6470,0.7978,0.8169,0.3132,0.6401,0.2747,0.3654
0.2787,0.0849,0.7748,0.5905,0.5433,0.4747,0.5149,0.6568,0.2026,0.1196
-0.0246,0.0847,0.4555,0.1781,0.5441,0.5868,-0.0711,0.0814,0.2933,0.2101
0.3130,0.6270,0.3302,0.1328,0.4382,0.4757,-0.3852,0.1366,0.4431,0.5528
0.4764,0.3783,-0.7363,-1.1417,-0.2272,0.1181,0.0643,0.0369,-0.2799,-0.1376
-0.2724,0.1176,-1.2841,-1.1330,-0.4330,-0.0819,-0.7074,-0.4502,-0.3127,-0.2689
-0.2521,-0.1614,-0.6461,-0.6109,-0.2129,-0.0144,-1.4395,-0.0672,-0.5703,-0.6695
-0.1684,-0.2681,-0.4330,-0.4064,-0.2500,-0.2330,-1.4044,0.0503,-0.8264,-0.8401
0.4013,0.2765,0.0419,0.3206,0.1276,0.5778,-0.7019,0.0215,-0.5290,-0.4149
0.5753,0.2045,-0.3279,-0.0537,-0.0428,0.3538,-0.2674,0.3049,-0.5811,-0.3967
0.0012,-0.1637,-0.2203,0.2279,-0.0605,0.0764,-0.5567,0.6193,-0.7408,-0.8453
-0.6589,-0.4285,-0.1053,0.1189,0.0527,-0.2838,-0.6242,0.3929,-0.2287,-0.4618
-0.4505,0.2420,0.2579,0.2171,0.2005,-0.2889,-0.5435,-0.2437,0.1061,-0.2776
-0.2982,-0.0868,-0.3033,-0.6014,-0.1652,0.0839,0.0419,-0.3461,-0.0397,-0.3266
0.1172,0.0084,-0.6436,-0.4637,-0.0501,0.6008,-0.1529,0.2544,-0.0867,-0.3547
0.0491,-0.1117,-0.3618,-0.2583,-0.1921,0.6688,-1.1764,0.4578,-0.4220,-0.3967
0.1646,0.3415,-0.4851,-0.0364,-0.0020,0.5411,0.2347,0.1324,-0.4394,-0.2244
-0.4499,-0.3445,-0.9913,-1.0163,-1.3929,-1.6162,0.6534,-1.1574,-0.0728,0.2192
-0.5030,-0.7406,-1.0763,-1.2541,-1.8094,-1.9161,-0.2697,-2.3485,-0.1593,-0.0162
-0.1709,-0.5123,-1.0540,-1.2661,-1.2672,-1.4301,0.0880,-1.2072,-0.3007,-0.0638
-0.7684,-0.8640,-0.4768,-0.6591,-0.5751,-1.2591,0.9811,-0.5288,-0.5786,-0.5885
-0.6125,0.0676,-0.0727,-0.1463,-0.3163,-1.1716,0.4694,-0.5202,-0.2034,-0.3751
-0.6219,0.3572,-0.1179,-0.4817,-0.5984,-1.0942,0.8480,-0.3157,0.2594,-0.0261
-0.2894,0.4034,0.0405,-0.2379,-0.5848,-1.1545,0.5781,-0.2465,0.7256,0.5600
-0.4685,-0.4136,-0.5374,-0.6347,-0.6401,-1.1968,-0.0103,-0.7189,0.5342,0.3724
-0.3973,-0.6633,-0.1514,-0.1112,-0.5052,-0.7702,-0.0334,-0.4878,0.0806,0.2855
-0.1680,-0.1671,-0.1250,-0.0806,-0.2759,-0.0835,-0.3135,-0.6709,-0.0915,0.2625
0.0257,-0.2322,0.3614,0.2483,-0.1063,0.0680,0.0195,-0.3801,-0.0632,0.2772
0.4881,0.1916,1.0679,0.8991,0.3512,0.2754,0.7900,0.4248,0.4229,0.5265
-0.0039,0.0669,0.8500,0.6036,0.4849,-0.1744,1.1004,0.6610,0.6391,0.7457
-0.0913,0.3396,0.8322,0.6531,0.4776,-0.3952,0.6775,-0.2530,0.9659,0.8506
-0.4568,-0.0665,0.5533,0.4645,0.6656,-0.3785,0.6321,-0.5419,1.0149,0.8256
-0.7788,-0.4828,0.4382,0.6282,0.2040,-0.5738,1.0076,0.2096,0.5416,0.4871
