IPL_R,IPL_L,mPFC_L,mPFC_R,MFG_L,MFG_R,MTG_L,MTG_R,PCC_L,PCC_R
0.0445,-0.1419,-0.3251,-0.3538,0.0868,0.2764,-1.0541,0.2916,-0.6628,-0.4680
0.3879,0.0281,0.4780,0.4685,-0.0354,0.5158,0.0585,0.5879,-0.2245,0.1249
0.4789,-0.5795,0.4453,0.3956,-0.0737,0.1934,0.4458,1.2818,-0.2080,-0.0458
-0.0749,-0.5600,-0.8354,-0.3614,-0.5734,-0.0926,-0.0203,0.5778,-0.4838,-0.2573
-0.2736,-0.7880,-0.1247,-0.1093,-0.4211,-0.3907,-0.3982,0.5477,-0.8625,-0.3692
-0.2039,-0.5333,0.0286,0.1568,-1.0047,-0.6787,0.1337,0.9406,-0.2520,0.1482
-0.6722,-0.4453,-0.4497,-0.4216,-0.4897,-0.4351,-0.1419,-1.3708,-0.3056,-0.3022
-0.7724,-0.7050,-0.8921,-0.8192,-0.9369,-0.2706,-1.7435,-2.0522,-0.3124,-0.3826
-1.1869,-1.1626,-0.6017,-0.5960,-0.3048,-0.0374,-1.9331,-0.7346,-0.8117,-0.5814
-0.2331,-0.3706,0.4896,0.3944,-0.1761,-0.1541,-0.8054,0.2975,-0.3590,-0.0642
0.0601,-0.3355,0.6080,0.4771,0.0855,0.2075,-0.9984,-0.3576,-0.0848,0.0018
0.4811,-0.1444,0.5885,0.2209,-0.1988,0.0443,-0.1452,-0.6140,0.3397,0.1408
0.0833,0.6884,0.1031,0.0084,0.5636,0.5125,-0.4724,0.0333,0.4032,0.1714
-0.2216,0.9586,0.2862,0.2819,0.6925,0.1327,-0.8112,0.4247,0.6929,0.1699
0.1296,1.4339,0.9016,1.1232,0.9195,-0.0640,0.3279,0.0250,0.8440,0.2732
-0.2821,0.6807,0.7137,1.0422,0.9261,-0.0304,-0.7127,-0.4722,0.1660,-0.2468
0.7083,0.4407,0.9949,1.0320,0.2492,0.2617,0.1123,0.5239,-0.0130,-0.2344
0.2037,-0.1458,0.0250,0.2793,0.7985,0.6475,-0.5090,0.0707,-0.7673,-0.4876
0.0390,-0.1773,-0.5614,-0.8439,0.2398,0.1788,-0.5704,-0.8158,-0.8743,-0.5844
-0.8634,-0.8187,-0.7056,-0.5675,0.3597,0.3834,-0.5129,-0.0253,-0.7275,-0.6077
-0.3814,-0.4229,-0.3054,-0.4544,-0.0480,-0.1933,-0.8754,-0.8209,-0.1719,-0.1909
-0.8704,0.1635,-0.0114,-0.1233,0.2106,0.0235,-0.4117,-0.7141,0.0028,-0.6048
-0.8482,0.0104,-0.0967,-0.4915,-0.4026,-0.4002,0.0976,-0.4420,-0.2472,-0.4237
