IPL_R,IPL_L,mPFC_L,mPFC_R,MFG_L,MFG_R,MTG_L,MTG_R,PCC_L,PCC_R
0.4987,1.2841,0.1731,-0.0468,0.1170,0.8071,0.3879,1.0865,-0.1780,-0.2372
-0.1874,1.1344,0.8471,0.6070,0.1350,-0.3246,0.6062,0.7284,0.2158,-0.1154
-0.4644,1.1304,1.3707,1.2368,0.9101,-0.5907,-1.0936,0.4188,0.1207,-0.3683
-0.5579,0.7269,1.0995,0.8194,1.1390,-0.7877,0.3399,0.0224,0.4042,-0.1370
-0.2370,0.2898,0.6081,0.2933,0.5042,-0.7090,1.0086,-0.3404,0.3698,0.1646
-0.3373,-0.2999,0.1760,0.0074,-0.1350,-0.4146,-1.5224,-0.5820,0.1940,0.2870
-0.6398,-0.9592,-0.2712,-0.2245,-0.9088,-0.8514,0.1516,-1.1692,-0.1544,-0.0984
-1.1437,-0.7203,-0.8148,-0.9597,-0.6807,-1.1906,0.5728,-1.1502,-0.8509,-0.9598
-0.6981,0.1374,-0.5528,-0.9126,-0.2883,-1.2605,-0.2422,-0.5189,-0.3340,-0.5044
-0.2772,-0.1270,-0.2474,-0.5321,-0.2063,-0.8924,1.1287,0.2277,-0.1869,-0.2997
0.3713,-0.2443,0.3585,0.4362,-0.5594,-0.5553,0.9581,-0.0569,0.3783,0.4927
0.3567,-0.1390,0.3250,0.7647,-0.7421,-0.3393,0.5497,0.0474,0.2165,0.6189
0.3288,-0.3280,0.0277,0.7846,-0.3987,-0.2433,0.6474,0.2716,-0.3339,0.1531
-0.3155,-1.0347,-0.2026,0.1847,-0.2301,-0.2555,-0.5501,-0.2261,-0.7457,-0.2540
-0.4609,-0.5105,-0.0632,0.0142,-0.4618,-0.2751,1.1600,0.7085,-1.3444,-1.2699
-0.2789,0.0071,0.0331,0.0535,-0.1537,-0.1031,0.2620,-0.2213,-0.9011,-1.0921
-0.0711,0.1945,0.3571,0.5547,-0.5843,-0.6263,0.7242,0.3020,-0.7344,-0.8647
0.4560,0.7490,0.1010,0.5011,0.0716,0.4971,-0.8661,0.4697,-0.2941,-0.1809
1.0840,0.7625,0.1341,0.2721,0.3930,0.8989,-0.6850,1.2176,0.1628,0.3950
1.3709,1.0556,0.4237,0.4885,0.3066,0.4739,0.9488,0.8366,0.3999,0.7005
0.8120,0.5361,0.3995,0.0936,0.1114,0.8712,0.6400,1.0146,0.9618,1.1007
0.5184,0.2163,0.6922,0.5452,-0.1314,0.1765,0.5754,0.7828,0.7570,0.9226
0.0586,-0.2217,0.5260,0.8424,0.1927,0.4854,-0.7464,-0.0201,0.6178,0.3359
0.1835,-0.2352,0.4525,0.4982,0.6542,0.4873,-1.3740,-1.3305,0.6680,0.0102
0.2516,-0.3510,0.1165,-0.2767,0.2492,0.3127,-1.0950,0.0993,-0.0625,-0.5489
-0.1541,-0.6595,-0.4651,-1.0628,0.3487,0.3832,-1.2754,-0.5090,-0.0391,-0.3816
-0.4886,-0.8896,-0.9867,-0.8377,-0.0571,-0.0737,-1.1196,-0.8297,-0.3772,-0.5056
-0.0569,-0.0544,-0.3271,-0.0288,0.4914,0.4283,-0.6307,-0.1820,-0.4760,-0.2428
-0.3239,-0.6891,-0.1741,-0.0513,0.2646,-0.1378,-0.0963,-0.3046,-0.3157,-0.1513
-0.4103,-1.1047,0.1460,0.0793,-0.4066,-0.8083,0.4222,-0.7991,-0.7483,-0.5346
-0.3002,-0.9395,-0.1200,0.0120,-0.2247,-0.3275,-0.0338,-0.9403,-0.3367,-0.1316
-0.4732,-0.6072,-0.4097,-0.6639,-0.5566,-0.3281,-0.6220,0.2322,-0.2848,-0.3425
-0.6419,-0.6193,-0.5704,-0.7542,-0.5971,-0.9473,-0.0433,-1.2667,-0.2502,-0.2902
-1.5194,-1.6590,-0.8285,-0.7194,-1.0843,-0.9972,-0.8724,-1.3478,-1.0257,-1.2699
-1.0896,-1.6942,-0.3242,-0.0589,-1.0952,-0.3328,-1.4061,-0.6442,-1.7811,-1.8189
-0.4878,-0.9136,-0.4509,-0.0153,-0.6153,0.3651,-0.3904,-0.4629,-1.1871,-1.0603
-0.0291,-0.1379,-0.1950,0.1847,-0.3470,0.2728,-0.3548,-0.3322,-0.5721,-0.4211
0.4918,0.4270,0.2136,0.0770,0.3476,0.4707,-0.5127,0.4661,0.3771,0.4707
0.1695,0.6561,-0.0714,-0.3533,-0.0668,0.1147,-1.1771,0.6688,0.5886,0.6839
0.7167,0.8767,0.4455,0.0345,0.4665,0.6333,0.7901,0.4316,1.0205,1.2341
0.4298,0.4449,-0.5446,-0.6799,0.3671,0.5971,-0.2828,0.4535,1.2291,1.3702
0.8355,0.3749,-1.1577,-0.8858,0.0022,0.8027,0.0462,0.2610,1.0684,1.3990
1.0005,0.2601,-1.2189,-1.0538,0.2398,1.1832,0.7197,-0.2093,1.4097,1.6255
0.7247,0.3189,-0.6254,-0.7911,0.2640,1.1197,1.0971,0.6329,1.0119,1.1587
0.8118,0.8010,-0.3598,-0.1672,0.5711,1.4392,0.7105,0.1875,1.2778,1.4477
0.6931,1.0757,-0.0440,0.0866,0.4294,0.8890,1.3235,1.2208,1.1078,1.1379
0.9311,0.9004,-0.7661,-0.0698,0.4722,0.8164,0.6270,0.5242,0.8345,0.7836
0.0168,0.0005,-1.1250,-0.8918,0.1703,0.5706,-0.7142,0.3556,0.9207,0.8914
0.4621,0.5546,-0.6549,-0.5922,0.4871,0.8396,0.7299,0.6497,1.0339,1.1470
0.8709,1.2448,0.3223,-0.1063,1.4730,1.5641,-0.4994,0.3125,1.6232,1.6087
0.2090,1.3385,0.7566,0.4312,0.7689,0.9780,0.9887,1.0912,1.0631,0.8472
-0.0279,1.2508,0.7179,1.0263,0.6181,0.5913,0.9435,0.9095,0.5005,0.1716
-0.1839,0.5417,0.2254,0.6659,0.1513,-0.2816,1.0240,0.1972,0.0581,0.0290
0.3365,0.5477,0.1571,0.5634,0.2678,-0.0256,0.5376,-0.2625,0.3534,0.6274
0.3919,0.7158,0.6004,0.8453,0.3482,0.1148,0.9530,0.1001,0.8104,1.0315
0.6996,1.1422,0.9499,1.2674,0.2850,0.0880,2.3488,0.8304,0.8383,1.0663
0.8064,0.6155,0.6631,1.2657,0.3275,0.2990,0.7873,0.7699,1.1615,1.2180
0.8149,0.3482,0.7881,1.4963,-0.2585,-0.2860,0.1488,0.5683,0.2682,0.9005
0.7339,0.3162,0.6452,0.5820,0.0096,0.5386,-0.1174,-0.4510,-0.2399,0.4364
0.1425,-0.4220,0.2214,-0.3377,-0.2484,0.2947,-0.3589,-0.2022,-0.6354,-0.2866
-0.3494,-0.5692,0.0183,-0.7006,-0.4510,-0.4298,-0.2941,-1.3974,-0.9050,-1.0030
-1.2630,-1.1504,-0.8162,-1.0826,-0.1548,-1.0594,-0.9458,-1.6898,-0.6961,-0.9531
-1.1370,-1.5316,-0.3824,-0.2304,0.0162,-1.1222,0.1808,-1.2770,-1.2760,-1.1556
-0.3273,-0.7385,-0.0323,-0.2085,0.5101,-0.2643,-0.0823,-0.9447,-1.1262,-0.7320
-0.2181,-0.7558,0.2127,0.3484,0.2251,0.1068,-0.4211,0.0237,-0.9336,-0.6177
0.1692,-0.1264,0.9490,1.0604,0.1332,0.2673,0.0702,-0.6171,-0.2116,0.0134
-0.1913,-0.4278,1.0269,0.9226,-0.0389,-0.1520,-0.2124,0.4974,-0.3415,-0.1566
-0.3498,-0.7243,1.1832,1.4278,-0.2835,0.0632,-0.1181,0.6133,-1.0753,-0.6905
0.0530,-0.5102,0.6702,1.1092,-0.2903,0.3735,0.2702,0.4044,-1.1468,-0.8599
-0.1140,-0.0985,-0.1673,0.5715,-0.1871,0.4832,-0.1313,0.4586,-1.2441,-1.2990
0.3507,0.6721,0.5739,0.5846,0.3406,0.6374,1.1260,0.3217,-0.7932,-0.6469
0.5532,1.0984,1.1029,0.1583,0.6445,0.1161,-0.7478,0.4279,0.3505,0.4852
0.2506,0.7636,1.1627,-0.1933,0.8911,0.0933,-0.4183,0.0838,1.0838,0.9141
-0.0375,-0.0468,0.2604,-0.8008,0.1051,-0.3683,-1.1107,-0.6309,0.9406,0.6863
-0.4649,-0.4985,-0.3051,-0.8397,-0.0141,0.0577,-0.6974,-0.9506,0.1997,-0.2458
-0.5519,-0.1318,-0.4784,-1.1928,-0.1356,-0.1296,-0.8634,-0.2220,-0.0859,-0.6548
-0.4728,0.0445,-0.0890,-1.0752,0.0612,0.0291,-0.1169,-0.4161,-0.1096,-0.6614
-0.3040,0.2247,-0.3421,-1.1861,0.2294,-0.2713,0.5113,-1.5763,0.1271,-0.3913
-0.5919,-0.2140,-1.0281,-1.3319,0.0079,-0.2482,-0.3331,-1.3747,-0.2481,-0.7579
-0.4577,-0.1212,-1.6578,-1.9679,0.5497,0.3314,-1.8275,-1.8038,-0.2521,-1.0533
-0.5923,-0.1208,-1.8167,-2.1868,0.4640,0.5220,-2.0081,-0.8136,-0.5558,-1.1257
-0.2760,-0.1916,-1.3151,-1.8534,0.3004,0.6142,-1.7678,-0.4049,-0.3064,-0.8364
-0.2450,-0.4939,-1.1930,-1.6296,-0.6024,0.0385,-1.2497,-0.8859,-0.1900,-0.6048
-0.0489,-0.3645,-1.0442,-1.3268,-0.7502,0.1635,-0.8586,-0.2639,0.1368,-0.1412
0.1346,0.0285,-0.6148,-1.0332,-0.2804,0.6920,0.1587,-0.1301,0.7327,0.4049
0.1343,0.3479,0.1370,0.0209,0.0515,0.5549,0.2722,0.1416,0.6934,0.5656
0.2611,0.3803,0.4147,0.1537,-0.2389,0.1363,0.6228,0.7700,0.8850,1.0309
0.1804,-0.0334,0.0112,0.2457,-0.6693,-0.5326,-0.3672,0.7843,0.6781,0.7676
0.4566,0.1876,-0.1450,-0.2880,-0.2376,-0.0596,0.2863,0.3960,1.0237,0.9866
0.4746,0.0629,-0.3849,-0.9657,-0.1563,0.2410,-0.9310,0.1830,0.7477,0.7536
0.3123,-0.2132,-0.7705,-1.1818,-0.2554,0.2519,-0.0941,0.4728,0.3903,0.4526
-0.3645,-0.1653,-0.8486,-1.1590,-0.6580,-0.1314,0.2192,0.3495,0.3097,0.1698
-0.8850,-0.0033,-0.5173,-1.0038,-0.7608,-0.7738,1.0621,0.3396,-0.0853,-0.1970
-0.9573,-0.1546,-0.2595,-0.6442,-0.1152,-1.0359,0.1886,0.1429,-0.1846,-0.0036
-0.4114,-0.4717,0.6468,0.0569,-0.2954,-1.0220,0.7994,0.1360,-0.3206,-0.0108
0.2214,-0.3947,1.0783,0.9153,-0.0270,-0.1052,1.2999,-0.1226,-0.0389,0.2538
-0.0196,-0.4889,1.0733,1.2575,-0.1317,-0.2072,0.8699,0.1018,-0.8729,-0.7253
-0.2625,-0.3601,0.1389,0.5582,0.5098,0.0340,-0.7436,0.0900,-0.9387,-0.9330
-0.7758,-0.2488,-0.3459,0.1702,0.1734,-0.3034,0.1809,0.0954,-0.8614,-0.7921
-0.1289,0.0251,0.0466,0.5082,0.3278,-0.1992,0.5924,-0.5023,-0.2584,-0.2476
0.5431,0.5847,0.5993,0.5521,0.1321,-0.6606,-0.1352,-0.0704,0.3295,0.5716
0.4740,0.2510,1.1391,1.1642,0.3317,-0.0685,0.0080,0.9394,0.4329,0.4924
0.1809,-0.2625,0.6310,0.5974,0.5337,0.1675,0.4437,-0.1796,0.0410,0.1040
