A1_L,A1_R,A2_L,A2_R,PCG_L
-0.7166,-0.9085,-0.7085,0.1482,-0.8577
-0.2224,-0.6436,-0.4447,-0.1508,-0.2305
-0.2759,-1.0627,-0.4602,-0.1548,-0.4579
-0.6540,-0.5288,-0.4999,0.0448,0.2998
-0.6956,-0.6973,-0.8611,0.0346,0.6776
0.4224,0.0782,-0.0663,0.3786,0.2981
0.2259,-0.0037,-0.0299,-0.0060,0.0945
-0.6437,-0.1608,-1.2325,-0.1976,0.0769
0.0484,0.4315,-0.6330,0.1154,0.1009
0.5057,0.1805,-0.2560,-0.0298,-0.7449
-0.1553,-0.0838,-0.2232,-0.5724,-0.0063
-0.0865,-0.0086,-0.6214,-0.6285,0.5472
-0.0227,0.2075,-0.6060,-0.3942,0.1995
0.0774,-0.0627,-0.0737,-0.4824,-0.8567
-0.2159,-0.2847,0.0747,-0.6719,-0.3274
-0.4538,-0.3612,-0.1597,-0.9519,0.0414
-0.6061,-0.3655,-0.6946,-0.6058,-0.3292
-0.5991,-0.2635,-0.5005,-0.6476,0.5706
0.9204,0.2120,-0.2331,-0.2837,0.1588
0.3107,0.2696,-0.0737,-0.4807,0.0433
-0.2440,-0.0450,-0.1358,-0.4524,-1.0550
-0.5236,-0.2605,-0.1397,-0.8406,-0.3784
-0.5122,-0.5975,-0.5606,-1.1096,-0.7401
0.1967,-0.2811,-0.4339,-0.5863,1.0450
0.2194,-0.1290,-0.3647,-0.3015,-0.0363
-0.4901,-0.2761,-0.2678,-0.7097,0.5439
-0.9876,-0.6262,-0.3779,-0.5928,-0.8982
-0.2275,-0.4616,1.0055,0.2660,-0.8505
-0.0477,-0.2947,0.7012,0.3042,0.0318
-0.1827,-0.5263,-0.1595,-0.0358,-0.5756
-0.4671,-0.4420,-0.7366,-0.6198,-0.2036
-0.6636,-0.5734,-0.5349,0.1246,-1.0948
-0.1966,-0.5563,-0.0697,0.5086,-0.7292
0.1882,0.0840,-0.1866,0.3968,-0.1551
0.9164,0.6997,0.3874,0.6567,-0.4297
0.2644,0.5087,-0.0999,0.1906,-0.4586
0.1745,-0.1735,0.8580,0.7909,-0.2650
-0.3506,-0.2074,1.2685,0.5222,0.2982
-0.5387,-0.2639,1.0498,0.0872,1.0959
-0.7054,-0.4706,1.0048,0.1932,1.5180
-0.8093,-0.6151,1.2707,0.3590,0.7549
0.0566,-0.0615,1.4262,0.8323,1.6128
-0.3873,-0.3095,-0.0546,0.1774,0.5013
-0.1178,-0.5654,0.4788,0.4930,-0.5853
0.0949,-0.2416,0.4564,0.1696,-0.0071
-0.0981,0.0862,-0.5849,-0.0996,0.9951
0.1538,0.1577,-0.4657,-0.3175,0.6151
0.0398,0.7762,-0.1915,0.0554,-0.1300
0.2719,0.9401,0.4005,0.0541,-0.1143
0.3579,0.8593,0.4955,0.2592,0.1640
0.6907,0.9632,1.1588,0.6099,0.3992
0.3077,0.3380,0.8455,0.4845,0.9266
-0.1480,0.0091,0.7142,0.0288,0.6030
-0.2219,-0.2531,1.0098,0.0412,1.4371
0.3671,-0.0404,1.4669,0.0509,0.4802
0.3369,-0.0018,1.4096,0.1157,1.1600
-0.0567,0.1306,1.4042,-0.0052,1.0563
0.3323,-0.0345,1.1262,0.2302,1.1557
0.7517,0.8035,1.0845,0.8842,0.1843
0.3772,0.7944,0.7131,0.2993,-0.1951
0.4489,-0.1058,0.0402,-0.1178,-1.1125
-0.0081,-0.3703,-0.6177,-0.3926,-0.3321
-0.1142,-0.2265,-1.0817,-0.8981,-0.2006
0.2713,0.2624,-0.7259,-0.3259,-0.0048
1.0671,0.5422,-0.6040,-0.0701,-0.4058
-0.0211,-0.2474,-0.7165,-0.5965,-0.6208
-0.2185,-0.3563,-0.8940,-0.6094,0.3954
0.5091,0.4625,-0.7175,0.4089,-0.2105
0.3461,0.4134,0.2394,0.5131,-0.0360
-0.0377,0.4802,0.3051,0.3291,-1.2854
0.0071,0.2289,-0.1788,0.2454,0.8141
-0.0630,0.0676,-0.1444,0.4077,-0.0459
0.0591,0.4816,-0.4562,0.3255,0.0834
-0.3287,0.1121,-0.4103,-0.0499,-0.6139
-0.1418,-0.0047,-0.8292,0.1775,0.3940
-0.2246,0.2734,-0.5434,0.2023,-0.4843
-0.0992,0.0200,0.1633,0.2274,-0.3269
-0.5725,-0.7332,0.3572,-0.2456,0.1392
-1.5550,-0.5437,0.1811,-0.2841,0.0304
-0.6978,-0.3754,0.1576,-0.1157,0.1365
-0.0361,0.1505,0.8032,0.2512,-0.2821
0.0569,0.4352,0.7708,0.4804,0.1475
-0.4952,0.0610,0.3315,0.2442,-0.6216
-0.8804,-0.4018,0.0583,-0.1113,-0.2257
-0.8461,-0.4348,0.4633,0.1979,-0.0408
0.4484,0.4562,0.8653,0.6275,0.0153
0.6542,0.7643,0.2957,0.1678,0.5017
-0.1194,0.5766,0.3313,0.4341,-0.2371
-0.2096,0.3623,0.5185,-0.1805,0.6678
