A1_L,A1_R,A2_L,A2_R,PCG_L
0.1604,0.0458,-0.6087,-0.7789,-0.7936
0.4017,0.0447,-0.6088,-0.3895,-0.7311
0.0619,-0.0503,-0.0580,-0.2579,-0.9653
-0.3229,-0.0489,0.0157,0.1445,-1.5430
-0.5201,-0.2257,0.1027,0.4630,-0.8679
0.1670,0.0597,0.3519,0.7188,-0.0804
0.1319,-0.1402,0.2301,0.5313,-0.1107
-0.2762,-0.6554,0.0784,0.0981,-0.8685
0.0642,-0.3200,-0.1928,-0.1513,-1.1179
0.1313,-0.1865,-0.0313,-0.1615,-0.2537
-0.4486,-0.1556,-1.0562,-0.6663,-0.1113
-0.5600,-0.2429,-0.8253,-0.6750,-0.3559
-0.4956,-0.0525,-0.6425,-0.1766,-0.3378
-0.3887,-0.4025,-0.4643,-0.6728,-0.1809
0.2559,-0.0174,-0.1650,-0.2641,-0.1889
0.2241,0.0670,-0.0545,-0.0930,-0.2652
-0.1520,-0.1758,-0.4958,-0.0111,-0.4610
-0.4881,-0.7850,-0.9620,-0.6029,-0.5165
-0.6651,-0.4950,-0.6696,-0.2143,-0.6045
0.0797,0.3393,-0.3522,0.5467,-0.1176
0.5440,0.5924,0.2609,0.7435,0.1669
0.3970,0.5967,-0.0057,0.3034,0.1455
-0.1833,0.2414,-0.9693,-0.1732,-0.1435
0.2752,0.3263,-0.3034,0.0156,-0.3397
0.4832,0.2489,-0.5481,-0.4176,-0.5400
0.2705,0.3368,-0.6288,-0.6315,-0.1409
-0.1115,0.1084,-0.8213,-0.6182,-0.0500
-0.2484,0.1957,-0.6031,-0.3990,-0.0688
0.3720,0.3774,-0.2166,0.0337,-0.3756
0.1054,0.1221,-0.5997,-0.0603,0.3301
-0.0220,0.0481,-0.4956,-0.1076,0.2097
-0.2231,0.1100,-0.9309,-0.0853,-0.2110
-0.1972,-0.0250,-0.5114,-0.1136,0.3874
0.8573,0.7190,0.2680,0.2069,0.5923
0.9348,0.6881,0.1020,0.2235,0.1678
0.6769,0.6604,0.1074,0.0768,-0.3798
-0.0057,-0.2238,-0.1473,-0.5586,-0.2707
-1.0430,-1.4149,0.2117,-0.8499,-1.2952
-0.0071,-0.8619,1.1417,-0.6886,-0.3610
0.1612,0.5759,1.4458,0.8427,0.4771
0.4270,0.7128,1.4265,1.2352,0.8696
0.1912,0.0226,1.3418,0.8372,1.0479
-0.1336,-0.4325,1.1837,0.7411,0.6636
0.5573,0.0411,1.3405,1.0424,0.1250
0.6188,0.3513,1.0990,0.7538,0.4146
