A1_L,A1_R,A2_L,A2_R,PCG_L
0.1577,0.0343,-0.9884,-0.2239,-0.2591
-0.7485,-0.3260,-0.9950,-0.8034,-0.0390
-0.1599,0.1204,-0.2253,-0.1451,0.7661
0.4035,0.6317,-0.1447,0.4639,-0.1374
0.0734,0.4077,0.8803,0.4945,0.2467
0.0549,0.1404,0.8181,0.5130,-0.5255
0.4584,0.5888,0.6087,0.4797,-0.0602
-0.0177,0.3215,-0.2962,-0.0252,0.6059
-0.2435,0.1105,-0.7731,-0.1047,-0.3180
0.4329,0.4115,0.2505,0.2647,0.2355
-0.0749,0.0846,0.3895,0.2330,0.3678
-0.3414,-0.1352,0.0311,0.0846,-0.2675
0.2451,0.2480,0.4640,0.4048,0.4370
-0.3954,-0.3813,-0.2396,0.1384,0.2203
0.0580,0.0960,-0.0947,-0.1455,-0.4946
0.5794,0.3185,0.5755,0.5121,0.2642
-0.1359,-0.1799,0.1931,0.2204,-0.5548
-0.1580,-0.1214,0.4333,-0.1765,-0.0739
0.3164,-0.0861,0.2786,-0.0633,-0.3260
0.0318,0.0777,0.0288,-0.4371,-0.3936
-0.0276,-0.0612,0.3116,0.0477,0.3447
-0.3411,-0.1505,-0.4518,-0.5774,-0.1887
-0.4179,-0.1703,0.2719,-0.4042,0.1673
0.2047,-0.3330,-0.0016,0.3824,-0.4267
0.3116,0.0206,0.1325,-0.0722,-0.5798
0.1895,-0.0145,0.2040,-0.0518,-0.1810
-0.4574,-0.2589,-0.8418,-0.1680,-0.8460
-0.4687,-0.1816,-0.0576,-0.4434,-0.5046
-0.2544,-0.5721,0.3361,-0.3217,-0.0370
-0.3591,-0.1915,-0.1743,-0.6279,-0.6596
-0.0582,0.0567,0.0940,-0.4473,-0.8214
-0.3589,-0.2879,-0.2308,-0.1704,-0.8410
-0.6331,-0.4667,-0.3246,-0.3254,-0.5307
0.0373,-0.1278,0.5950,0.1187,-0.1919
0.5993,0.1412,0.2395,0.6782,-0.7700
0.8983,0.6130,0.4453,0.3320,-0.5692
0.8354,0.4303,0.7279,0.2637,0.5297
-0.0441,-0.1416,0.1132,0.1595,-0.2629
0.6611,0.2799,0.6877,0.5422,-0.6136
0.6394,0.4836,0.5759,0.7112,-0.8010
0.5149,0.4201,0.4722,0.2540,-0.8638
0.3159,0.1819,-0.1482,0.0567,0.0249
-0.0645,-0.0777,-0.5058,0.1919,-0.2762
-0.0143,-0.2247,-0.0427,0.1559,0.4884
0.4619,-1.3451,0.0225,-1.0687,0.2364
0.3800,-1.6259,-0.1127,-1.7175,0.0926
0.3420,0.1999,0.0491,-0.6052,1.0842
-0.0063,0.3417,-0.9017,-0.5561,0.1962
0.5702,0.1500,-0.3832,-0.7203,0.7695
1.1925,0.6895,-0.3010,-0.4548,1.2153
0.4507,0.2786,-1.1962,-0.9626,1.0394
0.2492,0.1161,-0.4456,-0.6564,1.2752
0.1892,-0.0402,0.0114,0.0371,0.4737
-0.0362,-0.4807,0.0212,0.0476,0.2388
-0.4669,-0.2470,0.2824,0.2508,0.4633
-1.0128,-0.6798,-0.2415,-0.1811,-0.2394
-0.5375,-0.5960,-0.2121,-0.0289,-0.5384
-0.3016,-0.4499,-0.0071,0.0138,0.6793
