A1_L,A1_R,A2_L,A2_R,PCG_L
-0.1047,-0.3366,-0.3785,-0.7958,0.0708
0.2007,0.2295,-0.3944,-0.4225,0.2708
0.0198,0.2047,-0.2229,0.0451,-0.3306
0.1776,0.3496,0.1994,0.4535,-0.2495
-0.0981,0.2444,0.1548,0.6497,0.0511
-0.3590,0.2678,-0.5455,0.5500,0.6704
0.1130,0.1586,-0.1785,0.3382,0.2514
-0.2078,-0.0314,0.0260,0.3369,-0.1178
-0.4458,-0.0036,-0.4641,0.0491,-0.0854
-0.3487,-0.1037,-0.1086,0.0325,0.0894
-0.2854,-0.3602,-0.2232,-0.3794,-0.1570
-0.2042,-0.1285,-0.2194,0.1059,-0.1352
0.3482,0.1642,0.1022,0.0309,-0.0206
0.2999,0.4117,0.2036,0.2704,0.1212
0.3627,0.3703,0.2653,-0.0026,0.4329
-0.1148,-0.1377,0.0704,-0.1690,0.2627
-0.4247,-0.4264,-0.0027,-0.5776,0.1660
-0.2533,-0.0928,-0.0176,-0.4919,0.1276
-0.0727,0.2086,0.0016,-0.0827,-0.1062
-0.2084,-0.0200,-0.3133,-0.3778,-0.3697
0.2868,0.3491,0.2542,0.3098,-0.1305
0.2149,0.2900,0.3186,0.0838,0.1586
0.0148,-0.1190,0.3008,-0.0957,0.0282
0.1658,0.0377,0.2663,0.0871,-0.0551
0.5795,0.3895,0.3350,0.2907,-0.1380
0.6464,0.4789,0.4216,0.4683,0.1454
0.6639,0.5654,0.5667,0.5510,0.2408
0.6699,0.5940,0.8263,0.7227,0.4870
0.6146,0.4332,0.9456,0.5743,0.6101
0.2675,0.1613,0.7146,0.4304,0.3976
0.2290,0.1979,0.4450,0.2936,-0.2655
0.3176,0.2799,0.3836,0.3671,-0.3979
0.3399,0.3778,0.8076,0.5050,0.0821
0.3085,0.5741,0.6114,0.6262,-0.0001
0.5526,0.6324,0.5090,0.8401,0.1629
0.1180,0.2535,-0.3792,0.1616,-0.0519
0.0066,0.0721,-0.1756,0.2288,-0.1314
0.1573,-0.0741,-0.4380,-0.0293,0.5105
-0.3547,-0.4103,-0.4317,-0.2805,0.6176
-0.9020,-1.0354,-0.9478,-1.0312,-0.5800
-0.5806,-1.0467,-0.8082,-1.0819,-1.1059
-0.4586,-1.1260,-0.8661,-1.2911,-0.2408
-0.4464,-0.8461,-0.6480,-0.6199,-0.5108
-0.3259,-0.3837,-0.1775,-0.2619,-0.4374
-0.2631,-0.4999,-0.1253,-0.2869,-0.5548
-0.7117,-0.8248,-0.3674,-0.6295,-0.7531
-0.9708,-1.0128,-0.6603,-1.1642,-0.5650
-0.6399,-0.8808,-0.3872,-0.9720,-0.5024
-0.3975,-0.7422,-0.5344,-0.9256,-0.6921
-0.4653,-0.6295,-0.4596,-0.5842,-0.9720
0.1544,0.1315,-0.0678,-0.0159,-0.7523
0.1205,0.1145,0.0132,-0.1197,-0.4487
0.2891,0.4686,0.2252,0.2614,0.0688
0.6592,0.7159,0.7884,0.6072,0.2458
0.6377,0.6417,0.6560,0.4697,0.5196
0.4175,0.4642,0.3759,0.3150,0.2990
0.5805,0.5093,0.8126,0.8158,0.5220
0.5331,0.2722,0.2369,0.0079,0.7079
0.4039,-0.0179,0.3689,0.4714,0.4457
0.3720,-0.2146,0.7987,0.1294,-0.0144
0.1193,-0.6173,0.5943,-0.3848,0.0831
0.0043,-0.1507,0.7885,0.3556,0.4546
0.0899,-0.2202,0.7810,0.2535,0.7976
0.0929,-0.5967,0.7815,-0.1644,0.4359
0.2546,-0.1507,0.7156,0.3133,0.4589
0.2292,-0.2667,0.4180,0.0007,0.4146
-0.7158,-0.7090,-0.1367,-0.5809,0.0501
0.0088,-0.4315,0.1576,-0.3660,0.2574
-0.0789,-0.2437,0.3279,-0.1198,-0.4224
0.5189,-0.0020,0.2443,-0.2563,0.0781
-0.1776,-0.0700,0.0514,-0.0256,0.3696
0.3873,0.1314,0.8647,0.3774,0.0810
0.3540,0.4325,0.4701,0.3657,0.2285
0.2715,0.2638,0.4684,0.3885,0.4830
0.2819,0.3189,0.5878,0.3977,0.4917
0.1574,0.4410,0.5592,0.4425,0.6106
0.4621,0.8288,0.8814,1.1566,0.6283
0.6156,0.6752,0.9785,0.7006,0.5391
0.6140,0.5930,0.7569,0.2565,0.7895
0.3543,0.5529,0.4848,0.5386,0.9314
