A1_L,A1_R,A2_L,A2_R,PCG_L
1.1312,0.5435,0.3586,-0.4838,0.4078
-0.3027,-0.3970,0.2312,-0.1221,-0.1837
-1.1201,-0.5873,-0.2977,-0.4500,-0.5225
-0.7035,-1.1493,-0.6889,-1.1466,-0.7181
-0.4236,-0.2415,-0.0090,0.4667,0.0690
-0.3535,0.1831,0.4158,0.6519,0.2047
-0.4574,-0.3324,0.1602,0.0533,0.4912
-0.2468,0.0987,0.2810,0.6851,-0.1050
0.0284,0.4923,0.3748,0.5529,-0.2470
-0.5386,0.1053,0.1730,0.4607,-0.4622
-0.3694,-0.0018,0.2915,0.6253,0.2508
0.0433,0.6172,0.4363,0.5908,0.1933
0.0982,0.4706,0.4204,0.3940,-0.2911
0.3799,0.4622,0.4727,0.9395,0.2730
-0.1752,0.4413,0.2133,0.3441,0.2329
-0.5140,-0.9619,-0.7056,-0.5857,-0.3435
0.6851,-0.3365,0.6764,0.2991,0.0213
0.9247,0.5211,0.6817,0.5374,0.5517
0.7764,0.4032,0.2789,0.0925,0.1336
0.4281,0.3458,0.3150,-0.4022,0.3909
0.2401,-0.2249,0.1325,-0.6501,0.0387
-0.1626,-0.0049,-0.2320,-0.1839,0.2776
-0.7168,-0.7287,-1.0396,-1.2886,-1.2222
-0.2559,-0.8317,-1.1456,-1.0587,-0.8075
-0.0431,-0.6354,-0.9978,-0.4502,0.0190
-0.8309,-1.0836,-1.4358,-1.1292,-1.0336
-0.1551,-0.6330,-0.7298,-0.6081,-0.5500
-0.1874,-0.0533,-0.5023,-0.0584,-0.2890
-0.6345,-0.7058,-0.9726,-0.0756,-0.1805
-0.4162,-0.1182,-0.4351,-0.0695,-0.0554
0.1763,0.5094,-0.2201,0.0591,0.3486
0.0038,-0.1563,-0.2481,-0.5257,0.0296
-0.1627,-0.4709,-0.2331,-0.1815,0.0596
-0.5607,-0.4394,-0.9998,-1.0161,0.4792
-0.6649,-0.6350,-0.7210,-0.9159,-0.6287
-0.0541,0.0414,-0.1915,-0.0384,0.0147
-0.1401,-0.2354,-0.5962,-0.6538,0.0213
-0.7918,-0.9393,-0.7752,-0.9112,-0.0553
-0.6501,0.0088,-0.4025,-0.2406,0.2802
-0.0557,0.1854,-0.3926,-0.4585,0.3037
-0.1453,-0.0799,0.1021,-0.3791,0.9870
-0.2257,-0.0960,0.2044,-0.1541,0.6747
-0.3617,0.0495,0.2527,-0.1106,0.5331
0.2481,-0.0031,0.3954,-0.0189,0.7702
0.4266,0.3994,0.2626,0.2382,0.3974
0.4714,0.2797,0.6990,0.4074,0.8742
0.5402,0.6863,0.7739,0.5455,1.0052
0.5910,0.4757,0.7799,0.1872,0.7326
1.3829,1.0373,0.5888,0.3805,0.4987
1.0411,0.8011,0.6037,0.5177,-0.1127
0.8365,0.6437,0.7512,0.4485,-0.8928
0.7435,0.6895,0.3373,0.1120,-0.2776
0.8531,0.3553,0.1316,-0.3610,-1.2670
1.1582,0.8613,0.3589,0.4444,-1.5015
0.2048,0.2966,-0.2544,0.2851,-1.1803
-0.4899,-0.1999,-0.5664,0.1470,-0.8946
-0.6924,-0.3959,-0.3898,-0.1762,-0.8830
