A1_L,A1_R,A2_L,A2_R,PCG_L
0.3337,0.3977,-0.3155,0.1830,-0.9537
0.3223,-0.0164,0.1221,-0.0024,-0.7705
0.3773,-0.0210,0.4060,0.4656,-0.6270
0.2922,0.0539,0.2008,-0.1744,-0.2711
-0.2046,-0.2430,-0.2994,-0.5120,-0.4048
-0.5332,-0.4225,-0.7677,-0.0174,-0.0036
-0.0510,-0.4483,0.0500,-0.1849,-0.2722
-0.4435,-0.2374,0.1484,-0.4992,0.4399
-0.2063,-0.1605,-0.0705,-0.4114,0.3757
-0.2928,-0.2050,0.0813,-0.4872,0.3400
-0.0457,0.1391,-0.0425,0.1334,0.1251
0.2943,0.2012,-0.0254,0.3341,0.2120
0.4935,0.5004,0.3392,0.5345,0.1529
0.0808,0.0680,0.1417,0.3712,0.2411
-0.0591,-0.3986,0.1904,-0.1238,-0.2828
-0.0055,-0.1310,0.5658,0.1312,0.2537
-0.4112,-0.1437,-0.2262,-0.2060,0.3737
-0.1469,-0.1554,-0.3111,-0.3536,0.4396
0.2374,0.4165,0.1334,0.3038,0.6781
0.4431,0.9725,0.2158,0.6810,0.7916
0.6344,0.8022,0.0907,0.1581,0.7996
0.3494,0.7214,0.0230,0.2953,0.7088
-0.1049,0.3341,-0.2816,-0.3112,0.2111
0.3366,0.5173,-0.1514,-0.0040,0.1051
0.1592,0.6057,-0.1201,0.1572,0.1603
-0.3801,0.2663,-0.4753,-0.0614,-0.4786
-0.4000,-0.0533,-0.3450,-0.0626,-0.3431
-0.4379,0.1651,-0.3227,0.0505,0.3717
-0.2632,-0.2233,-0.5058,-0.1291,-0.0123
-0.2468,-0.0163,-0.4707,-0.2232,0.0357
-0.3234,-0.1012,-0.6486,-0.5409,-0.2150
-0.4964,-0.6568,-0.2868,-0.5881,-0.9566
-0.7054,-0.5291,-0.4924,-0.3462,-0.2368
-0.4238,-0.3268,-0.8387,-0.2206,-0.0270
-0.0133,0.0474,-0.0785,0.0368,-0.2300
0.1048,0.0950,0.1818,0.2045,0.1232
-0.2955,-0.0563,-0.5646,-0.4584,-0.2800
-0.1250,-0.0553,-0.1101,-0.0791,-0.7602
0.0656,0.1211,0.0670,-0.0290,-0.3801
-0.5829,-0.4695,-0.5902,-0.5433,-0.1168
-0.7344,-0.9913,-0.2427,-0.5514,-0.6656
-0.4575,-0.4264,-0.1826,-0.1718,-0.3491
-0.4991,-0.2421,-0.6801,-0.0930,-0.0634
-0.2473,-0.3520,-0.0029,-0.1324,-0.5989
0.0116,-0.4205,0.2943,-0.2837,-0.3817
-0.2160,-0.4200,-0.1143,-0.4150,-0.2385
-0.2798,-0.5667,0.0244,-0.3852,-0.5948
-0.2536,-0.3122,-0.0697,-0.1304,-0.4653
-0.1209,-0.2517,0.2590,0.2122,-0.2425
-0.1450,-0.2740,0.0566,0.0060,-0.3272
0.0446,0.0109,0.3898,0.3295,-0.3302
-0.1041,-0.0134,0.2142,-0.1530,0.0214
-0.5213,-0.8142,-0.0765,-0.4477,-0.0698
-0.8593,-0.9648,-0.2464,-0.6448,-0.2671
-0.4541,-0.7584,-0.3781,-0.4653,-0.1323
0.0359,-0.3867,0.1429,0.0692,0.1518
-0.2848,-0.2532,0.0421,-0.2686,0.2111
0.2756,-0.2517,0.6960,0.0769,-0.1161
0.1961,-0.2719,0.5129,0.1009,0.0853
0.0259,-0.2912,0.1077,0.0086,-0.2268
0.0558,-0.2763,0.0157,-0.0299,-0.0787
0.1226,0.0205,0.0540,-0.1918,-0.1745
0.2303,-0.1419,-0.1894,-0.0695,-0.3224
0.1354,-0.0799,0.0022,-0.4595,-0.3519
0.2933,0.0976,0.3366,-0.0992,-0.3115
0.5152,0.4051,0.1934,0.0711,-0.2628
0.9652,0.6911,0.6919,0.3149,-0.1709
0.8021,0.7599,0.7692,0.4889,0.2371
0.6942,0.3092,1.0325,0.4266,0.0755
0.5924,0.0396,1.3114,0.5992,0.3555
0.3567,0.1358,0.6185,0.4250,0.9658
0.3340,0.2181,0.7096,0.7234,0.6428
0.9043,0.6306,0.6103,0.9895,0.8727
0.9070,0.7368,0.3926,0.5941,0.1573
0.9553,0.4566,0.0845,0.4188,-0.0485
0.9452,0.7850,0.4421,0.5370,-0.1912
0.7810,0.4695,0.5583,0.5162,0.0673
0.6113,0.2219,0.8010,0.2561,-0.4884
0.7032,0.4701,0.7173,0.8756,0.2003
0.9151,0.5695,0.9009,1.2670,0.1453
0.7125,0.5777,0.3615,0.7094,0.1912
0.3457,0.1731,0.0236,0.3437,0.2522
-0.0223,-0.2499,-0.1966,-0.4054,0.3239
-0.0162,-0.3479,0.0986,0.0235,0.0919
-0.2374,-0.0934,-0.1720,0.1985,0.3053
-0.2527,-0.0731,-0.3644,-0.0250,-0.0101
-0.5348,0.0009,-0.3336,-0.0549,0.2045
-0.0086,0.1122,0.1148,0.2821,0.0543
0.5242,0.3400,0.5019,0.6694,0.7853
0.6411,0.4764,0.3947,0.6299,0.6133
0.3537,-0.1429,0.0469,-0.0228,0.1002
0.2052,-0.2987,0.3542,0.2918,-0.0386
0.2145,0.1727,0.1445,0.3827,-0.0707
0.4410,0.7682,0.0844,0.5186,0.2473
0.6980,0.8738,0.4312,0.4332,0.2831
0.5452,0.7734,-0.1572,-0.1088,0.2874
0.1236,0.1624,-0.5206,-0.3238,-0.2333
0.1688,0.0601,0.0689,0.2680,-0.2717
-0.1014,0.0344,0.1517,0.1881,0.2776
0.0724,0.0613,0.2065,0.2645,0.4459
-0.6111,-0.1532,-0.4857,-0.1376,0.1002
-0.4597,-0.2450,-0.1616,-0.0125,0.0677
0.0196,-0.2910,0.4151,0.1396,0.2668
-0.1244,-0.2068,-0.1920,-0.1439,0.3622
-0.4406,0.0595,-0.8086,-0.8700,-1.0475
-0.0967,0.3977,-0.7205,-0.4044,-0.9093
0.1008,0.8186,-0.9454,-0.3885,-0.8043
0.5212,1.0739,-0.2682,-0.0571,-0.9098
0.4819,1.1777,-0.4084,0.1190,-0.5909
0.0652,0.7614,-0.3282,-0.1532,-0.9700
-0.3422,0.3084,-0.4458,-0.1990,-0.4242
-0.5753,-0.3018,-0.2373,-0.0940,-0.4833
-0.2943,-0.2842,0.1526,-0.4683,0.2100
-0.5566,-0.4103,-0.1602,-0.4004,0.4574
-0.8375,-1.0471,-0.3695,-0.7768,0.2330
-0.4955,-0.5525,0.1175,-0.1769,0.2080
-0.6308,-0.4206,-0.2464,-0.1465,0.8982
-0.6823,-0.8484,-0.2902,-0.1113,0.2175
-0.9967,-0.6440,-0.6392,-0.1737,-0.0015
-0.4101,-0.1771,-1.0528,-0.4161,-0.6714
-0.0209,0.1422,-0.3447,-0.1583,-0.6089
-0.0156,0.6178,-0.0787,0.1023,-0.3617
-0.4398,0.0453,-0.5248,-0.1718,-0.3528
-0.4054,-0.4370,-0.2057,-0.3536,-0.3526
-0.5421,-0.3991,-0.4499,-0.2850,-0.1213
-0.4150,-0.4752,-0.6048,-0.5151,-0.3893
-0.2250,-0.2510,-0.3369,-0.0515,-0.7214
0.1752,-0.0829,-0.1868,-0.0868,-0.2166
0.3069,-0.2282,0.2449,0.4615,0.3668
0.1213,-0.1067,0.2163,0.4140,0.0529
0.4998,-0.0677,-0.1824,0.4329,-0.3936
0.6723,0.2049,-0.3024,0.2597,-0.3904
0.7596,0.5839,-0.1960,-0.0928,-0.1224
0.6905,0.4609,-0.0693,0.0173,-0.0090
0.3953,0.3898,0.2973,0.2682,0.3635
0.3610,-0.1313,0.5786,0.4880,0.4427
0.1416,-0.3651,0.5750,0.1811,0.7697
-0.5427,-0.7359,-0.4014,-0.4744,0.7116
-0.0957,-0.4044,0.2997,-0.2293,0.6873
0.4795,0.0592,0.5044,0.2571,1.0799
0.0681,-0.0634,0.1906,-0.1969,0.4058
-0.2664,-0.2633,-0.1113,-0.0515,0.1388
0.1065,-0.1101,0.1989,0.1008,0.2144
0.3498,0.2100,0.6534,0.3587,0.3743
0.1850,0.2018,0.7702,0.1391,0.6885
-0.0053,0.0520,0.5409,0.2079,0.5444
0.2727,-0.0421,0.8950,0.4447,0.4200
-0.2367,-0.4544,0.4140,0.0757,0.3602
