A1_L,A1_R,A2_L,A2_R,PCG_L
0.3882,0.7014,0.1717,0.6107,1.2306
0.0570,0.7937,-0.2522,0.4914,0.4042
0.4618,0.5331,0.2750,0.6914,-0.1081
0.4386,0.3804,0.4087,0.6926,-0.0179
0.3549,-0.2258,0.7703,1.0050,-1.0417
0.3828,0.1202,0.1255,0.8787,-0.4781
0.0722,0.0205,-0.1440,0.2191,-0.2428
0.3086,0.2459,0.6751,0.6044,0.0429
0.1801,0.5467,-0.1295,0.1380,-0.2682
-0.6463,-0.3252,-0.7691,-0.8650,-0.5760
-0.3806,-0.4454,-0.5424,-1.0116,-0.6882
-0.7376,-0.7411,-0.2568,-0.2097,-0.3169
0.3910,0.0749,0.3854,0.2101,-0.1164
-0.0634,-0.4582,0.0434,-0.0724,0.0725
0.2808,-0.1751,-0.0212,-0.5740,-0.4248
-0.3575,0.0818,-0.7637,-1.0322,0.0186
-0.3413,0.0192,-0.7904,-0.7266,0.2869
0.1957,0.4702,-0.1328,0.0851,-0.3454
0.8156,0.3358,0.3117,-0.0094,0.0867
0.4880,0.2191,-0.3675,-0.4708,0.8415
-0.7613,-0.5855,-0.9325,-0.7200,0.2534
0.0268,-0.0747,0.4112,-0.1057,0.3959
0.2478,0.0782,0.4230,-0.0737,-0.2109
0.6742,0.4848,-0.3364,-0.0044,-0.4939
1.0029,1.0221,0.2206,0.8492,-0.4816
0.1862,0.4206,0.1899,0.3037,-0.0441
0.0886,0.3688,-0.3130,-0.2042,0.4868
0.3267,0.1814,-0.5468,-0.1430,-0.5751
0.0920,0.5502,-0.1808,0.6448,-1.3895
-0.9630,-0.5452,-0.1723,-0.0320,-0.6681
-0.8991,-0.8894,0.4760,0.5608,0.1889
-0.8199,-0.5289,0.4343,0.7237,-0.5103
0.3700,0.0154,0.5421,0.8130,-1.0552
0.4353,0.0829,-0.0491,0.7274,-0.9109
-0.9218,-0.8718,-0.1985,0.1638,-1.0466
-0.8169,-0.4798,0.0718,0.3164,-0.6063
-0.3721,-0.0614,0.2931,0.5662,-1.0314
-0.0167,0.0704,0.3503,0.3082,-0.1398
-1.0816,-1.2106,-0.5707,-0.6796,0.3405
-0.5235,-0.6869,-0.3019,-0.6984,1.5449
-0.4979,-0.0881,-0.5798,-0.4351,1.5074
-0.5895,-0.4077,-0.1428,-0.2656,1.0327
-0.4672,0.3337,-0.1538,0.1203,1.7897
-0.5008,-0.3759,-0.3181,-0.2174,1.0185
-0.0481,-0.2312,0.0558,0.4278,0.7460
-0.6305,-0.1624,-0.4366,-0.1681,0.0446
-0.3233,0.2975,-0.0887,0.2924,-0.4389
-0.3646,-0.0036,0.5104,0.4748,0.2590
-0.6281,-0.1338,0.4541,0.4227,0.1622
0.2425,0.3486,0.1642,-0.3966,-0.6048
0.0598,-0.0378,-0.3088,-0.5558,-0.5746
-0.1543,0.2033,-0.1526,0.1648,-0.0983
-0.6200,-0.3511,-0.2161,-0.1107,0.4220
0.3783,0.2355,0.2332,0.1012,-0.0729
-0.0703,0.0161,-0.0738,-0.1524,-0.5131
-0.2462,-0.1710,-0.2411,0.3764,0.5801
0.1053,0.1430,-0.1922,-0.0506,0.7031
-0.0123,-0.0162,-0.5762,-0.2465,0.4543
-0.0462,-0.2154,-0.0885,-0.8366,0.3242
-0.8060,-1.2762,-0.3664,-1.2113,1.0938
-0.1056,-0.5359,-0.3765,-0.5935,1.3407
0.1039,0.0994,-0.2771,-0.3320,0.7499
1.1314,0.7428,0.5340,-0.1524,-0.5643
-0.0374,0.0872,-0.2009,-0.4068,-0.0913
-0.1948,-0.3963,-0.5199,-0.6599,0.7690
0.0295,-0.2985,-0.2844,-0.7361,0.4415
0.0343,-0.4892,-0.2367,-0.3007,0.2972
0.0928,0.2298,0.2067,-0.2666,-0.6804
0.1033,-0.0897,0.5703,-0.2945,0.1147
0.5748,0.1389,0.4136,-0.2389,0.2649
0.1964,0.0388,-0.6322,-0.7574,0.4100
0.6364,0.1455,0.0212,-0.4187,-0.0703
0.4224,-0.2549,0.2150,-0.4192,-0.3073
0.1452,-0.2759,0.6438,-0.3743,-0.0555
0.2214,0.0244,-0.0788,-0.3349,0.4025
0.0856,-0.6571,-0.6667,-0.6992,0.2407
0.1724,0.0835,0.3378,0.1079,0.3241
-0.0951,0.2411,0.5267,-0.0846,0.1668
0.6854,0.3080,0.3920,-0.4588,-0.5291
-0.1875,-0.4571,-0.7206,-0.5338,0.0549
-0.7710,-0.7037,-0.6716,-0.5680,-0.2274
-0.2241,0.1074,-0.2532,-0.3237,0.3631
0.2006,0.2717,0.1194,-0.0419,-0.1780
0.0215,-0.0921,-0.1948,-0.1984,0.3451
-0.2908,-0.7509,-0.1905,-0.4589,0.2927
0.2469,-0.1428,-0.2480,-0.2708,0.1996
-0.1409,0.0471,-0.1944,-0.3180,-0.0890
0.4319,0.2248,0.0390,-0.5005,0.4105
-0.3922,-0.1443,-0.6808,-0.6825,0.9294
-0.2124,-0.1182,-0.2808,-0.2812,0.1808
0.1502,0.2615,0.0049,0.2442,0.4025
0.2690,0.0171,-0.0315,0.1154,0.0821
-0.6838,-0.5716,-0.4661,-0.1347,-0.3855
-1.3021,-0.9995,-1.1456,-1.2033,0.0240
-0.7244,-0.8491,-0.3845,-0.4053,-2.0943
0.1630,0.0699,0.2611,0.3717,-2.0405
0.3263,0.8516,0.2021,0.2351,-0.5039
1.2333,1.6750,0.2231,0.5632,0.1747
-0.5672,0.4349,-0.4747,-0.4667,-1.0980
-0.8013,-0.5746,-0.8447,-0.4694,-1.6670
-0.6565,-0.1578,-1.0056,-0.7995,-1.3843
-0.4923,-0.2604,-1.0200,-0.8354,-1.5992
-0.2759,-0.2046,-0.9772,-0.5855,-1.4024
-0.4201,-0.3414,-0.2951,-0.2329,-1.2585
-0.5165,-0.0663,-0.0558,0.1838,-0.6682
-0.5582,-0.1222,0.0563,0.0639,-0.5299
-0.4195,-0.3922,0.3879,0.6981,-1.3482
-1.2258,-0.7003,-0.0156,0.8660,-1.6398
-0.7790,-0.6752,0.1323,0.8954,-0.4024
0.2463,0.4713,0.4276,0.7830,-0.5511
